Time(s),FX1,L-Fx1,L-Fy1,L-Fz1,L-Mx1,L-My1,L-Mz1,L-Fx2,L-Fy2,L-Fz2,L-Mx2,L-My2,L-Mz2,L-Fx3,L-Fy3,L-Fz3,L-Mx3,L-My3,L-Mz3,L-AccelX,L-AccelY,L-AccelZ,L-GyroX,L-GyroY,L-GyroZ,R-Fx1,R-Fy1,R-Fz1,R-Mx1,R-My1,R-Mz1,R-Fx2,R-Fy2,R-Fz2,R-Mx2,R-My2,R-Mz2,R-Fx3,R-Fy3,R-Fz3,R-Mx3,R-My3,R-Mz3,R-AccelX,R-AccelY,R-AccelZ,R-GyroX,R-GyroY,R-GyroZ,L-X,L-Y,L-Z,R-X,R-Y,R-Z
0.02,0,60.22,48.88,157.52,-42.24,13,-34.92,-37.12,46.18,101.98,-30.3,13,-19.58,0.9,-34.68,222.48,-66.12,4.6,48.36,-0.09,0.06,0.99,0.4,-3.2,0.7,-64.66666667,-22,128.5625,-37.8125,19.5,-21.97916667,13.20833333,103.9375,34.1875,-17.375,57.70833333,81.04166667,103.0208333,-32.39583333,240.375,-71.58333333,-17.52083333,-13.02083333,0.1,0.03,1,1.4,-3.3,0.4,0,0,0,0,0,0
0.04,0,57.22,52.88,159.52,-41.24,16,-1.92,-39.12,49.18,100.98,-30.3,14,-10.58,-0.1,-35.68,220.48,-66.12,5.6,38.36,-0.08,0.06,0.99,0.4,-3.1,0.7,-57.66666667,-21,131.5625,-39.8125,18.5,-20.97916667,17.20833333,107.9375,38.1875,-17.375,57.70833333,80.04166667,101.0208333,-32.39583333,234.375,-70.58333333,-17.52083333,-24.02083333,0.1,0.03,1,1.4,-3.3,0.4,0,0,0,0,0,0
0.06,0,58.22,50.88,160.52,-41.24,15,8.08,-37.12,47.18,102.98,-30.3,13,-19.58,-0.1,-34.68,221.48,-66.12,6.6,46.36,-0.09,0.06,1,0.5,-3.3,0.7,-64.66666667,-19,135.5625,-37.8125,18.5,-44.97916667,16.20833333,106.9375,36.1875,-17.375,58.70833333,94.04166667,101.0208333,-32.39583333,231.375,-69.58333333,-18.52083333,-27.02083333,0.1,0.03,1,1.6,-3.3,0.4,0,0,0,0,0,0
0.08,0,63.22,48.88,159.52,-40.24,15,-23.92,-36.12,45.18,100.98,-28.3,14,-11.58,-0.1,-35.68,220.48,-65.12,6.6,44.36,-0.08,0.06,0.99,0.5,-3.2,0.7,-63.66666667,-20,133.5625,-37.8125,20.5,-25.97916667,13.20833333,107.9375,37.1875,-18.375,58.70833333,90.04166667,100.0208333,-29.39583333,227.375,-69.58333333,-18.52083333,-24.02083333,0.1,0.03,1,1.6,-3.3,0.3,0,0,0,0,0,0
0.1,0,61.22,47.88,159.52,-43.24,13,-19.92,-40.12,45.18,100.98,-31.3,13,-16.58,0.9,-34.68,221.48,-64.12,7.6,50.36,-0.08,0.06,1,0.4,-3.2,0.6,-64.66666667,-19,135.5625,-38.8125,19.5,-18.97916667,20.20833333,109.9375,40.1875,-18.375,57.70833333,64.04166667,100.0208333,-31.39583333,223.375,-70.58333333,-18.52083333,-18.02083333,0.1,0.03,1,1.5,-3.2,0.3,0,0,0,0,0,0
0.12,0,66.22,50.88,161.52,-42.24,15,-2.92,-34.12,45.18,100.98,-30.3,12,-12.58,0.9,-35.68,220.48,-66.12,8.6,49.36,-0.08,0.06,1,0.5,-3.1,0.7,-72.66666667,-23,136.5625,-39.8125,21.5,-14.97916667,14.20833333,112.9375,35.1875,-16.375,58.70833333,96.04166667,99.02083333,-30.39583333,216.375,-68.58333333,-19.52083333,-31.02083333,0.1,0.03,1,1.5,-3.1,0.4,0,0,0,0,0,0
0.14,0,58.22,51.88,158.52,-41.24,15,13.08,-35.12,48.18,104.98,-31.3,13,-18.58,2.9,-35.68,217.48,-66.12,3.6,42.36,-0.08,0.06,0.99,0.4,-3.1,0.7,-62.66666667,-20,137.5625,-40.8125,19.5,-27.97916667,20.20833333,109.9375,35.1875,-17.375,57.70833333,74.04166667,99.02083333,-32.39583333,210.375,-66.58333333,-19.52083333,-24.02083333,0.1,0.03,1,1.6,-3.3,0.4,0,0,0,0,0,0
0.16,0,62.22,49.88,162.52,-41.24,16,9.08,-39.12,45.18,99.98,-31.3,14,-11.58,2.9,-35.68,215.48,-66.12,2.6,41.36,-0.08,0.06,1,0.4,-3.1,0.6,-67.66666667,-25,136.5625,-40.8125,20.5,-19.97916667,14.20833333,110.9375,46.1875,-19.375,59.70833333,103.0416667,100.0208333,-29.39583333,210.375,-66.58333333,-20.52083333,-34.02083333,0.1,0.03,1,1.6,-3.2,0.4,0,0,0,0,0,0
0.18,0,66.22,51.88,163.52,-41.24,14,-9.92,-35.12,49.18,104.98,-31.3,13,-26.58,2.9,-33.68,220.48,-65.12,6.6,49.36,-0.08,0.06,0.99,0.4,-3.1,0.7,-65.66666667,-17,138.5625,-40.8125,18.5,-3.979166667,16.20833333,114.9375,42.1875,-17.375,60.70833333,103.0416667,99.02083333,-27.39583333,201.375,-64.58333333,-21.52083333,-29.02083333,0.1,0.03,1,1.6,-3.1,0.3,0,0,0,0,0,0
0.2,0,67.22,48.88,160.52,-44.24,13,-14.92,-35.12,48.18,105.98,-30.3,12,-21.58,3.9,-34.68,217.48,-67.12,3.6,40.36,-0.08,0.06,1,0.4,-3,0.7,-67.66666667,-21,143.5625,-39.8125,21.5,-12.97916667,17.20833333,112.9375,41.1875,-17.375,59.70833333,104.0416667,97.02083333,-29.39583333,193.375,-63.58333333,-19.52083333,-26.02083333,0.1,0.03,1,1.6,-3.2,0.4,0,0,0,0,0,0
