Time(s),FX1,L-Fx1,L-Fy1,L-Fz1,L-Mx1,L-My1,L-Mz1,L-Fx2,L-Fy2,L-Fz2,L-Mx2,L-My2,L-Mz2,L-Fx3,L-Fy3,L-Fz3,L-Mx3,L-My3,L-Mz3,L-AccelX,L-AccelY,L-AccelZ,L-GyroX,L-GyroY,L-GyroZ,R-Fx1,R-Fy1,R-Fz1,R-Mx1,R-My1,R-Mz1,R-Fx2,R-Fy2,R-Fz2,R-Mx2,R-My2,R-Mz2,R-Fx3,R-Fy3,R-Fz3,R-Mx3,R-My3,R-Mz3,R-AccelX,R-AccelY,R-AccelZ,R-GyroX,R-GyroY,R-GyroZ,L-X,L-Y,L-Z,R-X,R-Y,R-Z
0,0,64.82,-29.4,152.64,-108.18,57.1,68.9,6.22,47.98,54.28,-18.78,24.76,35.5,-28.28,-8.98,81.02,-35.6,10.14,56,-0.01,0.07,0.96,-0.6,-4.2,-2.8,-32.6875,64.16666667,78.04166667,-39.41666667,14.66666667,14.29166667,-48,47.04166667,108.2916667,-28.08333333,27.77083333,61.14583333,8.958333333,10.47916667,231.1458333,-39.79166667,27.35416667,-6.083333333,0.01,0.1,0.97,4.2,-4.8,-5.8,0.12622,-0.03826,-0.08337,-0.25611,0.24732,0.21207
0.02,0,71.82,-23.4,152.64,-107.18,57.1,37.9,4.22,55.98,54.28,-15.78,23.76,61.5,-28.28,-8.98,83.02,-34.6,9.14,61,-0.01,0.07,0.96,-0.7,-4.2,-2.8,-34.6875,64.16666667,83.04166667,-39.41666667,12.66666667,-29.70833333,-48,43.04166667,108.2916667,-31.08333333,26.77083333,48.14583333,11.95833333,11.47916667,234.1458333,-39.79166667,24.35416667,-16.08333333,0.01,0.09,0.97,4.4,-4.9,-5.8,0.12622,-0.03826,-0.08337,-0.25611,0.24732,0.21207
0.04,0,62.82,-28.4,155.64,-110.18,57.1,65.9,7.22,49.98,54.28,-17.78,22.76,47.5,-30.28,-8.98,85.02,-35.6,11.14,57,-0.01,0.07,0.96,-0.4,-4,-2.8,-38.6875,67.16666667,82.04166667,-39.41666667,15.66666667,-17.70833333,-46,49.04166667,107.2916667,-29.08333333,25.77083333,32.14583333,10.95833333,9.479166667,236.1458333,-40.79166667,24.35416667,-19.08333333,0.01,0.09,0.97,4.2,-4.9,-5.8,0.12622,-0.03826,-0.08337,-0.25611,0.24732,0.21207
0.06,0,68.82,-26.4,155.64,-111.18,59.1,51.9,7.22,57.98,52.28,-16.78,23.76,77.5,-26.28,-8.98,86.02,-36.6,8.14,54,-0.01,0.07,0.97,-0.3,-4.1,-2.8,-31.6875,60.16666667,74.04166667,-38.41666667,10.66666667,2.291666667,-47,46.04166667,108.2916667,-29.08333333,26.77083333,46.14583333,11.95833333,9.479166667,238.1458333,-40.79166667,24.35416667,-9.083333333,0.01,0.09,0.97,4.3,-5.1,-5.5,0.12622,-0.03826,-0.08337,-0.25611,0.24732,0.21207
0.08,0,63.82,-26.4,153.64,-109.18,59.1,77.9,6.22,50.98,54.28,-16.78,24.76,28.5,-27.28,-8.98,80.02,-34.6,10.14,58,-0.01,0.07,0.96,-0.3,-3.9,-2.7,-28.6875,61.16666667,85.04166667,-38.41666667,13.66666667,-20.70833333,-50,41.04166667,106.2916667,-30.08333333,25.77083333,40.14583333,13.95833333,10.47916667,234.1458333,-38.79166667,23.35416667,-8.083333333,0.01,0.1,0.97,4.4,-5.2,-5.7,0.12622,-0.03826,-0.08337,-0.25611,0.24732,0.21207
0.1,0,68.82,-24.4,151.64,-106.18,56.1,67.9,5.22,56.98,53.28,-14.78,23.76,40.5,-24.28,-9.98,79.02,-35.6,8.14,57,-0.01,0.07,0.96,-0.2,-3.8,-2.8,-34.6875,61.16666667,83.04166667,-39.41666667,16.66666667,-9.708333333,-47,43.04166667,108.2916667,-29.08333333,26.77083333,25.14583333,14.95833333,10.47916667,235.1458333,-40.79166667,22.35416667,-15.08333333,0.01,0.09,0.97,4.4,-4.9,-5.9,0.12622,-0.03826,-0.08337,-0.25611,0.24732,0.21207
0.12,0,66.82,-26.4,150.64,-105.18,57.1,48.9,7.22,54.98,52.28,-15.78,24.76,41.5,-26.28,-10.98,76.02,-35.6,10.14,50,-0.01,0.07,0.96,-0.4,-3.9,-2.8,-30.6875,60.16666667,74.04166667,-38.41666667,11.66666667,19.29166667,-44,47.04166667,105.2916667,-28.08333333,23.77083333,27.14583333,10.95833333,11.47916667,233.1458333,-37.79166667,25.35416667,-6.083333333,0.01,0.1,0.98,4.6,-4.8,-5.7,0.12622,-0.03826,-0.08337,-0.25611,0.24732,0.21207
0.14,0,65.82,-28.4,145.64,-107.18,52.1,47.9,6.22,55.98,54.28,-13.78,23.76,46.5,-23.28,-8.98,77.02,-36.6,9.14,51,-0.01,0.07,0.96,-0.6,-3.8,-3,-33.6875,57.16666667,76.04166667,-37.41666667,12.66666667,10.29166667,-41,43.04166667,103.2916667,-28.08333333,23.77083333,29.14583333,10.95833333,11.47916667,228.1458333,-37.79166667,25.35416667,-12.08333333,0.01,0.1,0.98,4.4,-5.1,-5.9,0.12622,-0.03826,-0.08337,-0.25611,0.24732,0.21207
0.16,0,65.82,-32.4,145.64,-102.18,55.1,38.9,4.22,52.98,49.28,-20.78,19.76,57.5,-22.28,-8.98,77.02,-35.6,7.14,49,-0.01,0.07,0.96,-0.4,-3.9,-2.7,-27.6875,59.16666667,78.04166667,-37.41666667,13.66666667,-4.708333333,-45,50.04166667,102.2916667,-28.08333333,26.77083333,49.14583333,11.95833333,9.479166667,223.1458333,-38.79166667,22.35416667,-12.08333333,0.01,0.09,0.97,4.6,-5,-5.4,0.12622,-0.03826,-0.08337,-0.25611,0.24732,0.21207
0.18,0,64.82,-31.4,141.64,-98.18,52.1,55.9,5.22,51.98,52.28,-14.78,21.76,27.5,-24.28,-8.98,75.02,-34.6,9.14,49,-0.01,0.08,0.96,-0.4,-3.7,-3,-34.6875,58.16666667,74.04166667,-33.41666667,13.66666667,4.291666667,-40,42.04166667,99.29166667,-28.08333333,25.77083333,77.14583333,10.95833333,9.479166667,220.1458333,-39.79166667,22.35416667,-12.08333333,0.01,0.1,0.97,4.3,-4.9,-5.8,0.12622,-0.03826,-0.08337,-0.25611,0.24732,0.21207
