Time(s),FX1,L-Fx1,L-Fy1,L-Fz1,L-Mx1,L-My1,L-Mz1,L-Fx2,L-Fy2,L-Fz2,L-Mx2,L-My2,L-Mz2,L-Fx3,L-Fy3,L-Fz3,L-Mx3,L-My3,L-Mz3,L-AccelX,L-AccelY,L-AccelZ,L-GyroX,L-GyroY,L-GyroZ,R-Fx1,R-Fy1,R-Fz1,R-Mx1,R-My1,R-Mz1,R-Fx2,R-Fy2,R-Fz2,R-Mx2,R-My2,R-Mz2,R-Fx3,R-Fy3,R-Fz3,R-Mx3,R-My3,R-Mz3,R-AccelX,R-AccelY,R-AccelZ,R-GyroX,R-GyroY,R-GyroZ,L-X,L-Y,L-Z,R-X,R-Y,R-Z
0.02,0,3.74,10.46,21.36,-8.56,1.3,12.56,3.22,-5.06,31.5,-14.96,13.88,-12.62,9.92,-46.22,198.86,-76.3,37.94,82.96,0,0.06,0.96,-1.3,-7.3,-3.2,-14.75510204,11.08163265,9.326530612,-8,-0.306122449,19,-18.55102041,6.326530612,49.85714286,-40.79591837,2.183673469,16.36734694,43.63265306,-27.83673469,239.5510204,-68.73469388,4.857142857,17.02040816,0.04,0.06,0.96,1.4,-8.7,-3.2,-0.05359,0.02838,0.04435,-0.02173,-0.2232,0.16888
0.04,0,3.74,9.46,25.36,-11.56,2.3,15.56,-2.78,0.94,31.5,-16.96,16.88,0.38,8.92,-44.22,197.86,-73.3,38.94,88.96,0,0.04,0.96,-1.2,-7.1,-3.2,-20.75510204,9.081632653,10.32653061,-9,-0.306122449,16,-21.55102041,6.326530612,51.85714286,-39.79591837,0.183673469,8.367346939,42.63265306,-28.83673469,238.5510204,-68.73469388,4.857142857,18.02040816,0.04,0.05,0.96,1.4,-8.6,-3,-0.05359,0.02838,0.04435,-0.02173,-0.2232,0.16888
0.06,0,2.74,9.46,21.36,-9.56,3.3,21.56,-4.78,-5.06,31.5,-17.96,15.88,-19.62,11.92,-44.22,195.86,-74.3,37.94,88.96,0,0.05,0.96,-1.2,-7.2,-3.3,-11.75510204,8.081632653,10.32653061,-9,1.693877551,10,-15.55102041,4.326530612,49.85714286,-41.79591837,-0.816326531,-1.632653061,44.63265306,-25.83673469,235.5510204,-68.73469388,3.857142857,18.02040816,0.04,0.05,0.96,1.4,-8.8,-3.2,-0.05359,0.02838,0.04435,-0.02173,-0.2232,0.16888
0.08,0,0.74,8.46,22.36,-9.56,2.3,29.56,-2.78,2.94,32.5,-13.96,15.88,-0.62,6.92,-44.22,195.86,-74.3,40.94,87.96,0,0.05,0.96,-1.2,-7.1,-3.2,-3.755102041,7.081632653,12.32653061,-11,3.693877551,12,-18.55102041,10.32653061,46.85714286,-41.79591837,1.183673469,-4.632653061,43.63265306,-25.83673469,236.5510204,-67.73469388,3.857142857,21.02040816,0.04,0.05,0.96,1.3,-8.8,-3.3,-0.05359,0.02838,0.04435,-0.02173,-0.2232,0.16888
0.1,0,3.74,10.46,22.36,-10.56,4.3,35.56,-1.78,-3.06,28.5,-17.96,15.88,-0.62,10.92,-41.22,192.86,-72.3,34.94,86.96,0,0.05,0.96,-1.2,-7,-3.2,-16.75510204,8.081632653,10.32653061,-10,-1.306122449,7,-15.55102041,10.32653061,45.85714286,-40.79591837,0.183673469,-11.63265306,41.63265306,-27.83673469,233.5510204,-67.73469388,5.857142857,23.02040816,0.04,0.05,0.97,1.2,-9,-3.3,-0.05359,0.02838,0.04435,-0.02173,-0.2232,0.16888
0.12,0,0.74,5.46,26.36,-11.56,2.3,8.56,1.22,-0.06,32.5,-14.96,15.88,-13.62,10.92,-44.22,192.86,-73.3,35.94,81.96,0,0.05,0.96,-1.2,-7.2,-3.1,-10.75510204,6.081632653,10.32653061,-10,0.693877551,3,-17.55102041,10.32653061,49.85714286,-40.79591837,0.183673469,26.36734694,42.63265306,-28.83673469,231.5510204,-68.73469388,3.857142857,21.02040816,0.04,0.05,0.96,1.1,-8.9,-3,-0.05359,0.02838,0.04435,-0.02173,-0.2232,0.16888
0.14,0,0.74,11.46,23.36,-9.56,1.3,33.56,4.22,-0.06,32.5,-14.96,14.88,-2.62,7.92,-44.22,192.86,-73.3,36.94,82.96,0,0.05,0.96,-1.2,-7.1,-3.3,-19.75510204,11.08163265,9.326530612,-6,-1.306122449,6,-15.55102041,9.326530612,50.85714286,-42.79591837,1.183673469,16.36734694,41.63265306,-26.83673469,233.5510204,-68.73469388,4.857142857,10.02040816,0.04,0.05,0.97,1.1,-8.9,-3.2,-0.05359,0.02838,0.04435,-0.02173,-0.2232,0.16888
0.16,0,-1.26,10.46,26.36,-10.56,2.3,27.56,0.22,-3.06,30.5,-16.96,13.88,-10.62,7.92,-43.22,192.86,-72.3,37.94,77.96,0,0.05,0.96,-1,-7.2,-3.1,-8.755102041,7.081632653,11.32653061,-11,2.693877551,23,-21.55102041,10.32653061,48.85714286,-43.79591837,1.183673469,23.36734694,43.63265306,-26.83673469,234.5510204,-68.73469388,3.857142857,12.02040816,0.04,0.06,0.97,1.1,-8.8,-3.3,-0.05359,0.02838,0.04435,-0.02173,-0.2232,0.16888
0.18,0,2.74,6.46,22.36,-10.56,4.3,31.56,-0.78,-0.06,34.5,-13.96,14.88,-28.62,8.92,-46.22,192.86,-74.3,37.94,82.96,0,0.05,0.96,-1,-7.3,-3.1,-11.75510204,7.081632653,11.32653061,-11,1.693877551,20,-22.55102041,4.326530612,49.85714286,-41.79591837,0.183673469,11.36734694,44.63265306,-26.83673469,233.5510204,-69.73469388,1.857142857,18.02040816,0.03,0.05,0.97,1.2,-8.7,-3.1,-0.05359,0.02838,0.04435,-0.02173,-0.2232,0.16888
0.2,0,6.74,13.46,21.36,-11.56,2.3,-9.44,0.22,3.94,31.5,-14.96,13.88,12.38,9.92,-43.22,191.86,-73.3,35.94,78.96,0,0.05,0.96,-1.4,-7,-3.1,-26.75510204,13.08163265,11.32653061,-7,-4.306122449,0,-20.55102041,8.326530612,46.85714286,-42.79591837,1.183673469,-5.632653061,44.63265306,-26.83673469,230.5510204,-67.73469388,2.857142857,19.02040816,0.04,0.05,0.96,1.4,-8.9,-3.2,-0.05359,0.02838,0.04435,-0.02173,-0.2232,0.16888
