Time(s),FX1,L-Fx1,L-Fy1,L-Fz1,L-Mx1,L-My1,L-Mz1,L-Fx2,L-Fy2,L-Fz2,L-Mx2,L-My2,L-Mz2,L-Fx3,L-Fy3,L-Fz3,L-Mx3,L-My3,L-Mz3,L-AccelX,L-AccelY,L-AccelZ,L-GyroX,L-GyroY,L-GyroZ,R-Fx1,R-Fy1,R-Fz1,R-Mx1,R-My1,R-Mz1,R-Fx2,R-Fy2,R-Fz2,R-Mx2,R-My2,R-Mz2,R-Fx3,R-Fy3,R-Fz3,R-Mx3,R-My3,R-Mz3,R-AccelX,R-AccelY,R-AccelZ,R-GyroX,R-GyroY,R-GyroZ,L-X,L-Y,L-Z,R-X,R-Y,R-Z
0,0,12.08163265,9.714285714,49.44897959,-19.02040816,2.204081633,-7.653061224,22.55102041,2.346938776,59.59183673,-38.97959184,-11.71428571,26.51020408,56.26530612,-24.12244898,186.5510204,-38.12244898,-3.653061224,26.73469388,-0.02,0.08,0.97,-5,-7.2,-1.7,-22.46938776,4.979591837,53.73469388,-60.91836735,21.06122449,-25.67346939,-13,7.306122449,71.83673469,-17.71428571,15.48979592,58.69387755,8.081632653,-41.79591837,168.122449,-29.48979592,15.73469388,58.04081633,0.02,0.04,0.97,5.1,0.1,-10.3,-0.07142,-0.02011,0.04758,0,0,0
0.02,0,16.08163265,3.714285714,45.44897959,-20.02040816,-0.795918367,-21.65306122,21.55102041,4.346938776,59.59183673,-37.97959184,-11.71428571,31.51020408,56.26530612,-24.12244898,184.5510204,-39.12244898,-3.653061224,20.73469388,-0.02,0.08,0.98,-4.8,-7.2,-1.8,-22.46938776,13.97959184,51.73469388,-62.91836735,22.06122449,1.326530612,-10,9.306122449,70.83673469,-16.71428571,14.48979592,49.69387755,8.081632653,-41.79591837,164.122449,-29.48979592,12.73469388,54.04081633,0.03,0.04,0.97,5.1,-0.3,-10.2,-0.07142,-0.02011,0.04758,0,0,0
0.04,0,11.08163265,12.71428571,55.44897959,-18.02040816,2.204081633,-17.65306122,20.55102041,2.346938776,59.59183673,-38.97959184,-12.71428571,26.51020408,59.26530612,-25.12244898,184.5510204,-39.12244898,-5.653061224,26.73469388,-0.02,0.08,0.97,-4.8,-7.2,-1.9,-23.46938776,9.979591837,58.73469388,-63.91836735,23.06122449,-3.673469388,-4,12.30612245,70.83673469,-16.71428571,9.489795918,54.69387755,8.081632653,-41.79591837,163.122449,-29.48979592,12.73469388,57.04081633,0.02,0.04,0.97,4.9,-0.1,-10.4,-0.07142,-0.02011,0.04758,0,0,0
0.06,0,16.08163265,11.71428571,48.44897959,-19.02040816,-1.795918367,-35.65306122,19.55102041,5.346938776,60.59183673,-38.97959184,-11.71428571,40.51020408,55.26530612,-24.12244898,185.5510204,-37.12244898,-3.653061224,28.73469388,-0.02,0.07,0.98,-5.3,-7.3,-1.9,-25.46938776,10.97959184,56.73469388,-62.91836735,23.06122449,-13.67346939,-10,5.306122449,70.83673469,-16.71428571,15.48979592,40.69387755,9.081632653,-42.79591837,163.122449,-29.48979592,12.73469388,60.04081633,0.02,0.04,0.97,5,-0.3,-10,-0.07142,-0.02011,0.04758,0,0,0
0.08,0,14.08163265,10.71428571,50.44897959,-20.02040816,0.204081633,-17.65306122,20.55102041,3.346938776,61.59183673,-39.97959184,-11.71428571,45.51020408,57.26530612,-23.12244898,184.5510204,-39.12244898,-4.653061224,29.73469388,-0.02,0.08,0.97,-5.2,-7,-1.9,-23.46938776,7.979591837,51.73469388,-60.91836735,20.06122449,-27.67346939,-9,7.306122449,71.83673469,-14.71428571,11.48979592,45.69387755,9.081632653,-41.79591837,164.122449,-28.48979592,13.73469388,60.04081633,0.02,0.04,0.97,5,-0.1,-10.1,-0.07142,-0.02011,0.04758,0,0,0
0.1,0,13.08163265,11.71428571,53.44897959,-20.02040816,-0.795918367,-29.65306122,28.55102041,5.346938776,62.59183673,-40.97959184,-12.71428571,35.51020408,57.26530612,-23.12244898,184.5510204,-38.12244898,-4.653061224,22.73469388,-0.01,0.08,0.98,-4.9,-7.6,-1.9,-22.46938776,7.979591837,57.73469388,-62.91836735,25.06122449,-40.67346939,-12,8.306122449,68.83673469,-15.71428571,16.48979592,72.69387755,9.081632653,-41.79591837,159.122449,-28.48979592,13.73469388,54.04081633,0.03,0.04,0.97,5.1,-0.4,-10.3,-0.07142,-0.02011,0.04758,0,0,0
0.12,0,9.081632653,14.71428571,59.44897959,-19.02040816,1.204081633,-19.65306122,20.55102041,0.346938776,63.59183673,-41.97959184,-11.71428571,30.51020408,56.26530612,-25.12244898,185.5510204,-40.12244898,-4.653061224,19.73469388,-0.02,0.08,0.97,-4.8,-7.2,-1.9,-22.46938776,8.979591837,55.73469388,-62.91836735,23.06122449,-8.673469388,-6,12.30612245,71.83673469,-16.71428571,14.48979592,65.69387755,8.081632653,-45.79591837,158.122449,-32.48979592,13.73469388,56.04081633,0.03,0.04,0.97,5.4,-0.1,-9.8,-0.07142,-0.02011,0.04758,0,0,0
0.14,0,17.08163265,9.714285714,49.44897959,-23.02040816,-1.795918367,-46.65306122,21.55102041,4.346938776,60.59183673,-38.97959184,-11.71428571,33.51020408,56.26530612,-24.12244898,184.5510204,-38.12244898,-4.653061224,30.73469388,-0.02,0.08,0.97,-4.8,-7,-1.9,-22.46938776,6.979591837,56.73469388,-62.91836735,22.06122449,-29.67346939,-1,12.30612245,69.83673469,-16.71428571,10.48979592,32.69387755,8.081632653,-43.79591837,156.122449,-30.48979592,12.73469388,47.04081633,0.02,0.05,0.97,5.2,-0.2,-10,-0.07142,-0.02011,0.04758,0,0,0
0.16,0,15.08163265,11.71428571,49.44897959,-24.02040816,2.204081633,-17.65306122,23.55102041,4.346938776,62.59183673,-39.97959184,-11.71428571,45.51020408,56.26530612,-22.12244898,182.5510204,-37.12244898,-5.653061224,23.73469388,-0.02,0.08,0.98,-5.2,-7.2,-1.9,-24.46938776,6.979591837,59.73469388,-67.91836735,23.06122449,-9.673469388,-10,15.30612245,74.83673469,-15.71428571,13.48979592,36.69387755,6.081632653,-43.79591837,151.122449,-29.48979592,12.73469388,52.04081633,0.02,0.04,0.97,5.1,-0.1,-10,-0.07142,-0.02011,0.04758,0,0,0
0.18,0,15.08163265,12.71428571,57.44897959,-23.02040816,0.204081633,-20.65306122,25.55102041,9.346938776,63.59183673,-39.97959184,-13.71428571,40.51020408,55.26530612,-24.12244898,181.5510204,-40.12244898,-4.653061224,25.73469388,-0.01,0.07,0.97,-5,-7.3,-1.9,-24.46938776,8.979591837,59.73469388,-64.91836735,21.06122449,-28.67346939,-2,11.30612245,71.83673469,-14.71428571,11.48979592,35.69387755,6.081632653,-44.79591837,153.122449,-32.48979592,12.73469388,52.04081633,0.02,0.05,0.97,5.1,-0.3,-9.9,-0.07142,-0.02011,0.04758,0,0,0
0.2,0,16.08163265,11.71428571,56.44897959,-24.02040816,-0.795918367,-32.65306122,19.55102041,-2.653061224,62.59183673,-42.97959184,-12.71428571,21.51020408,55.26530612,-23.12244898,180.5510204,-37.12244898,-4.653061224,20.73469388,-0.01,0.08,0.97,-4.9,-7.4,-1.8,-24.46938776,6.979591837,54.73469388,-64.91836735,20.06122449,-16.67346939,-2,14.30612245,71.83673469,-15.71428571,10.48979592,22.69387755,6.081632653,-42.79591837,151.122449,-30.48979592,13.73469388,50.04081633,0.03,0.05,0.97,5,-0.3,-10,-0.07142,-0.02011,0.04758,0,0,0
0.22,0,20.08163265,11.71428571,45.44897959,-27.02040816,-2.795918367,-39.65306122,26.55102041,2.346938776,63.59183673,-39.97959184,-12.71428571,40.51020408,54.26530612,-23.12244898,181.5510204,-38.12244898,-3.653061224,20.73469388,-0.02,0.08,0.97,-5.2,-7.3,-1.8,-27.46938776,8.979591837,58.73469388,-63.91836735,26.06122449,-4.673469388,-2,14.30612245,70.83673469,-16.71428571,9.489795918,35.69387755,7.081632653,-43.79591837,147.122449,-30.48979592,11.73469388,53.04081633,0.03,0.04,0.97,5.3,0,-9.8,-0.07142,-0.02011,0.04758,0,0,0
0.24,0,18.08163265,11.71428571,55.44897959,-22.02040816,1.204081633,-46.65306122,23.55102041,7.346938776,63.59183673,-39.97959184,-11.71428571,65.51020408,56.26530612,-23.12244898,181.5510204,-38.12244898,-5.653061224,27.73469388,-0.02,0.08,0.97,-5,-7.3,-2.1,-30.46938776,6.979591837,57.73469388,-65.91836735,23.06122449,-3.673469388,-7,13.30612245,72.83673469,-15.71428571,11.48979592,51.69387755,5.081632653,-40.79591837,144.122449,-27.48979592,13.73469388,49.04081633,0.02,0.04,0.97,5,0,-9.8,-0.07142,-0.02011,0.04758,0,0,0
0.26,0,15.08163265,12.71428571,54.44897959,-23.02040816,-0.795918367,-14.65306122,22.55102041,2.346938776,62.59183673,-43.97959184,-11.71428571,16.51020408,56.26530612,-24.12244898,179.5510204,-39.12244898,-5.653061224,23.73469388,-0.01,0.07,0.97,-4.8,-7.3,-1.7,-24.46938776,8.979591837,58.73469388,-68.91836735,24.06122449,-18.67346939,-5,15.30612245,74.83673469,-15.71428571,11.48979592,23.69387755,6.081632653,-41.79591837,146.122449,-29.48979592,12.73469388,51.04081633,0.03,0.04,0.97,5.1,-0.4,-9.8,-0.07142,-0.02011,0.04758,0,0,0
0.28,0,19.08163265,8.714285714,50.44897959,-27.02040816,-0.795918367,-29.65306122,12.55102041,0.346938776,63.59183673,-40.97959184,-12.71428571,26.51020408,55.26530612,-23.12244898,177.5510204,-38.12244898,-4.653061224,20.73469388,-0.02,0.08,0.97,-5.1,-7.3,-1.7,-26.46938776,9.979591837,59.73469388,-67.91836735,25.06122449,-3.673469388,-12,11.30612245,74.83673469,-16.71428571,14.48979592,30.69387755,5.081632653,-41.79591837,146.122449,-29.48979592,13.73469388,51.04081633,0.02,0.04,0.97,5,-0.4,-10,-0.07142,-0.02011,0.04758,0,0,0
0.3,0,13.08163265,7.714285714,63.44897959,-23.02040816,1.204081633,-35.65306122,20.55102041,-0.653061224,64.59183673,-43.97959184,-13.71428571,23.51020408,55.26530612,-22.12244898,174.5510204,-36.12244898,-5.653061224,23.73469388,-0.02,0.08,0.97,-4.9,-7.4,-1.7,-24.46938776,7.979591837,56.73469388,-64.91836735,21.06122449,-18.67346939,-2,15.30612245,71.83673469,-16.71428571,11.48979592,45.69387755,5.081632653,-41.79591837,143.122449,-29.48979592,12.73469388,45.04081633,0.03,0.04,0.97,5.1,-0.5,-9.7,-0.07142,-0.02011,0.04758,0,0,0
