Time(s),FX1,L-Fx1,L-Fy1,L-Fz1,L-Mx1,L-My1,L-Mz1,L-Fx2,L-Fy2,L-Fz2,L-Mx2,L-My2,L-Mz2,L-Fx3,L-Fy3,L-Fz3,L-Mx3,L-My3,L-Mz3,L-AccelX,L-AccelY,L-AccelZ,L-GyroX,L-GyroY,L-GyroZ,R-Fx1,R-Fy1,R-Fz1,R-Mx1,R-My1,R-Mz1,R-Fx2,R-Fy2,R-Fz2,R-Mx2,R-My2,R-Mz2,R-Fx3,R-Fy3,R-Fz3,R-Mx3,R-My3,R-Mz3,R-AccelX,R-AccelY,R-AccelZ,R-GyroX,R-GyroY,R-GyroZ,L-X,L-Y,L-Z,R-X,R-Y,R-Z
0,0,46.72,15.6,94.34,-31.18,7.22,-93.38,-49.58,-73.4,29.98,-39.58,43.76,-20.48,72.14,29.14,345.18,-82.22,-12.54,65.34,-0.02,0.07,0.97,1.9,-5.6,-4.7,-6.104166667,-56.29166667,43.97916667,-44.70833333,9.75,-103.4791667,1.583333333,-88.66666667,-60.02083333,-31.58333333,-1.583333333,42.54166667,2.041666667,17.33333333,234.3958333,-74.66666667,-0.104166667,4.25,0.04,0.05,0.98,-1.9,-2.8,-3.9,0.07813,0.09161,-0.189,-0.10828,0.15937,-0.06316
0.02,0,44.72,6.6,92.34,-33.18,6.22,-97.38,-47.58,-68.4,30.98,-38.58,42.76,-11.48,73.14,31.14,342.18,-79.22,-12.54,66.34,-0.02,0.06,0.97,2,-5.9,-4.7,-12.10416667,-64.29166667,42.97916667,-46.70833333,10.75,-108.4791667,-1.416666667,-89.66666667,-60.02083333,-30.58333333,-2.583333333,56.54166667,4.041666667,14.33333333,232.3958333,-78.66666667,-0.104166667,-4.75,0.04,0.05,0.98,-1.7,-2.6,-4.1,0.07813,0.09161,-0.189,-0.10828,0.15937,-0.06316
0.04,0,47.72,7.6,93.34,-35.18,3.22,-104.38,-50.58,-69.4,28.98,-37.58,42.76,-40.48,74.14,27.14,342.18,-84.22,-14.54,63.34,-0.02,0.06,0.96,2.1,-5.7,-4.7,-12.10416667,-62.29166667,43.97916667,-42.70833333,8.75,-109.4791667,-0.416666667,-86.66666667,-60.02083333,-29.58333333,-1.583333333,50.54166667,2.041666667,16.33333333,232.3958333,-75.66666667,-0.104166667,-7.75,0.04,0.04,0.98,-1.6,-3,-4,0.07813,0.09161,-0.189,-0.10828,0.15937,-0.06316
0.06,0,41.72,8.6,92.34,-33.18,6.22,-108.38,-48.58,-68.4,28.98,-38.58,42.76,-33.48,71.14,28.14,341.18,-82.22,-10.54,63.34,-0.02,0.06,0.97,1.9,-5.6,-4.7,-8.104166667,-58.29166667,45.97916667,-45.70833333,9.75,-97.47916667,-0.416666667,-87.66666667,-59.02083333,-31.58333333,-1.583333333,46.54166667,1.041666667,15.33333333,234.3958333,-76.66666667,0.895833333,-1.75,0.03,0.05,0.98,-1.7,-2.7,-4.1,0.07813,0.09161,-0.189,-0.10828,0.15937,-0.06316
0.08,0,45.72,14.6,96.34,-32.18,6.22,-102.38,-53.58,-70.4,27.98,-38.58,43.76,-16.48,72.14,26.14,341.18,-84.22,-11.54,68.34,-0.02,0.06,0.97,2,-5.6,-5,-10.10416667,-60.29166667,44.97916667,-44.70833333,10.75,-91.47916667,2.583333333,-88.66666667,-59.02083333,-31.58333333,-3.583333333,18.54166667,2.041666667,18.33333333,234.3958333,-74.66666667,-0.104166667,-3.75,0.04,0.05,0.98,-1.7,-2.8,-4,0.07813,0.09161,-0.189,-0.10828,0.15937,-0.06316
0.1,0,51.72,10.6,98.34,-32.18,6.22,-134.38,-47.58,-74.4,26.98,-37.58,42.76,-37.48,70.14,28.14,338.18,-81.22,-11.54,62.34,-0.02,0.06,0.97,2.2,-5.6,-4.8,-10.10416667,-58.29166667,42.97916667,-44.70833333,11.75,-93.47916667,2.583333333,-89.66666667,-57.02083333,-33.58333333,-0.583333333,29.54166667,4.041666667,16.33333333,236.3958333,-75.66666667,-1.104166667,-4.75,0.04,0.05,0.98,-1.7,-2.8,-4,0.07813,0.09161,-0.189,-0.10828,0.15937,-0.06316
0.12,0,48.72,11.6,95.34,-33.18,4.22,-100.38,-46.58,-70.4,27.98,-35.58,43.76,-29.48,72.14,28.14,340.18,-82.22,-11.54,61.34,-0.02,0.06,0.96,2.1,-5.7,-4.7,-6.104166667,-60.29166667,44.97916667,-47.70833333,9.75,-110.4791667,-2.416666667,-90.66666667,-59.02083333,-30.58333333,0.416666667,49.54166667,4.041666667,17.33333333,236.3958333,-73.66666667,-1.104166667,1.25,0.04,0.05,0.98,-1.9,-2.8,-4.1,0.07813,0.09161,-0.189,-0.10828,0.15937,-0.06316
0.14,0,42.72,9.6,96.34,-33.18,6.22,-123.38,-48.58,-73.4,28.98,-37.58,42.76,-23.48,73.14,27.14,338.18,-83.22,-11.54,65.34,-0.02,0.06,0.97,1.8,-5.5,-4.7,-11.10416667,-64.29166667,44.97916667,-45.70833333,11.75,-107.4791667,4.583333333,-90.66666667,-57.02083333,-34.58333333,-0.583333333,37.54166667,3.041666667,18.33333333,233.3958333,-73.66666667,-1.104166667,-5.75,0.04,0.05,0.99,-2,-2.8,-4.1,0.07813,0.09161,-0.189,-0.10828,0.15937,-0.06316
0.16,0,47.72,11.6,94.34,-32.18,5.22,-119.38,-49.58,-73.4,29.98,-39.58,42.76,-29.48,71.14,26.14,337.18,-82.22,-11.54,61.34,-0.02,0.06,0.97,2,-5.4,-4.9,-11.10416667,-62.29166667,43.97916667,-47.70833333,11.75,-106.4791667,3.583333333,-90.66666667,-58.02083333,-33.58333333,-2.583333333,39.54166667,4.041666667,17.33333333,231.3958333,-73.66666667,-2.104166667,-1.75,0.04,0.05,0.98,-1.7,-2.8,-3.8,0.07813,0.09161,-0.189,-0.10828,0.15937,-0.06316
0.18,0,45.72,12.6,93.34,-31.18,6.22,-118.38,-48.58,-75.4,26.98,-38.58,41.76,-31.48,73.14,29.14,339.18,-81.22,-13.54,62.34,-0.02,0.06,0.97,1.8,-5.6,-4.7,-13.10416667,-58.29166667,43.97916667,-43.70833333,11.75,-95.47916667,2.583333333,-89.66666667,-59.02083333,-32.58333333,-2.583333333,35.54166667,2.041666667,15.33333333,232.3958333,-75.66666667,-0.104166667,-1.75,0.04,0.05,0.98,-1.7,-2.9,-3.7,0.07813,0.09161,-0.189,-0.10828,0.15937,-0.06316
