Time(s),FX1,L-Fx1,L-Fy1,L-Fz1,L-Mx1,L-My1,L-Mz1,L-Fx2,L-Fy2,L-Fz2,L-Mx2,L-My2,L-Mz2,L-Fx3,L-Fy3,L-Fz3,L-Mx3,L-My3,L-Mz3,L-AccelX,L-AccelY,L-AccelZ,L-GyroX,L-GyroY,L-GyroZ,R-Fx1,R-Fy1,R-Fz1,R-Mx1,R-My1,R-Mz1,R-Fx2,R-Fy2,R-Fz2,R-Mx2,R-My2,R-Mz2,R-Fx3,R-Fy3,R-Fz3,R-Mx3,R-My3,R-Mz3,R-AccelX,R-AccelY,R-AccelZ,R-GyroX,R-GyroY,R-GyroZ,L-X,L-Y,L-Z,R-X,R-Y,R-Z
0.02,0,47.41666667,39.875,59.10416667,-44.39583333,16.08333333,13.9375,45.04166667,88.29166667,146.9166667,-39.35416667,-11.77083333,-74.4375,17.58333333,2.291666667,71.16666667,-46.41666667,-12.625,-8.666666667,-0.04,0.06,0.98,-1.1,-4.7,-3.7,-80.72,91.2,58.74,-16.82,12.7,-95.42,59.68,91.86,177.32,-55.74,-23.96,-162.88,-9.64,24.08,12.9,-9.34,5.22,-18.34,0.02,0.08,0.97,-2.1,-3.7,-4.3,0.1167,0.08788,0.03049,0,0,0
0.04,0,45.41666667,34.875,53.10416667,-44.39583333,15.08333333,24.9375,46.04166667,94.29166667,149.9166667,-39.35416667,-10.77083333,-63.4375,17.58333333,3.291666667,70.16666667,-45.41666667,-11.625,-8.666666667,-0.04,0.07,0.98,-1,-4.6,-3.5,-78.72,93.2,59.74,-19.82,15.7,-81.42,60.68,86.86,178.32,-58.74,-20.96,-131.88,-12.64,24.08,11.9,-8.34,7.22,-26.34,0.02,0.08,0.97,-2.1,-3.3,-4.5,0.1167,0.08788,0.03049,0,0,0
0.06,0,48.41666667,34.875,56.10416667,-46.39583333,17.08333333,23.9375,42.04166667,92.29166667,145.9166667,-38.35416667,-11.77083333,-40.4375,17.58333333,4.291666667,71.16666667,-45.41666667,-11.625,-9.666666667,-0.04,0.06,0.99,-1,-4.8,-3.4,-76.72,90.2,58.74,-20.82,15.7,-83.42,67.68,85.86,177.32,-58.74,-23.96,-179.88,-9.64,23.08,10.9,-10.34,6.22,-17.34,0.02,0.08,0.97,-2,-3.5,-4.7,0.1167,0.08788,0.03049,0,0,0
0.08,0,46.41666667,34.875,54.10416667,-44.39583333,16.08333333,31.9375,44.04166667,93.29166667,143.9166667,-37.35416667,-9.770833333,-64.4375,19.58333333,-0.708333333,73.16666667,-49.41666667,-12.625,-9.666666667,-0.04,0.06,0.98,-1.1,-4.9,-3.3,-75.72,91.2,60.74,-18.82,16.7,-67.42,58.68,87.86,178.32,-55.74,-20.96,-137.88,-9.64,24.08,11.9,-9.34,6.22,-19.34,0.02,0.08,0.97,-2.1,-3.8,-4.4,0.1167,0.08788,0.03049,0,0,0
0.1,0,48.41666667,31.875,54.10416667,-46.39583333,13.08333333,11.9375,44.04166667,97.29166667,138.9166667,-39.35416667,-10.77083333,-53.4375,18.58333333,0.291666667,72.16666667,-48.41666667,-12.625,-9.666666667,-0.04,0.07,0.98,-0.9,-4.7,-3.6,-80.72,91.2,59.74,-19.82,14.7,-93.42,56.68,93.86,178.32,-54.74,-22.96,-148.88,-9.64,25.08,11.9,-7.34,5.22,-23.34,0.02,0.08,0.96,-2.1,-3.7,-4.5,0.1167,0.08788,0.03049,0,0,0
0.12,0,43.41666667,33.875,56.10416667,-44.39583333,16.08333333,28.9375,41.04166667,92.29166667,142.9166667,-38.35416667,-11.77083333,-81.4375,18.58333333,3.291666667,70.16666667,-43.41666667,-12.625,-8.666666667,-0.04,0.06,0.98,-1,-4.7,-3.5,-77.72,94.2,59.74,-18.82,15.7,-71.42,62.68,82.86,178.32,-57.74,-20.96,-177.88,-9.64,25.08,9.9,-6.34,5.22,-22.34,0.02,0.08,0.96,-2.1,-3.7,-4.4,0.1167,0.08788,0.03049,0,0,0
0.14,0,48.41666667,36.875,55.10416667,-44.39583333,15.08333333,2.9375,43.04166667,96.29166667,145.9166667,-38.35416667,-11.77083333,-76.4375,15.58333333,3.291666667,71.16666667,-45.41666667,-8.625,-11.66666667,-0.04,0.06,0.99,-0.8,-4.7,-3.5,-78.72,92.2,59.74,-19.82,13.7,-79.42,65.68,87.86,177.32,-56.74,-22.96,-158.88,-7.64,23.08,10.9,-8.34,5.22,-15.34,0.02,0.08,0.97,-2.1,-3.5,-4.5,0.1167,0.08788,0.03049,0,0,0
0.16,0,47.41666667,38.875,53.10416667,-45.39583333,15.08333333,15.9375,40.04166667,94.29166667,145.9166667,-38.35416667,-9.770833333,-62.4375,18.58333333,3.291666667,70.16666667,-46.41666667,-13.625,-9.666666667,-0.04,0.06,0.99,-0.8,-4.9,-3.5,-76.72,91.2,60.74,-20.82,16.7,-61.42,62.68,90.86,179.32,-55.74,-24.96,-162.88,-10.64,27.08,9.9,-5.34,6.22,-23.34,0.02,0.08,0.97,-2.1,-3.5,-4.4,0.1167,0.08788,0.03049,0,0,0
0.18,0,51.41666667,40.875,58.10416667,-45.39583333,16.08333333,18.9375,43.04166667,95.29166667,148.9166667,-40.35416667,-9.770833333,-58.4375,17.58333333,1.291666667,70.16666667,-47.41666667,-9.625,-3.666666667,-0.04,0.06,0.98,-0.9,-4.7,-3.5,-77.72,93.2,61.74,-21.82,16.7,-98.42,60.68,88.86,177.32,-56.74,-20.96,-146.88,-10.64,25.08,10.9,-7.34,5.22,-22.34,0.02,0.09,0.97,-2.1,-3.4,-4.4,0.1167,0.08788,0.03049,0,0,0
0.2,0,45.41666667,38.875,52.10416667,-44.39583333,15.08333333,39.9375,37.04166667,96.29166667,137.9166667,-40.35416667,-8.770833333,-76.4375,20.58333333,3.291666667,71.16666667,-44.41666667,-14.625,-2.666666667,-0.04,0.06,0.98,-0.9,-4.7,-3.4,-80.72,89.2,60.74,-18.82,14.7,-86.42,67.68,91.86,178.32,-58.74,-23.96,-187.88,-8.64,25.08,9.9,-6.34,6.22,-19.34,0.02,0.08,0.97,-2.1,-3.7,-4.4,0.1167,0.08788,0.03049,0,0,0
