Time(s),FX1,L-Fx1,L-Fy1,L-Fz1,L-Mx1,L-My1,L-Mz1,L-Fx2,L-Fy2,L-Fz2,L-Mx2,L-My2,L-Mz2,L-Fx3,L-Fy3,L-Fz3,L-Mx3,L-My3,L-Mz3,L-AccelX,L-AccelY,L-AccelZ,L-GyroX,L-GyroY,L-GyroZ,R-Fx1,R-Fy1,R-Fz1,R-Mx1,R-My1,R-Mz1,R-Fx2,R-Fy2,R-Fz2,R-Mx2,R-My2,R-Mz2,R-Fx3,R-Fy3,R-Fz3,R-Mx3,R-My3,R-Mz3,R-AccelX,R-AccelY,R-AccelZ,R-GyroX,R-GyroY,R-GyroZ,L-X,L-Y,L-Z,R-X,R-Y,R-Z
0.04,0,83.28,-103.62,183.2,-187.14,52.78,60.46,6.32,106.14,157.92,-96.8,-37.7,12.8,-35.14,-12.42,155.1,-74.94,11.82,-5.12,-0.05,0.06,0.95,-0.5,-2.3,-3.8,-80.44897959,-61.26530612,107.7142857,-49.85714286,28.59183673,29.93877551,-0.408163265,83.40816327,123.4693878,-62.6122449,25.08163265,86.18367347,23.67346939,-8.857142857,158.8979592,-56.02040816,5.632653061,-20.67346939,0.05,0.07,0.98,2.1,-5.3,-1.7,0.10192,0.1049,0.01446,-0.35888,-0.27946,-0.39903
0.08,0,88.28,-102.62,183.2,-184.14,55.78,57.46,8.32,102.14,156.92,-96.8,-37.7,-6.2,-33.14,-12.42,159.1,-76.94,9.82,-9.12,-0.05,0.06,0.95,-0.5,-2.2,-3.9,-77.44897959,-53.26530612,103.7142857,-43.85714286,24.59183673,0.93877551,-1.408163265,77.40816327,117.4693878,-59.6122449,25.08163265,97.18367347,26.67346939,-13.85714286,171.8979592,-63.02040816,4.632653061,-29.67346939,0.04,0.07,0.98,2,-5.3,-1.6,0.10192,0.1049,0.01446,-0.35888,-0.27946,-0.39903
0.1,0,90.28,-101.62,178.2,-182.14,51.78,49.46,5.32,102.14,154.92,-94.8,-35.7,-10.2,-34.14,-10.42,161.1,-75.94,12.82,-9.12,-0.05,0.06,0.95,-0.5,-2.4,-3.8,-78.44897959,-54.26530612,100.7142857,-42.85714286,26.59183673,-2.06122449,0.591836735,76.40816327,112.4693878,-57.6122449,20.08163265,84.18367347,23.67346939,-11.85714286,178.8979592,-65.02040816,7.632653061,-21.67346939,0.04,0.07,0.98,1.8,-5.3,-1.5,0.10192,0.1049,0.01446,-0.35888,-0.27946,-0.39903
0.12,0,83.28,-101.62,177.2,-180.14,50.78,50.46,6.32,99.14,153.92,-94.8,-34.7,-12.2,-31.14,-11.42,162.1,-77.94,8.82,-12.12,-0.05,0.06,0.95,-0.4,-2.4,-4,-73.44897959,-54.26530612,98.71428571,-42.85714286,24.59183673,-13.06122449,-3.408163265,69.40816327,113.4693878,-55.6122449,23.08163265,57.18367347,23.67346939,-12.85714286,182.8979592,-67.02040816,6.632653061,-25.67346939,0.04,0.07,0.98,2.1,-5.4,-1.5,0.10192,0.1049,0.01446,-0.35888,-0.27946,-0.39903
0.14,0,80.28,-104.62,181.2,-181.14,54.78,70.46,3.32,102.14,152.92,-94.8,-35.7,10.8,-33.14,-12.42,161.1,-76.94,9.82,-6.12,-0.05,0.06,0.95,-0.3,-2.1,-4,-80.44897959,-51.26530612,97.71428571,-40.85714286,24.59183673,5.93877551,-2.408163265,69.40816327,111.4693878,-55.6122449,24.08163265,81.18367347,25.67346939,-12.85714286,186.8979592,-67.02040816,5.632653061,-22.67346939,0.04,0.07,0.98,2.1,-5.6,-1.7,0.10192,0.1049,0.01446,-0.35888,-0.27946,-0.39903
0.16,0,79.28,-99.62,184.2,-179.14,54.78,51.46,2.32,100.14,152.92,-93.8,-37.7,11.8,-32.14,-12.42,156.1,-74.94,10.82,-5.12,-0.05,0.06,0.95,-0.3,-2,-4,-71.44897959,-52.26530612,95.71428571,-38.85714286,25.59183673,-0.06122449,-9.408163265,72.40816327,110.4693878,-52.6122449,21.08163265,85.18367347,24.67346939,-11.85714286,193.8979592,-68.02040816,5.632653061,-18.67346939,0.04,0.07,0.98,2.3,-5.8,-1.6,0.10192,0.1049,0.01446,-0.35888,-0.27946,-0.39903
0.18,0,80.28,-100.62,179.2,-181.14,53.78,59.46,10.32,104.14,152.92,-92.8,-38.7,14.8,-32.14,-13.42,156.1,-76.94,11.82,-13.12,-0.05,0.06,0.95,-0.2,-2.2,-4.1,-76.44897959,-49.26530612,94.71428571,-37.85714286,23.59183673,-3.06122449,-7.408163265,67.40816327,104.4693878,-53.6122449,22.08163265,84.18367347,25.67346939,-10.85714286,198.8979592,-69.02040816,5.632653061,-19.67346939,0.04,0.07,0.98,2.2,-5.5,-1.6,0.10192,0.1049,0.01446,-0.35888,-0.27946,-0.39903
0.2,0,83.28,-97.62,180.2,-180.14,51.78,39.46,5.32,100.14,153.92,-94.8,-35.7,-4.2,-32.14,-13.42,154.1,-75.94,10.82,-10.12,-0.05,0.07,0.95,-0.2,-2.2,-4,-72.44897959,-50.26530612,94.71428571,-33.85714286,22.59183673,-9.06122449,-5.408163265,67.40816327,104.4693878,-52.6122449,21.08163265,65.18367347,23.67346939,-13.85714286,201.8979592,-73.02040816,6.632653061,-25.67346939,0.04,0.07,0.98,2.3,-5.2,-1.5,0.10192,0.1049,0.01446,-0.35888,-0.27946,-0.39903
0.22,0,85.28,-96.62,177.2,-179.14,52.78,67.46,13.32,101.14,149.92,-96.8,-37.7,-10.2,-32.14,-12.42,155.1,-73.94,9.82,-8.12,-0.05,0.06,0.95,-0.3,-2.2,-3.9,-68.44897959,-47.26530612,95.71428571,-34.85714286,23.59183673,-17.06122449,-6.408163265,66.40816327,107.4693878,-52.6122449,20.08163265,50.18367347,23.67346939,-13.85714286,204.8979592,-73.02040816,8.632653061,-22.67346939,0.05,0.07,0.98,2.1,-5.5,-1.8,0.10192,0.1049,0.01446,-0.35888,-0.27946,-0.39903
0.24,0,79.28,-99.62,180.2,-178.14,51.78,39.46,3.32,106.14,150.92,-91.8,-35.7,5.8,-32.14,-12.42,155.1,-74.94,10.82,-12.12,-0.05,0.06,0.95,-0.5,-2.4,-4,-71.44897959,-48.26530612,93.71428571,-35.85714286,24.59183673,9.93877551,-9.408163265,66.40816327,108.4693878,-50.6122449,19.08163265,69.18367347,23.67346939,-12.85714286,208.8979592,-74.02040816,7.632653061,-21.67346939,0.04,0.07,0.98,2.3,-5.3,-1.6,0.10192,0.1049,0.01446,-0.35888,-0.27946,-0.39903
