Time(s),L-Fx1,L-Fy1,L-Fz1,L-Mx1,L-My1,L-Mz1,L-Fx2,L-Fy2,L-Fz2,L-Mx2,L-My2,L-Mz2,L-Fx3,L-Fy3,L-Fz3,L-Mx3,L-My3,L-Mz3,L-AccelX,L-AccelY,L-AccelZ,L-GyroX,L-GyroY,L-GyroZ,R-Fx1,R-Fy1,R-Fz1,R-Mx1,R-My1,R-Mz1,R-Fx2,R-Fy2,R-Fz2,R-Mx2,R-My2,R-Mz2,R-Fx3,R-Fy3,R-Fz3,R-Mx3,R-My3,R-Mz3,R-AccelX,R-AccelY,R-AccelZ,R-GyroX,R-GyroY,R-GyroZ,L-X,L-Y,L-Z,R-X,R-Y,R-Z
0.02,90.18,14.36,118.36,-57.36,-12.58,-122.12,25.7,24,106.04,-46.98,-8.38,-55.12,9.82,-50.74,295.78,-116.88,4.76,-9.68,0.01,0.04,0.98,2.8,-4.1,-4.8,-3.94,46.3,112.26,6.88,-13.32,50.78,-5.8,15.8,99.46,-16.78,3.1,4.3,45.98,28.96,403.66,-90.18,-29.3,74.06,-0.01,0.07,0.97,0.1,-4,-3.8,-0.08203,0.10523,-0.05322,0,0,0
0.04,92.18,16.36,120.36,-57.36,-14.58,-117.12,27.7,20,108.04,-46.98,-8.38,-73.12,8.82,-47.74,295.78,-114.88,6.76,-6.68,0.01,0.05,0.98,2.4,-4,-4.8,-4.94,41.3,111.26,6.88,-13.32,47.78,-11.8,12.8,99.46,-17.78,4.1,-5.7,44.98,31.96,399.66,-88.18,-29.3,77.06,0,0.07,0.97,0,-4.1,-3.8,-0.08203,0.10523,-0.05322,0,0,0
0.06,90.18,18.36,121.36,-58.36,-13.58,-111.12,23.7,24,113.04,-46.98,-8.38,-51.12,8.82,-48.74,299.78,-116.88,4.76,-9.68,0.01,0.04,0.98,2.5,-4.5,-4.8,-5.94,40.3,109.26,6.88,-14.32,45.78,-11.8,33.8,101.46,-12.78,3.1,9.3,42.98,31.96,397.66,-88.18,-27.3,75.06,0,0.07,0.97,0.1,-4.2,-3.9,-0.08203,0.10523,-0.05322,0,0,0
0.08,98.18,17.36,119.36,-62.36,-16.58,-135.12,21.7,22,109.04,-47.98,-7.38,-53.12,8.82,-48.74,296.78,-115.88,3.76,-9.68,0,0.05,0.98,2.5,-4.5,-4.7,-6.94,47.3,111.26,6.88,-13.32,66.78,-15.8,27.8,102.46,-13.78,2.1,-10.7,43.98,30.96,386.66,-88.18,-27.3,70.06,-0.01,0.06,0.96,0.2,-4.2,-3.8,-0.08203,0.10523,-0.05322,0,0,0
0.1,89.18,9.36,117.36,-60.36,-14.58,-126.12,18.7,22,103.04,-45.98,-6.38,-46.12,8.82,-50.74,294.78,-115.88,3.76,-1.68,0.01,0.04,0.98,2.5,-4.3,-4.9,-4.94,40.3,112.26,2.88,-13.32,74.78,-11.8,14.8,101.46,-17.78,2.1,-17.7,43.98,28.96,376.66,-86.18,-29.3,71.06,-0.01,0.07,0.97,0.3,-4.2,-4,-0.08203,0.10523,-0.05322,0,0,0
0.12,90.18,12.36,121.36,-59.36,-14.58,-144.12,16.7,24,111.04,-45.98,-7.38,-33.12,8.82,-49.74,299.78,-116.88,3.76,-0.68,0.01,0.05,0.98,1.8,-4.5,-4.9,-3.94,42.3,110.26,4.88,-17.32,64.78,-12.8,20.8,104.46,-16.78,4.1,-9.7,41.98,29.96,373.66,-85.18,-28.3,70.06,0,0.06,0.96,0.1,-4.5,-4,-0.08203,0.10523,-0.05322,0,0,0
0.14,95.18,13.36,118.36,-59.36,-14.58,-115.12,24.7,20,104.04,-44.98,-9.38,-47.12,8.82,-50.74,309.78,-118.88,1.76,-2.68,0.01,0.04,0.98,1.8,-4.5,-4.7,-3.94,44.3,113.26,1.88,-10.32,48.78,-10.8,27.8,104.46,-15.78,2.1,9.3,41.98,30.96,377.66,-85.18,-26.3,78.06,0,0.06,0.97,0.2,-4.5,-3.8,-0.08203,0.10523,-0.05322,0,0,0
0.16,87.18,9.36,120.36,-59.36,-11.58,-98.12,26.7,17,105.04,-45.98,-8.38,-48.12,5.82,-50.74,317.78,-119.88,3.76,-2.68,0.01,0.05,0.98,2.5,-4.7,-4.9,-6.94,47.3,119.26,2.88,-11.32,58.78,-15.8,22.8,106.46,-14.78,2.1,-7.7,40.98,31.96,373.66,-85.18,-28.3,60.06,0,0.07,0.97,0.2,-4,-4,-0.08203,0.10523,-0.05322,0,0,0
0.18,90.18,15.36,122.36,-60.36,-14.58,-144.12,24.7,21,106.04,-46.98,-7.38,-58.12,7.82,-48.74,317.78,-119.88,1.76,6.32,0,0.05,0.98,2.8,-4.5,-4.8,-4.94,44.3,115.26,3.88,-15.32,60.78,-13.8,24.8,107.46,-16.78,2.1,10.3,40.98,32.96,366.66,-83.18,-26.3,71.06,-0.01,0.07,0.97,0.3,-4.3,-4,-0.08203,0.10523,-0.05322,0,0,0
0.2,98.18,16.36,121.36,-62.36,-14.58,-123.12,28.7,20,104.04,-45.98,-8.38,-88.12,6.82,-48.74,313.78,-118.88,2.76,-3.68,0.01,0.04,0.97,2.4,-4.2,-4.8,-4.94,42.3,116.26,2.88,-14.32,59.78,-11.8,29.8,108.46,-15.78,1.1,14.3,40.98,29.96,360.66,-83.18,-28.3,65.06,-0.01,0.07,0.97,0.2,-4.3,-3.8,-0.08203,0.10523,-0.05322,0,0,0
0.22,93.18,10.36,119.36,-58.36,-13.58,-117.12,30.7,20,108.04,-44.98,-7.38,-62.12,8.82,-50.74,316.78,-119.88,2.76,1.32,0.01,0.05,0.98,2.7,-4.2,-4.7,-9.94,44.3,120.26,0.88,-9.32,47.78,-15.8,31.8,110.46,-14.78,2.1,10.3,42.98,29.96,349.66,-83.18,-27.3,67.06,0,0.07,0.98,0.3,-4.2,-3.9,-0.08203,0.10523,-0.05322,0,0,0
0.24,91.18,11.36,122.36,-57.36,-13.58,-114.12,29.7,20,107.04,-45.98,-10.38,-47.12,8.82,-48.74,319.78,-119.88,0.76,-1.68,0.01,0.05,0.98,2.4,-4.2,-4.8,-5.94,42.3,119.26,1.88,-12.32,63.78,-11.8,22.8,108.46,-17.78,2.1,-5.7,38.98,27.96,342.66,-83.18,-25.3,58.06,0,0.07,0.97,0.1,-4,-3.9,-0.08203,0.10523,-0.05322,0,0,0
0.26,89.18,9.36,118.36,-60.36,-15.58,-150.12,26.7,18,110.04,-46.98,-5.38,-59.12,5.82,-47.74,318.78,-119.88,3.76,-2.68,0.01,0.05,0.98,2.8,-4.4,-4.7,-9.94,44.3,124.26,0.88,-10.32,66.78,-12.8,24.8,110.46,-16.78,1.1,-12.7,42.98,28.96,337.66,-81.18,-26.3,56.06,0,0.07,0.97,0.2,-4,-3.8,-0.08203,0.10523,-0.05322,0,0,0
0.28,94.18,14.36,130.36,-61.36,-14.58,-116.12,27.7,22,105.04,-46.98,-8.38,-59.12,7.82,-47.74,311.78,-117.88,3.76,-1.68,0.01,0.04,0.98,3.2,-4.3,-4.7,-7.94,45.3,117.26,3.88,-15.32,67.78,-15.8,31.8,108.46,-13.78,3.1,8.3,40.98,28.96,334.66,-80.18,-25.3,57.06,0,0.06,0.97,0.2,-4,-3.8,-0.08203,0.10523,-0.05322,0,0,0
0.3,99.18,16.36,132.36,-64.36,-15.58,-127.12,18.7,22,113.04,-47.98,-7.38,-30.12,8.82,-46.74,302.78,-115.88,2.76,-8.68,0.01,0.05,0.98,3,-4.4,-4.8,-7.94,42.3,120.26,1.88,-13.32,67.78,-13.8,25.8,106.46,-14.78,3.1,-8.7,40.98,27.96,333.66,-79.18,-23.3,61.06,0,0.07,0.97,0.2,-3.8,-4,-0.08203,0.10523,-0.05322,0,0,0
0.32,97.18,19.36,132.36,-64.36,-15.58,-93.12,23.7,24,116.04,-47.98,-8.38,-51.12,7.82,-49.74,299.78,-117.88,4.76,-6.68,0.01,0.05,0.98,2.8,-4.2,-4.7,-3.94,44.3,120.26,2.88,-15.32,62.78,-10.8,20.8,103.46,-16.78,1.1,-6.7,41.98,26.96,327.66,-78.18,-23.3,58.06,0,0.07,0.97,0,-4.1,-3.8,-0.08203,0.10523,-0.05322,0,0,0
0.34,103.18,18.36,130.36,-63.36,-16.58,-135.12,27.7,24,113.04,-49.98,-8.38,-62.12,6.82,-46.74,302.78,-115.88,5.76,-4.68,0.01,0.05,0.98,2.6,-4.2,-4.7,-5.94,45.3,126.26,-1.12,-13.32,36.78,-10.8,23.8,105.46,-16.78,0.1,19.3,41.98,28.96,320.66,-76.18,-24.3,55.06,-0.01,0.07,0.97,0.2,-4.2,-3.7,-0.08203,0.10523,-0.05322,0,0,0
0.36,100.18,23.36,129.36,-60.36,-14.58,-113.12,32.7,23,112.04,-49.98,-9.38,-61.12,10.82,-47.74,306.78,-117.88,3.76,-4.68,0.01,0.05,0.98,2.4,-4.5,-4.6,-4.94,44.3,126.26,-1.12,-14.32,53.78,-13.8,25.8,106.46,-15.78,3.1,-5.7,44.98,25.96,314.66,-79.18,-26.3,55.06,-0.01,0.07,0.97,0.2,-4.1,-3.8,-0.08203,0.10523,-0.05322,0,0,0
0.38,100.18,20.36,129.36,-63.36,-16.58,-104.12,25.7,26,119.04,-48.98,-6.38,-32.12,9.82,-47.74,311.78,-119.88,4.76,0.32,0.01,0.05,0.98,3.2,-4.2,-4.6,-1.94,43.3,128.26,-2.12,-15.32,66.78,-12.8,17.8,104.46,-17.78,3.1,-22.7,44.98,25.96,315.66,-77.18,-24.3,52.06,0,0.07,0.97,0,-4,-3.5,-0.08203,0.10523,-0.05322,0,0,0
0.4,99.18,17.36,131.36,-64.36,-16.58,-120.12,31.7,25,123.04,-49.98,-9.38,-56.12,11.82,-45.74,303.78,-116.88,3.76,-3.68,0.01,0.05,0.99,2.9,-4.4,-4.7,-7.94,44.3,126.26,0.88,-13.32,70.78,-6.8,19.8,103.46,-16.78,2.1,-13.7,44.98,23.96,315.66,-78.18,-24.3,57.06,0,0.07,0.97,0.1,-4.1,-3.9,-0.08203,0.10523,-0.05322,0,0,0
0.42,99.18,19.36,134.36,-66.36,-15.58,-133.12,29.7,29,126.04,-49.98,-10.38,-38.12,8.82,-45.74,298.78,-115.88,5.76,-4.68,0,0.05,0.98,2.9,-4.1,-4.7,-3.94,45.3,130.26,-0.12,-16.32,66.78,-9.8,25.8,103.46,-15.78,0.1,17.3,44.98,25.96,313.66,-74.18,-22.3,56.06,-0.01,0.07,0.97,0.2,-4.2,-3.8,-0.08203,0.10523,-0.05322,0,0,0
0.44,102.18,23.36,132.36,-66.36,-16.58,-123.12,32.7,22,122.04,-52.98,-9.38,-57.12,12.82,-46.74,293.78,-115.88,3.76,-6.68,0,0.05,0.98,2.8,-4.4,-4.7,-5.94,45.3,132.26,-1.12,-16.32,55.78,-6.8,19.8,102.46,-17.78,3.1,1.3,43.98,25.96,309.66,-74.18,-22.3,57.06,-0.01,0.06,0.97,0.3,-4,-3.9,-0.08203,0.10523,-0.05322,0,0,0
0.46,105.18,24.36,133.36,-64.36,-19.58,-135.12,30.7,25,125.04,-53.98,-7.38,-83.12,12.82,-44.74,295.78,-113.88,4.76,-6.68,0.01,0.05,0.98,2.5,-4.7,-4.7,-7.94,47.3,134.26,-1.12,-14.32,59.78,-12.8,26.8,106.46,-14.78,2.1,10.3,45.98,22.96,302.66,-76.18,-24.3,53.06,-0.01,0.07,0.97,0.1,-4.2,-3.9,-0.08203,0.10523,-0.05322,0,0,0
0.48,105.18,23.36,130.36,-64.36,-18.58,-115.12,31.7,25,120.04,-50.98,-10.38,-62.12,10.82,-46.74,294.78,-114.88,6.76,-9.68,0.01,0.05,0.97,2.4,-4.5,-4.6,-5.94,47.3,133.26,-2.12,-14.32,48.78,-9.8,20.8,102.46,-18.78,2.1,-5.7,41.98,24.96,301.66,-74.18,-20.3,55.06,0,0.07,0.98,0.1,-4.2,-3.9,-0.08203,0.10523,-0.05322,0,0,0
0.5,108.18,22.36,126.36,-64.36,-19.58,-125.12,26.7,26,121.04,-49.98,-8.38,-48.12,12.82,-47.74,297.78,-115.88,3.76,-7.68,0.01,0.05,0.98,2.5,-4.3,-4.6,-9.94,44.3,128.26,-2.12,-14.32,50.78,-11.8,30.8,103.46,-13.78,1.1,22.3,44.98,23.96,299.66,-74.18,-22.3,52.06,-0.01,0.07,0.97,0,-4.3,-4,-0.08203,0.10523,-0.05322,0,0,0
0.52,109.18,22.36,127.36,-65.36,-18.58,-128.12,29.7,28,121.04,-49.98,-10.38,-83.12,12.82,-46.74,297.78,-114.88,5.76,-11.68,0,0.04,0.98,2.8,-4.4,-4.7,-2.94,46.3,129.26,-1.12,-14.32,59.78,-9.8,31.8,103.46,-14.78,1.1,-3.7,43.98,21.96,300.66,-76.18,-23.3,54.06,0,0.07,0.97,-0.1,-4.3,-3.8,-0.08203,0.10523,-0.05322,0,0,0
0.54,108.18,26.36,130.36,-66.36,-17.58,-105.12,26.7,27,118.04,-50.98,-8.38,-61.12,11.82,-45.74,294.78,-113.88,5.76,-3.68,0.01,0.05,0.98,2.9,-4.3,-4.7,-3.94,47.3,127.26,1.88,-13.32,56.78,-9.8,18.8,104.46,-15.78,2.1,-11.7,42.98,23.96,299.66,-75.18,-22.3,53.06,0,0.07,0.98,0.2,-4.4,-3.9,-0.08203,0.10523,-0.05322,0,0,0
0.56,105.18,23.36,129.36,-68.36,-18.58,-103.12,25.7,27,121.04,-49.98,-7.38,-53.12,11.82,-48.74,291.78,-115.88,6.76,-1.68,0.01,0.05,0.98,2.8,-4.2,-4.7,-10.94,51.3,135.26,-2.12,-14.32,56.78,-10.8,25.8,107.46,-16.78,0.1,-5.7,42.98,22.96,292.66,-75.18,-22.3,50.06,0,0.07,0.97,0.1,-4.5,-3.8,-0.08203,0.10523,-0.05322,0,0,0
0.58,105.18,25.36,138.36,-64.36,-18.58,-120.12,23.7,31,123.04,-49.98,-9.38,-45.12,12.82,-46.74,288.78,-112.88,5.76,-6.68,0.01,0.05,0.98,2.6,-4.2,-4.8,-4.94,47.3,134.26,-3.12,-13.32,46.78,-11.8,24.8,107.46,-17.78,2.1,-4.7,41.98,22.96,288.66,-73.18,-22.3,47.06,0,0.07,0.97,0.3,-4.5,-3.8,-0.08203,0.10523,-0.05322,0,0,0
0.6,107.18,22.36,124.36,-64.36,-17.58,-91.12,30.7,31,126.04,-49.98,-9.38,-68.12,12.82,-46.74,290.78,-113.88,4.76,-8.68,0.01,0.05,0.98,2.3,-4,-4.8,-6.94,48.3,135.26,-4.12,-15.32,45.78,-9.8,28.8,109.46,-17.78,3.1,-2.7,43.98,22.96,283.66,-72.18,-22.3,46.06,0,0.07,0.97,0,-4.4,-3.8,-0.08203,0.10523,-0.05322,0,0,0
0.64,104.18,20.36,127.36,-62.36,-18.58,-126.12,25.7,33,118.04,-47.98,-9.38,-50.12,9.82,-45.74,299.78,-114.88,6.76,-1.68,0.01,0.05,0.98,2.6,-4.5,-4.7,-6.94,51.3,131.26,-0.12,-16.32,67.78,-7.8,31.8,107.46,-14.78,1.1,17.3,41.98,23.96,292.66,-73.18,-21.3,49.06,0,0.07,0.97,-0.1,-4.3,-3.9,-0.08203,0.10523,-0.05322,0,0,0
0.66,107.18,23.36,128.36,-63.36,-17.58,-121.12,21.7,31,117.04,-47.98,-9.38,-22.12,10.82,-48.74,296.78,-115.88,4.76,-8.68,0.01,0.05,0.98,3.1,-4.7,-4.7,-3.94,49.3,130.26,-0.12,-16.32,44.78,-7.8,28.8,109.46,-14.78,2.1,24.3,41.98,27.96,297.66,-72.18,-22.3,50.06,0,0.07,0.97,0,-4.1,-3.8,-0.08203,0.10523,-0.05322,0,0,0
0.68,108.18,29.36,133.36,-63.36,-19.58,-126.12,22.7,37,112.04,-48.98,-8.38,-55.12,11.82,-47.74,289.78,-113.88,5.76,-2.68,0.01,0.05,0.98,2.9,-4.4,-4.7,-4.94,45.3,130.26,-1.12,-14.32,55.78,-8.8,28.8,105.46,-14.78,2.1,17.3,41.98,25.96,300.66,-74.18,-22.3,53.06,-0.01,0.07,0.97,0,-4.2,-3.8,-0.08203,0.10523,-0.05322,0,0,0
0.7,109.18,31.36,132.36,-64.36,-20.58,-113.12,21.7,34,114.04,-46.98,-9.38,-52.12,12.82,-48.74,286.78,-113.88,4.76,-6.68,0.01,0.04,0.98,2.8,-4.4,-4.6,-12.94,44.3,129.26,2.88,-13.32,65.78,-13.8,29.8,107.46,-15.78,4.1,-4.7,42.98,25.96,299.66,-73.18,-23.3,56.06,0,0.07,0.97,0,-4.2,-3.9,-0.08203,0.10523,-0.05322,0,0,0
0.72,112.18,31.36,135.36,-64.36,-21.58,-143.12,21.7,37,111.04,-48.98,-10.38,-54.12,10.82,-46.74,283.78,-112.88,6.76,-10.68,0.01,0.05,0.98,2.6,-4.2,-4.6,-8.94,43.3,129.26,-0.12,-13.32,58.78,-14.8,20.8,104.46,-15.78,3.1,-11.7,42.98,26.96,300.66,-74.18,-22.3,56.06,-0.01,0.07,0.97,0,-4.3,-3.9,-0.08203,0.10523,-0.05322,0,0,0
0.74,110.18,29.36,133.36,-64.36,-18.58,-104.12,18.7,35,114.04,-48.98,-10.38,-55.12,12.82,-46.74,284.78,-110.88,4.76,-8.68,0.01,0.05,0.98,2.7,-4.2,-4.7,-9.94,39.3,124.26,-1.12,-13.32,69.78,-14.8,20.8,105.46,-13.78,1.1,-1.7,40.98,26.96,300.66,-73.18,-22.3,58.06,-0.01,0.07,0.97,0.2,-4.5,-3.8,-0.08203,0.10523,-0.05322,0,0,0
0.76,112.18,30.36,133.36,-67.36,-21.58,-130.12,19.7,39,118.04,-50.98,-7.38,-54.12,10.82,-46.74,281.78,-110.88,5.76,-8.68,0.01,0.05,0.98,2.8,-4.2,-4.6,-10.94,46.3,128.26,-0.12,-14.32,44.78,-12.8,24.8,106.46,-16.78,2.1,-7.7,40.98,24.96,293.66,-74.18,-23.3,52.06,0,0.07,0.97,0.4,-4.5,-3.8,-0.08203,0.10523,-0.05322,0,0,0
0.78,109.18,29.36,141.36,-67.36,-19.58,-100.12,16.7,37,122.04,-49.98,-10.38,-54.12,7.82,-46.74,274.78,-108.88,7.76,-7.68,0.01,0.05,0.98,3,-4.1,-4.8,-4.94,49.3,128.26,-0.12,-13.32,76.78,-17.8,19.8,109.46,-16.78,1.1,-6.7,40.98,25.96,284.66,-72.18,-22.3,51.06,0,0.07,0.97,0.5,-4.4,-3.8,-0.08203,0.10523,-0.05322,0,0,0
0.8,112.18,29.36,139.36,-71.36,-21.58,-119.12,22.7,37,133.04,-50.98,-8.38,-48.12,10.82,-46.74,269.78,-107.88,6.76,-7.68,0.01,0.05,0.98,2.6,-4,-4.7,-9.94,50.3,128.26,-0.12,-14.32,53.78,-14.8,31.8,111.46,-15.78,0.1,14.3,38.98,25.96,277.66,-70.18,-21.3,50.06,0,0.07,0.97,0.3,-4.3,-3.8,-0.08203,0.10523,-0.05322,0,0,0
0.82,113.18,29.36,142.36,-70.36,-20.58,-108.12,22.7,35,127.04,-49.98,-8.38,-36.12,9.82,-46.74,266.78,-107.88,6.76,-8.68,0.01,0.05,0.98,2.8,-4.2,-4.6,-9.94,47.3,132.26,1.88,-10.32,66.78,-14.8,41.8,114.46,-13.78,2.1,5.3,38.98,24.96,275.66,-71.18,-22.3,45.06,-0.01,0.07,0.97,0.2,-4.4,-3.8,-0.08203,0.10523,-0.05322,0,0,0
0.84,115.18,25.36,145.36,-71.36,-19.58,-99.12,26.7,35,133.04,-52.98,-8.38,-65.12,10.82,-47.74,266.78,-108.88,5.76,-7.68,0.01,0.05,0.98,2.5,-4.4,-4.5,-7.94,45.3,127.26,0.88,-14.32,44.78,-17.8,25.8,112.46,-15.78,2.1,9.3,37.98,24.96,276.66,-71.18,-21.3,51.06,0,0.07,0.96,0,-4.3,-4,-0.08203,0.10523,-0.05322,0,0,0
0.86,111.18,26.36,145.36,-73.36,-20.58,-112.12,27.7,31,137.04,-54.98,-9.38,-94.12,12.82,-44.74,266.78,-106.88,4.76,-9.68,0.01,0.05,0.98,2.3,-4.7,-4.7,-9.94,46.3,131.26,-0.12,-11.32,62.78,-12.8,34.8,113.46,-15.78,0.1,9.3,41.98,25.96,276.66,-71.18,-23.3,48.06,-0.01,0.07,0.97,0,-4.5,-3.8,-0.08203,0.10523,-0.05322,0,0,0
0.88,112.18,28.36,148.36,-73.36,-20.58,-121.12,23.7,31,129.04,-53.98,-10.38,-41.12,9.82,-45.74,270.78,-108.88,7.76,-4.68,0,0.04,0.98,2.4,-4.3,-4.8,-7.94,45.3,130.26,-2.12,-13.32,44.78,-14.8,23.8,115.46,-19.78,2.1,-22.7,38.98,25.96,276.66,-71.18,-21.3,51.06,-0.01,0.07,0.97,-0.2,-4.5,-4,-0.08203,0.10523,-0.05322,0,0,0
0.9,106.18,23.36,144.36,-75.36,-20.58,-141.12,21.7,35,118.04,-49.98,-8.38,-46.12,8.82,-46.74,273.78,-109.88,7.76,-7.68,0.01,0.05,0.98,2.3,-4.3,-4.9,-4.94,45.3,124.26,-0.12,-13.32,62.78,-14.8,25.8,114.46,-17.78,1.1,13.3,39.98,25.96,281.66,-70.18,-21.3,52.06,0,0.07,0.97,-0.2,-4.5,-3.7,-0.08203,0.10523,-0.05322,0,0,0
0.92,105.18,23.36,147.36,-72.36,-20.58,-113.12,31.7,32,125.04,-51.98,-10.38,-70.12,9.82,-46.74,275.78,-109.88,5.76,-5.68,0,0.05,0.98,2.4,-4.5,-4.8,-9.94,43.3,122.26,-0.12,-14.32,58.78,-13.8,30.8,113.46,-16.78,1.1,20.3,39.98,26.96,285.66,-72.18,-21.3,50.06,0,0.07,0.97,-0.2,-4.1,-3.8,-0.08203,0.10523,-0.05322,0,0,0
0.94,104.18,22.36,147.36,-72.36,-19.58,-97.12,24.7,35,125.04,-50.98,-10.38,-42.12,8.82,-46.74,276.78,-110.88,6.76,-9.68,0.01,0.04,0.98,2.5,-4.3,-4.7,-8.94,43.3,126.26,-1.12,-12.32,74.78,-17.8,27.8,112.46,-15.78,1.1,0.3,41.98,27.96,289.66,-72.18,-23.3,52.06,0,0.07,0.97,0,-4.2,-3.8,-0.08203,0.10523,-0.05322,0,0,0
0.96,106.18,24.36,147.36,-73.36,-20.58,-84.12,26.7,32,125.04,-50.98,-10.38,-61.12,11.82,-46.74,279.78,-109.88,4.76,-4.68,0.01,0.05,0.98,2.3,-4.5,-4.7,-8.94,45.3,126.26,-0.12,-14.32,58.78,-16.8,28.8,112.46,-14.78,1.1,10.3,39.98,25.96,285.66,-72.18,-20.3,51.06,0,0.07,0.97,0.2,-4.2,-3.8,-0.08203,0.10523,-0.05322,0,0,0
0.98,111.18,21.36,145.36,-74.36,-20.58,-112.12,23.7,36,128.04,-48.98,-8.38,-47.12,10.82,-45.74,282.78,-110.88,4.76,-10.68,0.01,0.05,0.98,2.5,-4.5,-4.7,-4.94,45.3,122.26,-0.12,-17.32,67.78,-10.8,20.8,111.46,-16.78,2.1,-10.7,40.98,22.96,278.66,-73.18,-21.3,48.06,-0.01,0.06,0.97,0.2,-4.2,-3.7,-0.08203,0.10523,-0.05322,0,0,0
1,111.18,26.36,150.36,-72.36,-22.58,-129.12,32.7,33,125.04,-51.98,-10.38,-57.12,9.82,-45.74,281.78,-110.88,5.76,-5.68,0.01,0.04,0.98,2.6,-4.2,-4.7,-3.94,47.3,127.26,0.88,-14.32,56.78,-11.8,28.8,111.46,-16.78,1.1,-8.7,38.98,23.96,275.66,-70.18,-20.3,51.06,0,0.07,0.97,0.1,-4.3,-3.8,-0.08203,0.10523,-0.05322,0,0,0
1.02,109.18,27.36,146.36,-71.36,-19.58,-99.12,23.7,31,127.04,-51.98,-10.38,-52.12,12.82,-47.74,284.78,-112.88,4.76,-1.68,0.01,0.05,0.98,2.7,-4.2,-4.8,-6.94,43.3,122.26,-1.12,-12.32,51.78,-11.8,24.8,109.46,-15.78,1.1,-3.7,39.98,25.96,277.66,-70.18,-21.3,41.06,-0.01,0.06,0.97,0,-4.2,-3.8,-0.08203,0.10523,-0.05322,0,0,0
1.04,118.18,30.36,150.36,-72.36,-22.58,-110.12,27.7,32,129.04,-52.98,-10.38,-66.12,12.82,-44.74,276.78,-109.88,3.76,-11.68,0.01,0.05,0.98,2.9,-4.5,-4.5,-5.94,46.3,120.26,-0.12,-15.32,71.78,-10.8,29.8,110.46,-14.78,0.1,24.3,39.98,25.96,280.66,-70.18,-22.3,49.06,0,0.07,0.97,0.1,-4.2,-3.9,-0.08203,0.10523,-0.05322,0,0,0
1.06,114.18,29.36,151.36,-75.36,-22.58,-120.12,24.7,33,125.04,-51.98,-8.38,-60.12,10.82,-46.74,271.78,-108.88,7.76,-9.68,0.01,0.05,0.98,2.8,-4.2,-4.7,-9.94,44.3,122.26,0.88,-17.32,76.78,-10.8,27.8,111.46,-16.78,2.1,-2.7,40.98,24.96,275.66,-71.18,-21.3,47.06,0,0.07,0.97,0.4,-4,-3.8,-0.08203,0.10523,-0.05322,0,0,0
1.08,116.18,32.36,154.36,-76.36,-23.58,-135.12,23.7,35,130.04,-51.98,-8.38,-47.12,10.82,-46.74,265.78,-107.88,5.76,-12.68,0.01,0.05,0.98,2.8,-4.7,-4.7,-8.94,49.3,133.26,-0.12,-12.32,62.78,-16.8,25.8,114.46,-16.78,1.1,-14.7,40.98,24.96,269.66,-68.18,-21.3,47.06,0,0.08,0.97,0.1,-4.3,-4,-0.08203,0.10523,-0.05322,0,0,0
