Time(s),FX1,L-Fx1,L-Fy1,L-Fz1,L-Mx1,L-My1,L-Mz1,L-Fx2,L-Fy2,L-Fz2,L-Mx2,L-My2,L-Mz2,L-Fx3,L-Fy3,L-Fz3,L-Mx3,L-My3,L-Mz3,L-AccelX,L-AccelY,L-AccelZ,L-GyroX,L-GyroY,L-GyroZ,R-Fx1,R-Fy1,R-Fz1,R-Mx1,R-My1,R-Mz1,R-Fx2,R-Fy2,R-Fz2,R-Mx2,R-My2,R-Mz2,R-Fx3,R-Fy3,R-Fz3,R-Mx3,R-My3,R-Mz3,R-AccelX,R-AccelY,R-AccelZ,R-GyroX,R-GyroY,R-GyroZ,L-X,L-Y,L-Z,R-X,R-Y,R-Z
0,0,13.58823529,19.03921569,28.54901961,-1.078431373,-10.45098039,47.84313725,-10.25490196,3.647058824,85.37254902,-64.21568627,-4.960784314,0.058823529,15.90196078,-0.235294118,359.627451,-129.2352941,6.588235294,21.23529412,0,0.03,0.98,2.3,-4.7,-4.7,18.54,29.14,49.86,15.18,-22.1,51.46,1.28,22.5,138.04,-67.86,-6.98,1.54,-1.82,1.4,242.46,-93.58,-16.08,49.22,0,0.07,0.98,0.4,-4.9,-3.5,0,0,0,0.0553,0.06751,0.02145
0.02,0,13.58823529,14.03921569,23.54901961,-2.078431373,-9.450980392,37.84313725,-6.254901961,1.647058824,77.37254902,-61.21568627,-3.960784314,-24.94117647,16.90196078,2.764705882,357.627451,-126.2352941,6.588235294,22.23529412,0,0.03,0.99,2.3,-4.6,-4.9,25.54,28.14,45.86,17.18,-24.1,50.46,-1.72,15.5,138.04,-66.86,-4.98,11.54,-0.82,3.4,244.46,-92.58,-17.08,52.22,0,0.07,0.97,0.2,-4.7,-3.7,0,0,0,0.0553,0.06751,0.02145
0.04,0,16.58823529,15.03921569,27.54901961,-4.078431373,-9.450980392,21.84313725,-10.25490196,3.647058824,79.37254902,-60.21568627,-4.960784314,15.05882353,16.90196078,2.764705882,358.627451,-128.2352941,6.588235294,19.23529412,0,0.03,0.98,2.4,-4.5,-4.9,21.54,32.14,50.86,18.18,-21.1,71.46,0.28,16.5,136.04,-68.86,-5.98,-3.46,-1.82,4.4,244.46,-92.58,-18.08,44.22,0,0.06,0.97,0.3,-4.7,-3.7,0,0,0,0.0553,0.06751,0.02145
0.06,0,17.58823529,16.03921569,19.54901961,-4.078431373,-10.45098039,51.84313725,-8.254901961,2.647058824,82.37254902,-63.21568627,-4.960784314,-1.941176471,16.90196078,0.764705882,359.627451,-128.2352941,6.588235294,23.23529412,0,0.03,0.98,2.4,-4.5,-4.7,25.54,28.14,50.86,15.18,-20.1,43.46,-2.72,14.5,137.04,-67.86,-5.98,-11.46,-2.82,5.4,244.46,-91.58,-17.08,47.22,-0.01,0.06,0.97,0.2,-4.7,-3.7,0,0,0,0.0553,0.06751,0.02145
0.08,0,14.58823529,14.03921569,22.54901961,-3.078431373,-10.45098039,46.84313725,-6.254901961,2.647058824,85.37254902,-63.21568627,-4.960784314,-11.94117647,17.90196078,0.764705882,358.627451,-128.2352941,6.588235294,21.23529412,0,0.03,0.99,2.4,-4.5,-4.7,25.54,31.14,45.86,18.18,-25.1,52.46,0.28,8.5,135.04,-69.86,-3.98,-10.46,-0.82,3.4,245.46,-92.58,-19.08,49.22,-0.01,0.06,0.97,0.2,-4.7,-3.6,0,0,0,0.0553,0.06751,0.02145
0.1,0,17.58823529,15.03921569,29.54901961,-2.078431373,-9.450980392,18.84313725,-10.25490196,6.647058824,77.37254902,-61.21568627,-3.960784314,5.058823529,16.90196078,1.764705882,360.627451,-127.2352941,6.588235294,21.23529412,0,0.03,0.98,2.4,-4.3,-4.7,22.54,34.14,50.86,18.18,-22.1,58.46,-1.72,13.5,135.04,-67.86,-2.98,-8.46,-2.82,5.4,245.46,-91.58,-16.08,44.22,0,0.07,0.97,0.4,-4.6,-3.6,0,0,0,0.0553,0.06751,0.02145
0.12,0,13.58823529,14.03921569,22.54901961,-3.078431373,-10.45098039,37.84313725,-5.254901961,1.647058824,82.37254902,-63.21568627,-5.960784314,-17.94117647,16.90196078,0.764705882,360.627451,-128.2352941,6.588235294,19.23529412,0,0.03,0.98,2.5,-4.5,-4.8,21.54,29.14,50.86,18.18,-20.1,61.46,-0.72,3.5,133.04,-68.86,-2.98,1.54,-2.82,4.4,244.46,-92.58,-16.08,45.22,0,0.07,0.97,0.2,-4.7,-3.6,0,0,0,0.0553,0.06751,0.02145
0.14,0,17.58823529,14.03921569,24.54901961,-2.078431373,-10.45098039,21.84313725,-3.254901961,1.647058824,81.37254902,-63.21568627,-6.960784314,-19.94117647,16.90196078,-0.235294118,360.627451,-128.2352941,6.588235294,28.23529412,0,0.03,0.98,2.3,-4.8,-4.8,20.54,30.14,46.86,17.18,-23.1,52.46,0.28,16.5,135.04,-68.86,-4.98,24.54,-1.82,5.4,246.46,-91.58,-18.08,49.22,0,0.06,0.97,0.1,-4.6,-3.8,0,0,0,0.0553,0.06751,0.02145
0.16,0,18.58823529,14.03921569,26.54901961,-2.078431373,-11.45098039,14.84313725,-11.25490196,2.647058824,81.37254902,-63.21568627,-4.960784314,5.058823529,17.90196078,0.764705882,360.627451,-128.2352941,5.588235294,21.23529412,0,0.04,0.98,2.4,-4.5,-4.7,18.54,34.14,50.86,19.18,-22.1,48.46,-3.72,9.5,135.04,-68.86,-2.98,-0.46,-2.82,4.4,246.46,-92.58,-18.08,49.22,0,0.07,0.97,0.3,-4.7,-3.7,0,0,0,0.0553,0.06751,0.02145
0.18,0,18.58823529,20.03921569,26.54901961,-3.078431373,-9.450980392,30.84313725,-10.25490196,4.647058824,86.37254902,-62.21568627,-5.960784314,3.058823529,17.90196078,1.764705882,362.627451,-128.2352941,5.588235294,23.23529412,0,0.03,0.98,2.4,-4.5,-4.7,22.54,37.14,51.86,18.18,-22.1,54.46,4.28,1.5,134.04,-70.86,-2.98,-8.46,-2.82,5.4,246.46,-91.58,-17.08,40.22,-0.01,0.06,0.97,0.2,-4.5,-3.5,0,0,0,0.0553,0.06751,0.02145
0.2,0,14.58823529,14.03921569,25.54901961,-3.078431373,-11.45098039,32.84313725,-12.25490196,2.647058824,75.37254902,-60.21568627,-3.960784314,4.058823529,18.90196078,0.764705882,362.627451,-129.2352941,6.588235294,21.23529412,0,0.03,0.98,2.5,-4.6,-4.9,23.54,34.14,47.86,17.18,-23.1,51.46,0.28,14.5,135.04,-67.86,-4.98,10.54,-1.82,5.4,246.46,-90.58,-18.08,49.22,-0.01,0.06,0.97,0.2,-4.7,-3.8,0,0,0,0.0553,0.06751,0.02145
0.22,0,13.58823529,16.03921569,26.54901961,-1.078431373,-8.450980392,45.84313725,-10.25490196,1.647058824,79.37254902,-61.21568627,-4.960784314,-4.941176471,15.90196078,-0.235294118,364.627451,-129.2352941,6.588235294,25.23529412,0,0.03,0.98,2.6,-4.5,-4.6,19.54,33.14,46.86,18.18,-23.1,67.46,-3.72,14.5,134.04,-65.86,-2.98,-8.46,-0.82,5.4,249.46,-91.58,-19.08,51.22,0,0.07,0.97,0.3,-4.7,-3.4,0,0,0,0.0553,0.06751,0.02145
0.24,0,16.58823529,15.03921569,26.54901961,-1.078431373,-10.45098039,47.84313725,-5.254901961,-0.352941176,87.37254902,-61.21568627,-4.960784314,-16.94117647,18.90196078,-0.235294118,366.627451,-128.2352941,6.588235294,28.23529412,0,0.03,0.98,2.5,-4.5,-4.7,26.54,34.14,52.86,15.18,-20.1,24.46,-2.72,16.5,135.04,-67.86,-4.98,-2.46,-0.82,4.4,248.46,-92.58,-19.08,51.22,0,0.06,0.97,0.4,-4.8,-3.8,0,0,0,0.0553,0.06751,0.02145
0.26,0,11.58823529,14.03921569,25.54901961,-2.078431373,-8.450980392,25.84313725,-12.25490196,3.647058824,83.37254902,-59.21568627,-2.960784314,-18.94117647,16.90196078,-0.235294118,368.627451,-130.2352941,6.588235294,25.23529412,0,0.03,0.98,2.3,-4.6,-5,22.54,31.14,52.86,19.18,-22.1,49.46,4.28,10.5,134.04,-67.86,-4.98,5.54,-2.82,3.4,251.46,-92.58,-16.08,53.22,-0.01,0.06,0.97,0.3,-4.6,-3.7,0,0,0,0.0553,0.06751,0.02145
0.28,0,14.58823529,21.03921569,30.54901961,-0.078431373,-11.45098039,5.843137255,-7.254901961,0.647058824,75.37254902,-60.21568627,-5.960784314,-19.94117647,18.90196078,1.764705882,369.627451,-128.2352941,6.588235294,24.23529412,0,0.02,0.98,2.3,-4.6,-4.7,26.54,34.14,46.86,17.18,-21.1,43.46,1.28,2.5,131.04,-68.86,-3.98,-21.46,-2.82,4.4,252.46,-92.58,-17.08,52.22,0,0.07,0.98,0.3,-4.7,-3.8,0,0,0,0.0553,0.06751,0.02145
0.3,0,16.58823529,17.03921569,24.54901961,-2.078431373,-11.45098039,21.84313725,-13.25490196,4.647058824,75.37254902,-60.21568627,-3.960784314,3.058823529,16.90196078,-0.235294118,371.627451,-129.2352941,7.588235294,25.23529412,0,0.03,0.98,2.5,-4.7,-4.7,24.54,30.14,52.86,16.18,-20.1,36.46,1.28,2.5,131.04,-66.86,-5.98,-10.46,-1.82,4.4,252.46,-92.58,-17.08,50.22,0,0.06,0.97,0.2,-4.6,-3.7,0,0,0,0.0553,0.06751,0.02145
0.32,0,14.58823529,12.03921569,21.54901961,-2.078431373,-9.450980392,10.84313725,-4.254901961,0.647058824,75.37254902,-59.21568627,-6.960784314,-19.94117647,19.90196078,-1.235294118,373.627451,-130.2352941,5.588235294,21.23529412,0,0.03,0.98,2.3,-4.6,-4.9,20.54,32.14,46.86,19.18,-24.1,45.46,1.28,0.5,130.04,-66.86,-2.98,-12.46,-0.82,3.4,251.46,-93.58,-18.08,47.22,0,0.07,0.97,0.2,-4.6,-3.6,0,0,0,0.0553,0.06751,0.02145
