Time(s),L-Fx1,L-Fy1,L-Fz1,L-Mx1,L-My1,L-Mz1,L-Fx2,L-Fy2,L-Fz2,L-Mx2,L-My2,L-Mz2,L-Fx3,L-Fy3,L-Fz3,L-Mx3,L-My3,L-Mz3,L-AccelX,L-AccelY,L-AccelZ,L-GyroX,L-GyroY,L-GyroZ,R-Fx1,R-Fy1,R-Fz1,R-Mx1,R-My1,R-Mz1,R-Fx2,R-Fy2,R-Fz2,R-Mx2,R-My2,R-Mz2,R-Fx3,R-Fy3,R-Fz3,R-Mx3,R-My3,R-Mz3,R-AccelX,R-AccelY,R-AccelZ,R-GyroX,R-GyroY,R-GyroZ,L-X,L-Y,L-Z,R-X,R-Y,R-Z
0,118.66,43.52,145.64,-104.96,11.4,44.38,16.14,16.66,55.38,-26.22,-4.1,-35.38,-4.86,4.1,-0.42,-10.84,-1.58,-3.04,0.01,0.08,0.98,2.5,-4.1,-4.9,-18,33.54,82.14,-34.96,-3.14,-22.8,-15.56,74.9,135.88,-26.46,-10.24,17.3,49.7,36.7,392.22,-127.22,-47.34,86.52,-0.02,0.07,0.97,0,-4,-2.9,-0.04138,-0.18579,-0.14598,-0.54431,0.01947,0.35192
0.02,118.66,37.52,145.64,-107.96,10.4,9.38,13.14,16.66,54.38,-27.22,-2.1,-10.38,-3.86,5.1,-1.42,-8.84,-2.58,2.96,0.01,0.07,0.98,2.5,-4,-4.9,-15,38.54,85.14,-32.96,-2.14,-15.8,-13.56,63.9,133.88,-28.46,-12.24,7.3,49.7,37.7,391.22,-126.22,-47.34,89.52,-0.02,0.08,0.97,-0.2,-3.8,-2.9,-0.04138,-0.18579,-0.14598,-0.54431,0.01947,0.35192
0.04,118.66,39.52,153.64,-103.96,11.4,-0.62,14.14,16.66,55.38,-26.22,-2.1,3.62,-3.86,4.1,-0.42,-10.84,-2.58,-1.04,0.01,0.08,0.98,2.3,-4,-5,-13,37.54,80.14,-34.96,-5.14,-27.8,-13.56,67.9,133.88,-26.46,-11.24,17.3,47.7,36.7,394.22,-128.22,-47.34,85.52,-0.02,0.08,0.97,-0.3,-4,-2.9,-0.04138,-0.18579,-0.14598,-0.54431,0.01947,0.35192
0.06,118.66,45.52,150.64,-107.96,9.4,-13.62,14.14,17.66,53.38,-27.22,-4.1,-3.38,-2.86,4.1,-0.42,-10.84,-3.58,-0.04,0.01,0.08,0.98,2.6,-4.2,-4.9,-17,41.54,87.14,-30.96,-0.14,-36.8,-16.56,73.9,134.88,-26.46,-10.24,32.3,47.7,36.7,395.22,-127.22,-45.34,86.52,-0.02,0.07,0.97,0,-3.8,-2.8,-0.04138,-0.18579,-0.14598,-0.54431,0.01947,0.35192
0.08,119.66,43.52,146.64,-107.96,10.4,1.38,14.14,17.66,54.38,-27.22,-3.1,-22.38,-2.86,5.1,-0.42,-9.84,-3.58,-1.04,0.02,0.08,0.98,2.7,-4,-5.1,-17,35.54,78.14,-32.96,-3.14,-26.8,-15.56,66.9,134.88,-27.46,-11.24,23.3,46.7,36.7,393.22,-128.22,-46.34,86.52,-0.02,0.07,0.97,0,-4,-3,-0.04138,-0.18579,-0.14598,-0.54431,0.01947,0.35192
0.1,122.66,42.52,149.64,-107.96,12.4,0.38,18.14,12.66,54.38,-28.22,-3.1,-15.38,-4.86,5.1,-0.42,-9.84,-2.58,0.96,0.01,0.07,0.98,2.6,-4.1,-5.2,-13,39.54,78.14,-30.96,-5.14,-43.8,-15.56,66.9,131.88,-27.46,-10.24,28.3,48.7,36.7,390.22,-126.22,-47.34,89.52,-0.02,0.07,0.97,-0.1,-3.9,-3.1,-0.04138,-0.18579,-0.14598,-0.54431,0.01947,0.35192
0.12,122.66,45.52,154.64,-107.96,7.4,-14.62,16.14,15.66,54.38,-27.22,-3.1,-22.38,-5.86,4.1,0.58,-10.84,-2.58,-0.04,0.01,0.07,0.98,2.6,-4,-5.2,-16,36.54,83.14,-32.96,-1.14,-40.8,-15.56,68.9,134.88,-26.46,-10.24,4.3,47.7,37.7,389.22,-126.22,-46.34,90.52,-0.02,0.07,0.97,0,-3.8,-3,-0.04138,-0.18579,-0.14598,-0.54431,0.01947,0.35192
0.14,116.66,42.52,154.64,-107.96,11.4,-9.62,19.14,15.66,51.38,-29.22,-4.1,1.62,-4.86,7.1,0.58,-8.84,-2.58,1.96,0.01,0.07,0.99,2.5,-4.1,-5.1,-22,35.54,79.14,-32.96,-1.14,-9.8,-16.56,66.9,131.88,-27.46,-11.24,17.3,48.7,36.7,388.22,-126.22,-47.34,89.52,-0.02,0.07,0.97,0,-3.6,-2.8,-0.04138,-0.18579,-0.14598,-0.54431,0.01947,0.35192
0.16,124.66,42.52,155.64,-107.96,10.4,-35.62,15.14,14.66,57.38,-27.22,-0.1,-5.38,-6.86,4.1,0.58,-10.84,0.42,2.96,0.01,0.07,0.98,2.5,-4.1,-5,-19,30.54,80.14,-33.96,-1.14,-6.8,-14.56,67.9,133.88,-25.46,-9.24,27.3,47.7,37.7,386.22,-124.22,-46.34,88.52,-0.02,0.07,0.97,-0.1,-3.8,-3.1,-0.04138,-0.18579,-0.14598,-0.54431,0.01947,0.35192
0.18,124.66,44.52,151.64,-110.96,10.4,-10.62,18.14,14.66,58.38,-29.22,-2.1,-4.38,-5.86,7.1,-0.42,-10.84,-2.58,-4.04,0.01,0.08,0.98,2.8,-4.1,-5,-21,38.54,82.14,-33.96,-0.14,-24.8,-16.56,70.9,132.88,-26.46,-10.24,27.3,47.7,35.7,381.22,-126.22,-45.34,88.52,-0.01,0.08,0.97,0,-3.7,-3,-0.04138,-0.18579,-0.14598,-0.54431,0.01947,0.35192
