Time(s),L-Fx1,L-Fy1,L-Fz1,L-Mx1,L-My1,L-Mz1,L-Fx2,L-Fy2,L-Fz2,L-Mx2,L-My2,L-Mz2,L-Fx3,L-Fy3,L-Fz3,L-Mx3,L-My3,L-Mz3,L-AccelX,L-AccelY,L-AccelZ,L-GyroX,L-GyroY,L-GyroZ,R-Fx1,R-Fy1,R-Fz1,R-Mx1,R-My1,R-Mz1,R-Fx2,R-Fy2,R-Fz2,R-Mx2,R-My2,R-Mz2,R-Fx3,R-Fy3,R-Fz3,R-Mx3,R-My3,R-Mz3,R-AccelX,R-AccelY,R-AccelZ,R-GyroX,R-GyroY,R-GyroZ,L-X,L-Y,L-Z,R-X,R-Y,R-Z
0,31.58823529,28.03921569,36.54901961,-2.078431373,-14.45098039,59.84313725,-9.254901961,1.647058824,101.372549,-73.21568627,-7.960784314,24.05882353,-36.09803922,4.764705882,269.627451,-113.2352941,28.58823529,4.235294118,0,0.03,0.98,2.5,-4.5,-4.7,34.54,40.14,76.86,27.18,-29.1,31.46,-14.72,31.5,130.04,-63.86,-7.98,28.54,-3.82,3.4,344.46,-113.58,-29.08,68.22,0,0.07,0.97,0.3,-4.6,-3.9,0.09741,-0.06885,-0.10333,0.27844,-0.73199,0.04779
0.02,23.58823529,24.03921569,36.54901961,-0.078431373,-15.45098039,57.84313725,-9.254901961,-2.352941176,101.372549,-75.21568627,-7.960784314,58.05882353,-42.09803922,4.764705882,269.627451,-114.2352941,32.58823529,3.235294118,0,0.03,0.98,2.4,-4.4,-4.6,33.54,39.14,68.86,26.18,-35.1,54.46,-14.72,26.5,127.04,-62.86,-6.98,38.54,-2.82,6.4,343.46,-108.58,-30.08,68.22,0,0.07,0.97,0.2,-4.4,-3.8,0.09741,-0.06885,-0.10333,0.27844,-0.73199,0.04779
0.04,29.58823529,25.03921569,38.54901961,-2.078431373,-16.45098039,53.84313725,-11.25490196,3.647058824,100.372549,-75.21568627,-5.960784314,29.05882353,-38.09803922,3.764705882,270.627451,-115.2352941,29.58823529,3.235294118,0,0.03,0.97,2.3,-4.2,-4.6,35.54,41.14,72.86,22.18,-31.1,41.46,-14.72,18.5,128.04,-64.86,-7.98,29.54,-3.82,4.4,338.46,-110.58,-28.08,68.22,0,0.06,0.97,0.2,-4.5,-4,0.09741,-0.06885,-0.10333,0.27844,-0.73199,0.04779
0.06,25.58823529,27.03921569,37.54901961,-1.078431373,-14.45098039,54.84313725,-9.254901961,0.647058824,102.372549,-75.21568627,-5.960784314,26.05882353,-37.09803922,4.764705882,275.627451,-114.2352941,29.58823529,6.235294118,0,0.03,0.98,2.2,-4.3,-4.7,37.54,42.14,67.86,25.18,-33.1,19.46,-10.72,32.5,129.04,-62.86,-5.98,38.54,-3.82,6.4,336.46,-107.58,-28.08,69.22,0,0.06,0.97,0.1,-4.4,-4,0.09741,-0.06885,-0.10333,0.27844,-0.73199,0.04779
0.08,27.58823529,27.03921569,38.54901961,-1.078431373,-14.45098039,57.84313725,-11.25490196,-0.352941176,95.37254902,-76.21568627,-7.960784314,7.058823529,-36.09803922,4.764705882,276.627451,-115.2352941,29.58823529,9.235294118,0,0.03,0.98,2.3,-4.4,-4.7,32.54,43.14,69.86,26.18,-32.1,66.46,-11.72,22.5,127.04,-65.86,-6.98,31.54,-3.82,5.4,333.46,-107.58,-27.08,64.22,0,0.07,0.97,0.2,-4.3,-3.9,0.09741,-0.06885,-0.10333,0.27844,-0.73199,0.04779
0.1,27.58823529,28.03921569,42.54901961,0.921568627,-16.45098039,36.84313725,-5.254901961,1.647058824,97.37254902,-75.21568627,-7.960784314,14.05882353,-36.09803922,5.764705882,278.627451,-115.2352941,28.58823529,1.235294118,0.01,0.03,0.98,2.5,-4.3,-4.7,34.54,41.14,73.86,26.18,-31.1,43.46,-16.72,24.5,129.04,-62.86,-7.98,19.54,-4.82,6.4,331.46,-106.58,-27.08,67.22,0,0.06,0.97,0.2,-4.5,-3.9,0.09741,-0.06885,-0.10333,0.27844,-0.73199,0.04779
0.12,18.58823529,30.03921569,42.54901961,1.921568627,-13.45098039,69.84313725,-8.254901961,4.647058824,99.37254902,-76.21568627,-7.960784314,11.05882353,-36.09803922,4.764705882,279.627451,-117.2352941,28.58823529,6.235294118,0,0.03,0.98,2.4,-4.5,-4.9,36.54,40.14,71.86,25.18,-30.1,34.46,-14.72,19.5,126.04,-64.86,-4.98,36.54,-4.82,3.4,332.46,-108.58,-28.08,63.22,0,0.06,0.97,0.3,-4.5,-4,0.09741,-0.06885,-0.10333,0.27844,-0.73199,0.04779
0.14,27.58823529,24.03921569,41.54901961,-1.078431373,-16.45098039,5.843137255,-9.254901961,2.647058824,101.372549,-74.21568627,-8.960784314,37.05882353,-37.09803922,3.764705882,283.627451,-118.2352941,29.58823529,5.235294118,0,0.03,0.98,2.4,-4.3,-4.7,30.54,43.14,70.86,25.18,-31.1,54.46,-13.72,20.5,127.04,-63.86,-5.98,12.54,-2.82,5.4,328.46,-106.58,-28.08,57.22,0,0.07,0.98,0.2,-4.3,-3.8,0.09741,-0.06885,-0.10333,0.27844,-0.73199,0.04779
0.16,28.58823529,28.03921569,36.54901961,-1.078431373,-15.45098039,50.84313725,-7.254901961,2.647058824,106.372549,-73.21568627,-9.960784314,26.05882353,-39.09803922,5.764705882,283.627451,-117.2352941,31.58823529,5.235294118,0,0.03,0.98,2.4,-4.5,-4.8,31.54,46.14,70.86,28.18,-33.1,56.46,-13.72,23.5,123.04,-61.86,-6.98,30.54,-4.82,4.4,328.46,-106.58,-27.08,64.22,0,0.06,0.97,0.1,-4.7,-4,0.09741,-0.06885,-0.10333,0.27844,-0.73199,0.04779
0.18,21.58823529,29.03921569,38.54901961,-1.078431373,-14.45098039,54.84313725,-10.25490196,4.647058824,102.372549,-74.21568627,-4.960784314,34.05882353,-40.09803922,3.764705882,286.627451,-117.2352941,32.58823529,6.235294118,0,0.03,0.98,2.1,-4.4,-4.7,30.54,37.14,69.86,24.18,-34.1,48.46,-12.72,32.5,125.04,-62.86,-5.98,27.54,-3.82,4.4,326.46,-106.58,-28.08,58.22,0,0.06,0.98,0.2,-4.2,-3.8,0.09741,-0.06885,-0.10333,0.27844,-0.73199,0.04779
