Time(s),L-Fx1,L-Fy1,L-Fz1,L-Mx1,L-My1,L-Mz1,L-Fx2,L-Fy2,L-Fz2,L-Mx2,L-My2,L-Mz2,L-Fx3,L-Fy3,L-Fz3,L-Mx3,L-My3,L-Mz3,L-AccelX,L-AccelY,L-AccelZ,L-GyroX,L-GyroY,L-GyroZ,R-Fx1,R-Fy1,R-Fz1,R-Mx1,R-My1,R-Mz1,R-Fx2,R-Fy2,R-Fz2,R-Mx2,R-My2,R-Mz2,R-Fx3,R-Fy3,R-Fz3,R-Mx3,R-My3,R-Mz3,R-AccelX,R-AccelY,R-AccelZ,R-GyroX,R-GyroY,R-GyroZ,L-X,L-Y,L-Z,R-X,R-Y,R-Z
0,62.84,36.98,95.16,-38.22,-9.46,12.9,30.82,-5.28,50.84,-22.66,-11.72,59.06,22.96,-15.88,158.2,-61.22,5.64,12.22,0,0.06,0.98,3.5,-4.2,-4.2,8.93877551,67.40816327,133.0816327,-14.26530612,-19.91836735,-20.57142857,-21.83673469,101.0612245,135.3877551,-9.265306122,0.673469388,21.85714286,4.897959184,37.14285714,229.5102041,-58.04081633,-20.91836735,54.81632653,-0.01,0.07,0.97,0,-3.5,-3.7,0.07373,-0.09192,0.00682,-0.06567,-0.08203,0.095
0.02,64.84,32.98,96.16,-45.22,-9.46,-9.1,34.82,-0.28,45.84,-22.66,-14.72,61.06,25.96,-15.88,154.2,-59.22,4.64,14.22,0,0.06,0.98,3.9,-4,-4.2,16.93877551,69.40816327,134.0816327,-12.26530612,-22.91836735,-22.57142857,-22.83673469,96.06122449,131.3877551,-9.265306122,0.673469388,30.85714286,4.897959184,38.14285714,231.5102041,-56.04081633,-18.91836735,52.81632653,-0.01,0.06,0.97,-0.2,-3.5,-3.5,0.07373,-0.09192,0.00682,-0.06567,-0.08203,0.095
0.04,69.84,38.98,105.16,-46.22,-10.46,7.9,32.82,1.72,52.84,-24.66,-13.72,60.06,24.96,-14.88,145.2,-55.22,4.64,15.22,0.01,0.06,0.97,3.7,-4,-4.2,13.93877551,67.40816327,131.0816327,-14.26530612,-21.91836735,-37.57142857,-22.83673469,97.06122449,128.3877551,-7.265306122,0.673469388,-5.142857143,4.897959184,35.14285714,234.5102041,-59.04081633,-19.91836735,56.81632653,-0.01,0.06,0.97,-0.5,-3.7,-3.3,0.07373,-0.09192,0.00682,-0.06567,-0.08203,0.095
0.06,74.84,43.98,110.16,-49.22,-10.46,-26.1,33.82,3.72,52.84,-23.66,-12.72,58.06,24.96,-12.88,137.2,-53.22,5.64,8.22,0.01,0.06,0.98,3.7,-4.1,-4,10.93877551,65.40816327,126.0816327,-12.26530612,-20.91836735,-45.57142857,-21.83673469,85.06122449,119.3877551,-8.265306122,0.673469388,29.85714286,5.897959184,35.14285714,244.5102041,-61.04081633,-20.91836735,60.81632653,-0.01,0.06,0.97,-1.1,-3.2,-3.5,0.07373,-0.09192,0.00682,-0.06567,-0.08203,0.095
0.08,74.84,41.98,106.16,-52.22,-8.46,12.9,31.82,-2.28,59.84,-24.66,-13.72,49.06,26.96,-11.88,135.2,-52.22,5.64,12.22,0.01,0.06,0.98,3.5,-4,-4.3,12.93877551,63.40816327,124.0816327,-11.26530612,-19.91836735,-39.57142857,-19.83673469,86.06122449,115.3877551,-6.265306122,0.673469388,18.85714286,7.897959184,36.14285714,261.5102041,-63.04081633,-22.91836735,58.81632653,-0.01,0.06,0.97,-1.3,-3.3,-3.6,0.07373,-0.09192,0.00682,-0.06567,-0.08203,0.095
0.1,82.84,44.98,116.16,-56.22,-9.46,-3.1,38.82,4.72,59.84,-27.66,-14.72,45.06,28.96,-8.88,135.2,-49.22,5.64,13.22,0,0.06,0.98,3.2,-3.8,-4.2,9.93877551,61.40816327,117.0816327,-7.265306122,-21.91836735,-12.57142857,-17.83673469,84.06122449,104.3877551,-5.265306122,1.673469388,25.85714286,10.89795918,38.14285714,279.5102041,-65.04081633,-24.91836735,66.81632653,-0.01,0.06,0.97,-0.8,-3,-3.6,0.07373,-0.09192,0.00682,-0.06567,-0.08203,0.095
0.12,87.84,45.98,113.16,-60.22,-8.46,6.9,37.82,7.72,64.84,-26.66,-14.72,58.06,31.96,-6.88,134.2,-49.22,4.64,19.22,0.01,0.06,0.98,3.5,-4.1,-4.2,13.93877551,60.40816327,119.0816327,-6.265306122,-20.91836735,-20.57142857,-14.83673469,89.06122449,101.3877551,-2.265306122,-0.326530612,54.85714286,11.89795918,35.14285714,290.5102041,-68.04081633,-24.91836735,74.81632653,-0.01,0.06,0.97,-0.3,-3,-3.3,0.07373,-0.09192,0.00682,-0.06567,-0.08203,0.095
0.14,92.84,49.98,116.16,-63.22,-10.46,-4.1,32.82,10.72,65.84,-26.66,-14.72,67.06,34.96,-6.88,132.2,-50.22,3.64,14.22,0,0.06,0.98,3.7,-4,-4.3,10.93877551,59.40816327,118.0816327,-8.265306122,-21.91836735,-22.57142857,-15.83673469,85.06122449,99.3877551,-0.265306122,-1.326530612,14.85714286,14.89795918,36.14285714,290.5102041,-67.04081633,-23.91836735,66.81632653,-0.02,0.07,0.97,-0.3,-3,-3.5,0.07373,-0.09192,0.00682,-0.06567,-0.08203,0.095
0.16,93.84,48.98,122.16,-67.22,-11.46,13.9,35.82,11.72,74.84,-26.66,-17.72,76.06,34.96,-5.88,131.2,-49.22,3.64,8.22,0.01,0.06,0.98,3.9,-4,-4.1,11.93877551,58.40816327,121.0816327,-11.26530612,-20.91836735,-19.57142857,-10.83673469,82.06122449,94.3877551,-2.265306122,-1.326530612,31.85714286,17.89795918,35.14285714,290.5102041,-67.04081633,-23.91836735,63.81632653,-0.01,0.07,0.97,0,-3.1,-3.4,0.07373,-0.09192,0.00682,-0.06567,-0.08203,0.095
0.18,97.84,52.98,129.16,-68.22,-10.46,27.9,35.82,13.72,74.84,-28.66,-16.72,61.06,37.96,-3.88,125.2,-45.22,4.64,13.22,0,0.06,0.98,4.1,-4,-4.1,14.93877551,63.40816327,126.0816327,-6.265306122,-27.91836735,-21.57142857,-16.83673469,78.06122449,92.3877551,-1.265306122,0.673469388,2.857142857,21.89795918,33.14285714,286.5102041,-66.04081633,-22.91836735,69.81632653,-0.01,0.06,0.97,0,-3.1,-3.5,0.07373,-0.09192,0.00682,-0.06567,-0.08203,0.095
