Time(s),L-Fx1,L-Fy1,L-Fz1,L-Mx1,L-My1,L-Mz1,L-Fx2,L-Fy2,L-Fz2,L-Mx2,L-My2,L-Mz2,L-Fx3,L-Fy3,L-Fz3,L-Mx3,L-My3,L-Mz3,L-AccelX,L-AccelY,L-AccelZ,L-GyroX,L-GyroY,L-GyroZ,R-Fx1,R-Fy1,R-Fz1,R-Mx1,R-My1,R-Mz1,R-Fx2,R-Fy2,R-Fz2,R-Mx2,R-My2,R-Mz2,R-Fx3,R-Fy3,R-Fz3,R-Mx3,R-My3,R-Mz3,R-AccelX,R-AccelY,R-AccelZ,R-GyroX,R-GyroY,R-GyroZ,L-X,L-Y,L-Z,R-X,R-Y,R-Z
0,-15.68,33.52,61.44,-40.78,54.7,94.46,75.84,108.66,148.98,-24.06,12.88,-75.14,23.88,-71.46,265.38,-125.3,-7.66,81.88,-0.01,0.06,1.01,0.56,-3.36,0.77,-49.44897959,63.59183673,219.4285714,-86.59183673,-36.79591837,61.10204082,55.87755102,45.81632653,92.93877551,4.346938776,-69.02040816,59.28571429,41.97959184,17.81632653,430.6530612,-118.2653061,36.93877551,119.9795918,0,0.03,1.02,1.33,-3.15,0.49,0,0,0,-0.01428,0.13699,-0.00793
0.02,0.32,33.52,53.44,-44.78,39.7,92.46,76.84,101.66,148.98,-24.06,8.88,-91.14,25.88,-69.46,263.38,-123.3,-9.66,76.88,0,0.06,1.01,0.56,-3.29,0.7,-49.44897959,58.59183673,215.4285714,-86.59183673,-34.79591837,69.10204082,47.87755102,46.81632653,90.93877551,3.346938776,-70.02040816,77.28571429,39.97959184,17.81632653,435.6530612,-119.2653061,37.93877551,122.9795918,0,0.03,1.02,1.26,-3.15,0.49,0,0,0,-0.01428,0.13699,-0.00793
0.04,9.32,39.52,45.44,-43.78,32.7,87.46,74.84,104.66,145.98,-23.06,7.88,-41.14,24.88,-70.46,266.38,-123.3,-7.66,85.88,0,0.07,1.01,0.63,-3.29,0.77,-57.44897959,59.59183673,216.4285714,-84.59183673,-32.79591837,68.10204082,62.87755102,39.81632653,91.93877551,3.346938776,-69.02040816,41.28571429,41.97959184,15.81632653,438.6530612,-122.2653061,37.93877551,125.9795918,0,0.03,1.02,1.4,-3.22,0.49,0,0,0,-0.01428,0.13699,-0.00793
0.06,1.32,40.52,44.44,-45.78,32.7,83.46,74.84,102.66,145.98,-22.06,10.88,-33.14,23.88,-71.46,267.38,-126.3,-5.66,79.88,0,0.06,1.01,0.56,-3.36,0.77,-53.44897959,50.59183673,221.4285714,-83.59183673,-30.79591837,60.10204082,63.87755102,42.81632653,92.93877551,2.346938776,-66.02040816,25.28571429,44.97959184,15.81632653,437.6530612,-122.2653061,35.93877551,129.9795918,0,0.03,1.02,1.33,-3.22,0.63,0,0,0,-0.01428,0.13699,-0.00793
0.08,1.32,34.52,55.44,-42.78,43.7,93.46,75.84,102.66,145.98,-24.06,8.88,-45.14,21.88,-70.46,266.38,-123.3,-7.66,84.88,0,0.06,1.01,0.63,-3.29,0.7,-44.44897959,55.59183673,205.4285714,-83.59183673,-41.79591837,63.10204082,65.87755102,35.81632653,89.93877551,4.346938776,-69.02040816,41.28571429,42.97959184,16.81632653,441.6530612,-120.2653061,36.93877551,130.9795918,0,0.03,1.02,1.4,-3.29,0.49,0,0,0,-0.01428,0.13699,-0.00793
0.1,1.32,33.52,45.44,-46.78,34.7,86.46,75.84,103.66,145.98,-24.06,9.88,-49.14,22.88,-67.46,265.38,-122.3,-6.66,77.88,0,0.06,1.01,0.56,-3.29,0.77,-51.44897959,51.59183673,216.4285714,-82.59183673,-30.79591837,57.10204082,78.87755102,45.81632653,90.93877551,3.346938776,-67.02040816,52.28571429,43.97959184,16.81632653,440.6530612,-121.2653061,36.93877551,123.9795918,0,0.03,1.02,1.33,-3.15,0.49,0,0,0,-0.01428,0.13699,-0.00793
0.12,-0.68,40.52,47.44,-43.78,37.7,103.46,75.84,99.66,147.98,-26.06,8.88,-70.14,22.88,-69.46,264.38,-122.3,-7.66,82.88,0,0.06,1.01,0.56,-3.29,0.77,-48.44897959,48.59183673,223.4285714,-84.59183673,-25.79591837,36.10204082,64.87755102,40.81632653,91.93877551,4.346938776,-68.02040816,14.28571429,44.97959184,14.81632653,438.6530612,-122.2653061,34.93877551,130.9795918,0,0.04,1.02,1.4,-3.22,0.49,0,0,0,-0.01428,0.13699,-0.00793
0.14,5.32,37.52,46.44,-46.78,37.7,102.46,78.84,99.66,146.98,-25.06,10.88,-78.14,22.88,-71.46,266.38,-124.3,-4.66,78.88,0,0.06,1.01,0.63,-3.22,0.77,-49.44897959,49.59183673,218.4285714,-83.59183673,-30.79591837,34.10204082,58.87755102,40.81632653,91.93877551,4.346938776,-70.02040816,31.28571429,41.97959184,15.81632653,437.6530612,-121.2653061,37.93877551,126.9795918,0,0.04,1.02,1.4,-3.29,0.49,0,0,0,-0.01428,0.13699,-0.00793
0.16,1.32,37.52,44.44,-44.78,30.7,87.46,70.84,103.66,148.98,-25.06,8.88,-83.14,22.88,-72.46,267.38,-125.3,-6.66,80.88,0,0.06,1.01,0.56,-3.15,0.77,-53.44897959,53.59183673,231.4285714,-86.59183673,-19.79591837,9.102040816,66.87755102,43.81632653,89.93877551,4.346938776,-69.02040816,60.28571429,42.97959184,17.81632653,437.6530612,-119.2653061,34.93877551,124.9795918,0,0.03,1.02,1.4,-3.36,0.49,0,0,0,-0.01428,0.13699,-0.00793
0.18,-8.68,38.52,57.44,-43.78,49.7,124.46,78.84,103.66,147.98,-25.06,9.88,-76.14,23.88,-70.46,267.38,-123.3,-8.66,85.88,0,0.06,1.01,0.49,-3.22,0.77,-38.44897959,52.59183673,213.4285714,-84.59183673,-35.79591837,15.10204082,77.87755102,46.81632653,93.93877551,3.346938776,-66.02040816,12.28571429,42.97959184,15.81632653,434.6530612,-122.2653061,35.93877551,119.9795918,0.01,0.04,1.02,1.47,-3.36,0.63,0,0,0,-0.01428,0.13699,-0.00793
0.2,-7.68,34.52,52.44,-43.78,40.7,92.46,74.84,98.66,147.98,-27.06,8.88,-92.14,20.88,-70.46,268.38,-124.3,-4.66,85.88,0,0.06,1.01,0.49,-3.29,0.77,-53.44897959,49.59183673,222.4285714,-82.59183673,-25.79591837,29.10204082,78.87755102,40.81632653,91.93877551,2.346938776,-69.02040816,27.28571429,41.97959184,15.81632653,430.6530612,-119.2653061,34.93877551,121.9795918,0,0.03,1.02,1.4,-3.29,0.56,0,0,0,-0.01428,0.13699,-0.00793
0.22,-11.68,33.52,54.44,-43.78,41.7,82.46,81.84,103.66,149.98,-27.06,8.88,-94.14,23.88,-70.46,267.38,-124.3,-6.66,82.88,0,0.07,1.01,0.56,-3.36,0.84,-52.44897959,52.59183673,221.4285714,-86.59183673,-26.79591837,27.10204082,63.87755102,38.81632653,91.93877551,2.346938776,-70.02040816,13.28571429,42.97959184,15.81632653,430.6530612,-118.2653061,32.93877551,122.9795918,0,0.04,1.02,1.26,-3.36,0.42,0,0,0,-0.01428,0.13699,-0.00793
0.24,-14.68,28.52,60.44,-41.78,49.7,81.46,78.84,102.66,146.98,-26.06,8.88,-98.14,22.88,-72.46,267.38,-126.3,-4.66,83.88,-0.01,0.07,1.01,0.42,-3.29,0.77,-55.44897959,53.59183673,224.4285714,-83.59183673,-24.79591837,20.10204082,67.87755102,41.81632653,93.93877551,2.346938776,-68.02040816,31.28571429,40.97959184,16.81632653,430.6530612,-119.2653061,34.93877551,114.9795918,0,0.04,1.02,1.33,-3.22,0.49,0,0,0,-0.01428,0.13699,-0.00793
0.26,-3.68,28.52,52.44,-42.78,39.7,61.46,76.84,100.66,146.98,-27.06,7.88,-104.14,21.88,-73.46,267.38,-124.3,-6.66,90.88,0,0.06,1.01,0.56,-3.29,0.77,-53.44897959,53.59183673,223.4285714,-84.59183673,-26.79591837,32.10204082,65.87755102,45.81632653,94.93877551,2.346938776,-69.02040816,51.28571429,41.97959184,17.81632653,435.6530612,-118.2653061,34.93877551,116.9795918,0,0.04,1.02,1.4,-3.36,0.56,0,0,0,-0.01428,0.13699,-0.00793
0.28,-2.68,36.52,46.44,-43.78,36.7,83.46,71.84,99.66,146.98,-28.06,7.88,-104.14,22.88,-69.46,262.38,-123.3,-9.66,78.88,0,0.06,1.01,0.49,-3.29,0.7,-55.44897959,51.59183673,225.4285714,-85.59183673,-24.79591837,32.10204082,71.87755102,44.81632653,95.93877551,5.346938776,-70.02040816,53.28571429,41.97959184,15.81632653,432.6530612,-121.2653061,34.93877551,119.9795918,0,0.04,1.02,1.33,-3.22,0.56,0,0,0,-0.01428,0.13699,-0.00793
0.3,-7.68,42.52,50.44,-43.78,42.7,99.46,88.84,104.66,146.98,-24.06,7.88,-71.14,23.88,-70.46,264.38,-124.3,-6.66,85.88,0,0.07,1.01,0.49,-3.22,0.7,-48.44897959,53.59183673,217.4285714,-85.59183673,-31.79591837,42.10204082,65.87755102,44.81632653,96.93877551,1.346938776,-66.02040816,32.28571429,40.97959184,15.81632653,435.6530612,-120.2653061,36.93877551,118.9795918,0,0.04,1.02,1.26,-3.15,0.49,0,0,0,-0.01428,0.13699,-0.00793
0.32,5.32,38.52,44.44,-44.78,36.7,113.46,80.84,100.66,146.98,-26.06,8.88,-102.14,21.88,-71.46,264.38,-123.3,-6.66,82.88,0,0.07,1.01,0.56,-3.29,0.77,-47.44897959,58.59183673,215.4285714,-84.59183673,-30.79591837,51.10204082,62.87755102,42.81632653,95.93877551,2.346938776,-67.02040816,23.28571429,41.97959184,17.81632653,434.6530612,-119.2653061,35.93877551,116.9795918,0,0.04,1.02,1.33,-3.22,0.49,0,0,0,-0.01428,0.13699,-0.00793
0.34,1.32,40.52,48.44,-42.78,33.7,97.46,71.84,99.66,146.98,-25.06,6.88,-96.14,22.88,-70.46,263.38,-123.3,-5.66,86.88,0,0.07,1.01,0.56,-3.29,0.7,-47.44897959,55.59183673,210.4285714,-80.59183673,-34.79591837,88.10204082,73.87755102,44.81632653,94.93877551,2.346938776,-67.02040816,51.28571429,44.97959184,14.81632653,435.6530612,-122.2653061,33.93877551,129.9795918,0,0.03,1.02,1.4,-3.22,0.49,0,0,0,-0.01428,0.13699,-0.00793
0.36,-1.68,37.52,53.44,-44.78,45.7,101.46,82.84,105.66,146.98,-24.06,8.88,-69.14,21.88,-72.46,264.38,-125.3,-4.66,84.88,0,0.06,1.01,0.63,-3.29,0.77,-52.44897959,58.59183673,211.4285714,-84.59183673,-38.79591837,69.10204082,60.87755102,42.81632653,93.93877551,0.346938776,-69.02040816,32.28571429,41.97959184,17.81632653,436.6530612,-120.2653061,35.93877551,116.9795918,0,0.03,1.02,1.4,-3.29,0.56,0,0,0,-0.01428,0.13699,-0.00793
0.38,-9.68,35.52,54.44,-42.78,45.7,92.46,69.84,105.66,145.98,-27.06,10.88,-79.14,22.88,-69.46,258.38,-123.3,-7.66,80.88,0,0.06,1.01,0.56,-3.08,0.7,-53.44897959,55.59183673,221.4285714,-82.59183673,-26.79591837,57.10204082,47.87755102,39.81632653,94.93877551,1.346938776,-71.02040816,29.28571429,44.97959184,16.81632653,433.6530612,-120.2653061,32.93877551,119.9795918,0,0.04,1.02,1.47,-3.29,0.56,0,0,0,-0.01428,0.13699,-0.00793
0.4,-8.68,34.52,54.44,-43.78,44.7,82.46,69.84,100.66,146.98,-26.06,8.88,-95.14,23.88,-70.46,259.38,-123.3,-8.66,78.88,0,0.06,1.01,0.63,-3.22,0.84,-42.44897959,52.59183673,215.4285714,-83.59183673,-36.79591837,53.10204082,67.87755102,47.81632653,98.93877551,-0.653061224,-69.02040816,21.28571429,43.97959184,16.81632653,431.6530612,-121.2653061,32.93877551,109.9795918,0,0.03,1.02,1.4,-3.22,0.49,0,0,0,-0.01428,0.13699,-0.00793
0.42,5.32,36.52,33.44,-44.78,24.7,94.46,84.84,103.66,144.98,-23.06,9.88,-42.14,21.88,-71.46,263.38,-123.3,-2.66,84.88,0,0.06,1.01,0.63,-3.01,0.77,-53.44897959,59.59183673,223.4285714,-87.59183673,-31.79591837,46.10204082,68.87755102,49.81632653,99.93877551,-0.653061224,-67.02040816,40.28571429,40.97959184,17.81632653,428.6530612,-118.2653061,35.93877551,113.9795918,0,0.04,1.02,1.47,-3.22,0.56,0,0,0,-0.01428,0.13699,-0.00793
0.44,-22.68,31.52,69.44,-40.78,61.7,84.46,75.84,109.66,149.98,-24.06,11.88,-57.14,22.88,-71.46,261.38,-124.3,-3.66,82.88,0,0.06,1.01,0.77,-3.01,0.77,-53.44897959,60.59183673,225.4285714,-88.59183673,-33.79591837,45.10204082,61.87755102,42.81632653,98.93877551,0.346938776,-70.02040816,4.285714286,41.97959184,15.81632653,425.6530612,-118.2653061,33.93877551,114.9795918,0,0.04,1.02,1.54,-3.22,0.56,0,0,0,-0.01428,0.13699,-0.00793
0.46,-4.68,37.52,46.44,-44.78,34.7,91.46,78.84,110.66,152.98,-26.06,11.88,-80.14,21.88,-72.46,257.38,-124.3,-1.66,81.88,0,0.06,1.01,1.05,-2.87,0.84,-54.44897959,56.59183673,225.4285714,-87.59183673,-34.79591837,61.10204082,68.87755102,43.81632653,97.93877551,-0.653061224,-69.02040816,11.28571429,43.97959184,16.81632653,424.6530612,-116.2653061,31.93877551,117.9795918,0,0.03,1.02,1.54,-3.08,0.56,0,0,0,-0.01428,0.13699,-0.00793
0.48,-3.68,39.52,51.44,-44.78,40.7,115.46,90.84,117.66,156.98,-28.06,11.88,-65.14,21.88,-72.46,242.38,-121.3,-5.66,76.88,-0.01,0.07,1.01,1.26,-2.94,0.84,-61.44897959,61.59183673,229.4285714,-91.59183673,-36.79591837,47.10204082,69.87755102,45.81632653,98.93877551,0.346938776,-67.02040816,52.28571429,39.97959184,15.81632653,418.6530612,-117.2653061,34.93877551,116.9795918,0.01,0.04,1.02,1.61,-3.15,0.56,0,0,0,-0.01428,0.13699,-0.00793
0.5,-5.68,43.52,56.44,-43.78,42.7,82.46,69.84,121.66,161.98,-29.06,13.88,-66.14,19.88,-70.46,232.38,-120.3,-1.66,76.88,0,0.06,1.01,1.33,-2.94,0.84,-43.44897959,64.59183673,213.4285714,-88.59183673,-51.79591837,83.10204082,66.87755102,48.81632653,99.93877551,-0.653061224,-69.02040816,46.28571429,42.97959184,14.81632653,412.6530612,-117.2653061,29.93877551,113.9795918,0,0.04,1.02,1.47,-3.15,0.56,0,0,0,-0.01428,0.13699,-0.00793
0.52,-0.68,46.52,71.44,-44.78,59.7,84.46,75.84,125.66,169.98,-34.06,15.88,-109.14,18.88,-69.46,216.38,-116.3,-3.66,63.88,0,0.07,1.01,1.33,-2.8,0.77,-61.44897959,61.59183673,234.4285714,-91.59183673,-34.79591837,63.10204082,64.87755102,51.81632653,99.93877551,1.346938776,-69.02040816,55.28571429,40.97959184,14.81632653,408.6530612,-116.2653061,31.93877551,108.9795918,0,0.03,1.02,1.4,-3.15,0.49,0,0,0,-0.01428,0.13699,-0.00793
0.54,1.32,46.52,62.44,-42.78,51.7,131.46,63.84,139.66,174.98,-33.06,16.88,-79.14,15.88,-68.46,205.38,-112.3,-0.66,65.88,-0.01,0.07,1.01,1.33,-2.87,0.84,-60.44897959,60.59183673,232.4285714,-91.59183673,-35.79591837,63.10204082,66.87755102,47.81632653,98.93877551,1.346938776,-66.02040816,72.28571429,39.97959184,14.81632653,406.6530612,-114.2653061,32.93877551,111.9795918,0,0.04,1.02,1.33,-3.15,0.56,0,0,0,-0.01428,0.13699,-0.00793
0.58,2.32,52.52,62.44,-46.78,51.7,123.46,83.84,138.66,178.98,-32.06,14.88,-21.14,12.88,-69.46,183.38,-105.3,-1.66,54.88,0,0.07,1.01,0.84,-3.08,0.91,-43.44897959,47.59183673,195.4285714,-76.59183673,-43.79591837,93.10204082,68.87755102,42.81632653,92.93877551,2.346938776,-70.02040816,50.28571429,41.97959184,15.81632653,418.6530612,-118.2653061,32.93877551,119.9795918,0,0.04,1.02,0.77,-3.22,0.49,0,0,0,-0.01428,0.13699,-0.00793
0.6,5.32,50.52,56.44,-47.78,37.7,102.46,79.84,145.66,179.98,-31.06,14.88,-23.14,12.88,-70.46,180.38,-106.3,-1.66,52.88,0,0.07,1.01,0.7,-3.08,0.84,-27.44897959,48.59183673,171.4285714,-68.59183673,-43.79591837,82.10204082,63.87755102,39.81632653,92.93877551,0.346938776,-67.02040816,28.28571429,42.97959184,18.81632653,432.6530612,-118.2653061,34.93877551,125.9795918,0,0.04,1.02,0.7,-3.29,0.49,0,0,0,-0.01428,0.13699,-0.00793
0.62,9.32,54.52,59.44,-46.78,42.7,88.46,62.84,149.66,182.98,-33.06,18.88,-42.14,14.88,-68.46,176.38,-105.3,-2.66,53.88,0,0.07,1.01,0.56,-3.15,0.77,-30.44897959,37.59183673,172.4285714,-68.59183673,-31.79591837,65.10204082,61.87755102,36.81632653,89.93877551,3.346938776,-65.02040816,35.28571429,43.97959184,17.81632653,448.6530612,-122.2653061,36.93877551,126.9795918,0,0.03,1.02,0.77,-3.36,0.63,0,0,0,-0.01428,0.13699,-0.00793
0.64,9.32,50.52,56.44,-47.78,43.7,98.46,65.84,145.66,179.98,-34.06,15.88,-39.14,12.88,-67.46,173.38,-103.3,-1.66,54.88,-0.01,0.07,1.01,0.42,-3.36,0.77,-29.44897959,35.59183673,167.4285714,-65.59183673,-27.79591837,80.10204082,61.87755102,34.81632653,88.93877551,4.346938776,-68.02040816,38.28571429,44.97959184,18.81632653,457.6530612,-123.2653061,39.93877551,128.9795918,0,0.03,1.02,0.77,-3.36,0.63,0,0,0,-0.01428,0.13699,-0.00793
