Time(s),FX1,L-Fx1,L-Fy1,L-Fz1,L-Mx1,L-My1,L-Mz1,L-Fx2,L-Fy2,L-Fz2,L-Mx2,L-My2,L-Mz2,L-Fx3,L-Fy3,L-Fz3,L-Mx3,L-My3,L-Mz3,L-AccelX,L-AccelY,L-AccelZ,L-GyroX,L-GyroY,L-GyroZ,R-Fx1,R-Fy1,R-Fz1,R-Mx1,R-My1,R-Mz1,R-Fx2,R-Fy2,R-Fz2,R-Mx2,R-My2,R-Mz2,R-Fx3,R-Fy3,R-Fz3,R-Mx3,R-My3,R-Mz3,R-AccelX,R-AccelY,R-AccelZ,R-GyroX,R-GyroY,R-GyroZ,L-X,L-Y,L-Z,R-X,R-Y,R-Z
0,0,215.06,78.74,60.2,-52.98,19.84,122.04,-30.64,30.62,42.34,-20.98,20.74,-18.48,1.78,-18.3,165.86,-74.64,-23.14,11.74,0,0.06,1.01,0,-3.57,0.7,-48.77083333,9.375,88.125,-31.72916667,-124.8958333,122.2291667,-33.91666667,55.625,111.5208333,-43.02083333,-6.25,10.4375,154.3958333,-67.60416667,336.5416667,-118.2708333,20.52083333,110.8958333,0,0.04,1.01,1.05,-3.15,0.21,-0.08728,0.20953,-0.06554,0.02173,0.0028,-0.03657
0.02,0,212.06,76.74,63.2,-52.98,23.84,124.04,-23.64,27.62,40.34,-17.98,22.74,27.52,-3.22,-19.3,176.86,-78.64,-17.14,18.74,0,0.06,1.01,0,-3.5,0.77,-47.77083333,1.375,101.125,-30.72916667,-112.8958333,105.2291667,-41.91666667,57.625,107.5208333,-40.02083333,-8.25,31.4375,152.3958333,-62.60416667,340.5416667,-116.2708333,21.52083333,119.8958333,0,0.04,1.02,1.26,-3.15,0.21,-0.08728,0.20953,-0.06554,0.02173,0.0028,-0.03657
0.04,0,210.06,84.74,65.2,-52.98,25.84,124.04,-30.64,30.62,41.34,-18.98,21.74,12.52,-3.22,-21.3,189.86,-83.64,-19.14,27.74,0,0.06,1.01,0.14,-3.5,0.7,-38.77083333,3.375,88.125,-29.72916667,-122.8958333,100.2291667,-31.91666667,58.625,107.5208333,-40.02083333,-9.25,39.4375,151.3958333,-62.60416667,338.5416667,-117.2708333,21.52083333,112.8958333,0,0.04,1.02,1.19,-3.15,0.21,-0.08728,0.20953,-0.06554,0.02173,0.0028,-0.03657
0.06,0,200.06,82.74,74.2,-52.98,34.84,107.04,-35.64,30.62,43.34,-18.98,20.74,-30.48,-0.22,-20.3,197.86,-86.64,-24.14,20.74,0,0.06,1.01,0.28,-3.57,0.63,-39.77083333,2.375,79.125,-30.72916667,-127.8958333,109.2291667,-39.91666667,53.625,106.5208333,-41.02083333,-9.25,20.4375,146.3958333,-62.60416667,333.5416667,-116.2708333,23.52083333,116.8958333,0,0.04,1.01,1.4,-3.08,0.21,-0.08728,0.20953,-0.06554,0.02173,0.0028,-0.03657
0.08,0,212.06,82.74,70.2,-54.98,28.84,123.04,-42.64,31.62,42.34,-17.98,18.74,5.52,-1.22,-19.3,201.86,-86.64,-25.14,18.74,0,0.06,1.01,0.35,-3.57,0.63,-41.77083333,1.375,85.125,-28.72916667,-121.8958333,106.2291667,-46.91666667,54.625,105.5208333,-42.02083333,-10.25,-16.5625,142.3958333,-62.60416667,325.5416667,-117.2708333,24.52083333,112.8958333,0,0.04,1.02,1.33,-3.01,0.21,-0.08728,0.20953,-0.06554,0.02173,0.0028,-0.03657
0.1,0,226.06,87.74,67.2,-57.98,21.84,121.04,-39.64,29.62,43.34,-21.98,19.74,-34.48,0.78,-20.3,204.86,-88.64,-26.14,24.74,0,0.06,1.01,0.42,-3.36,0.7,-45.77083333,2.375,87.125,-28.72916667,-121.8958333,140.2291667,-36.91666667,53.625,104.5208333,-41.02083333,-11.25,4.4375,141.3958333,-61.60416667,319.5416667,-114.2708333,20.52083333,104.8958333,0,0.04,1.02,1.47,-2.94,0.35,-0.08728,0.20953,-0.06554,0.02173,0.0028,-0.03657
0.12,0,232.06,86.74,62.2,-58.98,14.84,97.04,-26.64,27.62,44.34,-18.98,19.74,-1.48,0.78,-21.3,207.86,-88.64,-26.14,28.74,0,0.06,1.01,0.49,-3.5,0.84,-53.77083333,8.375,92.125,-29.72916667,-116.8958333,130.2291667,-45.91666667,53.625,102.5208333,-40.02083333,-8.25,-11.5625,135.3958333,-60.60416667,310.5416667,-112.2708333,24.52083333,102.8958333,0,0.04,1.02,1.4,-3.01,0.42,-0.08728,0.20953,-0.06554,0.02173,0.0028,-0.03657
0.14,0,227.06,91.74,74.2,-59.98,29.84,110.04,-38.64,29.62,46.34,-20.98,22.74,-30.48,-1.22,-21.3,209.86,-91.64,-28.14,29.74,0,0.06,1.01,0.35,-3.57,0.84,-44.77083333,6.375,92.125,-30.72916667,-121.8958333,102.2291667,-40.91666667,55.625,101.5208333,-41.02083333,-9.25,2.4375,134.3958333,-58.60416667,299.5416667,-107.2708333,21.52083333,100.8958333,0,0.04,1.02,1.4,-2.94,0.35,-0.08728,0.20953,-0.06554,0.02173,0.0028,-0.03657
0.16,0,243.06,100.74,72.2,-61.98,22.84,131.04,-39.64,27.62,47.34,-21.98,23.74,-44.48,-1.22,-19.3,217.86,-91.64,-27.14,32.74,0,0.06,1.01,0.35,-3.43,0.84,-47.77083333,8.375,100.125,-31.72916667,-115.8958333,71.22916667,-49.91666667,47.625,96.52083333,-39.02083333,-8.25,21.4375,134.3958333,-58.60416667,288.5416667,-104.2708333,20.52083333,94.89583333,0,0.04,1.02,1.4,-3.01,0.42,-0.08728,0.20953,-0.06554,0.02173,0.0028,-0.03657
0.18,0,233.06,99.74,81.2,-59.98,31.84,141.04,-41.64,27.62,46.34,-20.98,22.74,-44.48,-2.22,-17.3,222.86,-93.64,-29.14,25.74,0,0.06,1.01,0.42,-3.36,0.84,-46.77083333,11.375,95.125,-30.72916667,-120.8958333,107.2291667,-37.91666667,49.625,94.52083333,-37.02083333,-9.25,32.4375,133.3958333,-58.60416667,282.5416667,-102.2708333,18.52083333,92.89583333,0,0.04,1.02,1.33,-3.01,0.42,-0.08728,0.20953,-0.06554,0.02173,0.0028,-0.03657
0.2,0,244.06,101.74,69.2,-61.98,20.84,145.04,-39.64,33.62,47.34,-21.98,23.74,-34.48,-0.22,-17.3,229.86,-94.64,-31.14,35.74,0,0.06,1.01,0.35,-3.43,0.77,-46.77083333,8.375,101.125,-32.72916667,-119.8958333,81.22916667,-40.91666667,44.625,92.52083333,-38.02083333,-12.25,3.4375,131.3958333,-58.60416667,278.5416667,-100.2708333,19.52083333,89.89583333,0,0.04,1.01,1.19,-3.08,0.49,-0.08728,0.20953,-0.06554,0.02173,0.0028,-0.03657
0.22,0,235.06,100.74,83.2,-61.98,31.84,137.04,-32.64,27.62,45.34,-18.98,20.74,-10.48,2.78,-17.3,234.86,-97.64,-36.14,37.74,0,0.06,1.01,0.42,-3.43,0.84,-44.77083333,10.375,94.125,-32.72916667,-125.8958333,95.22916667,-35.91666667,47.625,92.52083333,-39.02083333,-11.25,-27.5625,133.3958333,-58.60416667,281.5416667,-102.2708333,19.52083333,90.89583333,0,0.04,1.01,1.26,-3.15,0.49,-0.08728,0.20953,-0.06554,0.02173,0.0028,-0.03657
