Time(s),L-Fx1,L-Fy1,L-Fz1,L-Mx1,L-My1,L-Mz1,L-Fx2,L-Fy2,L-Fz2,L-Mx2,L-My2,L-Mz2,L-Fx3,L-Fy3,L-Fz3,L-Mx3,L-My3,L-Mz3,L-AccelX,L-AccelY,L-AccelZ,L-GyroX,L-GyroY,L-GyroZ,R-Fx1,R-Fy1,R-Fz1,R-Mx1,R-My1,R-Mz1,R-Fx2,R-Fy2,R-Fz2,R-Mx2,R-My2,R-Mz2,R-Fx3,R-Fy3,R-Fz3,R-Mx3,R-My3,R-Mz3,R-AccelX,R-AccelY,R-AccelZ,R-GyroX,R-GyroY,R-GyroZ,L-X,L-Y,L-Z,R-X,R-Y,R-Z
0,221.06,117.74,92.2,-43.98,27.84,80.04,-25.64,33.62,52.34,-24.98,20.74,-53.48,-33.22,-9.3,154.86,-73.64,-16.14,21.74,0,0.06,1.01,0.77,-3.08,1.12,-39.77083333,28.375,94.125,-31.72916667,-116.8958333,165.2291667,-25.91666667,59.625,90.52083333,-33.02083333,-6.25,27.4375,168.3958333,-22.60416667,468.5416667,-163.2708333,34.52083333,127.8958333,-0.01,0.03,1.02,1.47,-3.36,0.42,-0.01172,0.06242,-0.01589,0.14576,0.62334,-0.48759
0.02,233.06,126.74,77.2,-45.98,8.84,130.04,-22.64,27.62,51.34,-25.98,19.74,-71.48,-32.22,-8.3,152.86,-73.64,-13.14,21.74,0,0.06,1.01,0.84,-3.08,1.19,-33.77083333,23.375,93.125,-32.72916667,-120.8958333,150.2291667,-33.91666667,59.625,92.52083333,-34.02083333,-8.25,-0.5625,166.3958333,-20.60416667,474.5416667,-163.2708333,36.52083333,128.8958333,0,0.03,1.02,1.4,-3.36,0.35,-0.01172,0.06242,-0.01589,0.14576,0.62334,-0.48759
0.04,236.06,124.74,83.2,-45.98,18.84,149.04,-21.64,31.62,54.34,-23.98,22.74,-66.48,-32.22,-9.3,149.86,-73.64,-12.14,25.74,0,0.06,1.01,0.7,-3.01,1.05,-35.77083333,29.375,98.125,-32.72916667,-116.8958333,139.2291667,-46.91666667,62.625,91.52083333,-38.02083333,-5.25,10.4375,166.3958333,-20.60416667,469.5416667,-164.2708333,33.52083333,121.8958333,0,0.03,1.02,1.33,-3.43,0.35,-0.01172,0.06242,-0.01589,0.14576,0.62334,-0.48759
0.06,233.06,123.74,88.2,-44.98,20.84,135.04,-43.64,36.62,57.34,-23.98,23.74,-58.48,-29.22,-7.3,143.86,-68.64,-14.14,17.74,0,0.06,1.01,0.77,-3.08,0.98,-36.77083333,25.375,98.125,-33.72916667,-115.8958333,148.2291667,-26.91666667,61.625,93.52083333,-36.02083333,-6.25,19.4375,166.3958333,-20.60416667,475.5416667,-165.2708333,37.52083333,139.8958333,0,0.03,1.02,1.33,-3.5,0.35,-0.01172,0.06242,-0.01589,0.14576,0.62334,-0.48759
0.08,233.06,125.74,84.2,-43.98,16.84,127.04,-27.64,36.62,57.34,-25.98,20.74,-67.48,-30.22,-9.3,141.86,-71.64,-12.14,22.74,0,0.06,1.01,0.98,-3.08,0.98,-39.77083333,20.375,110.125,-35.72916667,-101.8958333,97.22916667,-37.91666667,59.625,92.52083333,-36.02083333,-9.25,-26.5625,171.3958333,-19.60416667,488.5416667,-169.2708333,35.52083333,134.8958333,0,0.03,1.02,1.47,-3.5,0.56,-0.01172,0.06242,-0.01589,0.14576,0.62334,-0.48759
0.1,236.06,129.74,78.2,-45.98,14.84,174.04,-28.64,35.62,58.34,-23.98,23.74,-46.48,-29.22,-8.3,136.86,-69.64,-13.14,13.74,0,0.06,1.01,0.98,-3.15,0.98,-34.77083333,26.375,85.125,-31.72916667,-122.8958333,152.2291667,-30.91666667,62.625,91.52083333,-32.02083333,-5.25,47.4375,168.3958333,-18.60416667,498.5416667,-171.2708333,38.52083333,137.8958333,0,0.03,1.02,1.4,-3.43,0.56,-0.01172,0.06242,-0.01589,0.14576,0.62334,-0.48759
0.12,228.06,125.74,91.2,-44.98,22.84,108.04,-23.64,39.62,60.34,-23.98,22.74,-34.48,-30.22,-10.3,131.86,-69.64,-10.14,18.74,0,0.06,1.01,0.98,-3.22,1.05,-42.77083333,18.375,108.125,-33.72916667,-104.8958333,114.2291667,-45.91666667,58.625,93.52083333,-36.02083333,-3.25,36.4375,168.3958333,-19.60416667,507.5416667,-175.2708333,41.52083333,144.8958333,0,0.03,1.02,1.26,-3.29,0.49,-0.01172,0.06242,-0.01589,0.14576,0.62334,-0.48759
0.14,235.06,121.74,78.2,-45.98,12.84,116.04,-39.64,39.62,59.34,-24.98,21.74,-33.48,-31.22,-9.3,123.86,-65.64,-9.14,10.74,0,0.06,1.01,0.98,-3.08,1.12,-36.77083333,21.375,108.125,-36.72916667,-104.8958333,83.22916667,-47.91666667,62.625,94.52083333,-34.02083333,-8.25,27.4375,171.3958333,-17.60416667,525.5416667,-179.2708333,47.52083333,144.8958333,0,0.03,1.01,1.12,-3.15,0.49,-0.01172,0.06242,-0.01589,0.14576,0.62334,-0.48759
0.16,217.06,123.74,100.2,-37.98,29.84,94.04,-26.64,36.62,61.34,-24.98,23.74,-65.48,-31.22,-9.3,116.86,-64.64,-7.14,9.74,0,0.06,1.01,0.91,-2.94,1.05,-33.77083333,22.375,96.125,-34.72916667,-116.8958333,125.2291667,-50.91666667,63.625,97.52083333,-39.02083333,-5.25,6.4375,170.3958333,-16.60416667,542.5416667,-185.2708333,52.52083333,157.8958333,0,0.03,1.01,1.19,-3.29,0.49,-0.01172,0.06242,-0.01589,0.14576,0.62334,-0.48759
0.18,229.06,124.74,89.2,-43.98,23.84,106.04,-17.64,39.62,61.34,-23.98,21.74,-34.48,-29.22,-10.3,113.86,-64.64,-9.14,11.74,0,0.06,1.01,0.91,-3.01,1.19,-35.77083333,23.375,91.125,-33.72916667,-122.8958333,158.2291667,-27.91666667,65.625,95.52083333,-36.02083333,-7.25,14.4375,172.3958333,-18.60416667,558.5416667,-191.2708333,55.52083333,161.8958333,0,0.03,1.02,1.19,-3.29,0.42,-0.01172,0.06242,-0.01589,0.14576,0.62334,-0.48759
