Time(s),L-Fx1,L-Fy1,L-Fz1,L-Mx1,L-My1,L-Mz1,L-Fx2,L-Fy2,L-Fz2,L-Mx2,L-My2,L-Mz2,L-Fx3,L-Fy3,L-Fz3,L-Mx3,L-My3,L-Mz3,L-AccelX,L-AccelY,L-AccelZ,L-GyroX,L-GyroY,L-GyroZ,R-Fx1,R-Fy1,R-Fz1,R-Mx1,R-My1,R-Mz1,R-Fx2,R-Fy2,R-Fz2,R-Mx2,R-My2,R-Mz2,R-Fx3,R-Fy3,R-Fz3,R-Mx3,R-My3,R-Mz3,R-AccelX,R-AccelY,R-AccelZ,R-GyroX,R-GyroY,R-GyroZ,L-X,L-Y,L-Z,R-X,R-Y,R-Z
0,41.06,-8.26,6.2,15.02,11.84,-19.96,-34.64,-8.38,-6.66,-7.98,10.74,10.52,-8.22,-50.3,20.86,-27.64,-8.14,-59.26,-0.19,-0.53,2.11,-31.15,-22.54,8.26,-24.77083333,2.375,35.125,-18.72916667,-85.89583333,143.2291667,-43.91666667,75.625,125.5208333,-44.02083333,0.75,24.4375,231.3958333,102.3958333,1965.541667,-456.2708333,267.5208333,759.8958333,0,0.03,1.02,1.12,-2.8,0.7,0,0,0,0.07874,0.04996,0.15597
0.02,67.06,1.74,8.2,5.02,9.84,13.04,-28.64,-10.38,-3.66,-5.98,9.74,42.52,-13.22,-55.3,41.86,-38.64,-12.14,-59.26,-0.04,0,1.11,-17.15,-19.95,3.43,-12.77083333,7.375,26.125,-22.72916667,-96.89583333,141.2291667,-33.91666667,73.625,127.5208333,-46.02083333,0.75,-9.5625,234.3958333,108.3958333,1999.541667,-458.2708333,275.5208333,763.8958333,0,0.03,1.02,1.47,-3.29,0.98,0,0,0,0.07874,0.04996,0.15597
0.04,100.06,7.74,-5.8,-3.98,-13.16,16.04,-29.64,-8.38,2.34,-10.98,11.74,1.52,-11.22,-58.3,103.86,-58.64,-12.14,-30.26,0.02,0.07,1.03,-2.73,-5.04,1.68,-13.77083333,1.375,23.125,-18.72916667,-94.89583333,159.2291667,-33.91666667,75.625,125.5208333,-42.02083333,-1.25,22.4375,235.3958333,90.39583333,1942.541667,-440.2708333,263.5208333,738.8958333,0,0.03,1.02,1.89,-3.22,0.91,0,0,0,0.07874,0.04996,0.15597
0.06,109.06,17.74,7.2,-4.98,0.84,68.04,-40.64,-6.38,3.34,-7.98,13.74,32.52,-5.22,-58.3,153.86,-73.64,-27.14,-13.26,0.01,0.06,1.02,-0.35,-4.27,1.26,-26.77083333,-1.625,43.125,-18.72916667,-69.89583333,123.2291667,-22.91666667,67.625,122.5208333,-42.02083333,2.75,-2.5625,231.3958333,58.39583333,1781.541667,-404.2708333,233.5208333,657.8958333,0,0.03,1.01,1.96,-2.87,0.63,0,0,0,0.07874,0.04996,0.15597
0.08,116.06,20.74,7.2,-9.98,-7.16,35.04,-32.64,-6.38,4.34,-9.98,14.74,8.52,-6.22,-60.3,163.86,-75.64,-22.14,-6.26,0.01,0.06,1.01,0.63,-3.08,0.35,-4.770833333,-5.625,17.125,-17.72916667,-86.89583333,146.2291667,-25.91666667,59.625,115.5208333,-42.02083333,0.75,-7.5625,226.3958333,31.39583333,1626.541667,-374.2708333,210.5208333,587.8958333,0,0.03,1.01,1.96,-2.73,0.42,0,0,0,0.07874,0.04996,0.15597
0.1,107.06,19.74,12.2,-7.98,3.84,34.04,-26.64,-5.38,6.34,-9.98,12.74,-0.48,-7.22,-59.3,155.86,-72.64,-25.14,-17.26,0.01,0.06,1.01,0.91,-2.1,0.35,-7.770833333,-5.625,11.125,-16.72916667,-90.89583333,149.2291667,-35.91666667,60.625,109.5208333,-41.02083333,-3.25,3.4375,222.3958333,9.395833333,1496.541667,-352.2708333,194.5208333,525.8958333,0,0.03,1.01,1.82,-2.73,0.28,0,0,0,0.07874,0.04996,0.15597
0.12,113.06,28.74,7.2,-10.98,-5.16,44.04,-33.64,2.62,8.34,-10.98,14.74,-1.48,-10.22,-60.3,162.86,-74.64,-22.14,-12.26,0,0.06,1.01,0.35,-2.52,0.56,-11.77083333,-4.625,9.125,-13.72916667,-93.89583333,163.2291667,-37.91666667,55.625,106.5208333,-40.02083333,-1.25,-11.5625,222.3958333,-5.604166667,1405.541667,-338.2708333,182.5208333,494.8958333,0,0.03,1.01,1.54,-2.8,0.28,0,0,0,0.07874,0.04996,0.15597
0.14,109.06,28.74,21.2,-10.98,12.84,45.04,-25.64,-3.38,11.34,-12.98,12.74,-28.48,-10.22,-61.3,177.86,-78.64,-24.14,-10.26,0.12,0.06,1.01,0,-3.15,0.77,2.229166667,-3.625,-7.875,-16.72916667,-109.8958333,164.2291667,-23.91666667,57.625,104.5208333,-38.02083333,-2.25,-0.5625,220.3958333,-4.604166667,1379.541667,-333.2708333,185.5208333,470.8958333,0,0.03,1.02,1.47,-2.66,0.28,0,0,0,0.07874,0.04996,0.15597
0.16,113.06,28.74,20.2,-10.98,10.84,27.04,-27.64,3.62,14.34,-14.98,12.74,-6.48,-11.22,-59.3,200.86,-84.64,-24.14,-6.26,0,0.06,1.01,-0.07,-3.57,0.91,-4.770833333,-4.625,11.125,-16.72916667,-98.89583333,138.2291667,-28.91666667,57.625,101.5208333,-38.02083333,-2.25,-0.5625,218.3958333,-2.604166667,1376.541667,-334.2708333,193.5208333,470.8958333,0,0.03,1.02,1.61,-2.8,0.28,0,0,0,0.07874,0.04996,0.15597
0.18,116.06,35.74,30.2,-12.98,17.84,29.04,-37.64,4.62,15.34,-13.98,14.74,-4.48,-9.22,-57.3,218.86,-86.64,-33.14,6.74,0.01,0.06,1.01,-0.07,-3.78,0.91,-22.77083333,-0.625,27.125,-18.72916667,-84.89583333,165.2291667,-25.91666667,56.625,102.5208333,-38.02083333,-1.25,-1.5625,214.3958333,-5.604166667,1336.541667,-328.2708333,194.5208333,450.8958333,0,0.03,1.02,1.68,-2.94,0.28,0,0,0,0.07874,0.04996,0.15597
