Time(s),L-Fx1,L-Fy1,L-Fz1,L-Mx1,L-My1,L-Mz1,L-Fx2,L-Fy2,L-Fz2,L-Mx2,L-My2,L-Mz2,L-Fx3,L-Fy3,L-Fz3,L-Mx3,L-My3,L-Mz3,L-AccelX,L-AccelY,L-AccelZ,L-GyroX,L-GyroY,L-GyroZ,R-Fx1,R-Fy1,R-Fz1,R-Mx1,R-My1,R-Mz1,R-Fx2,R-Fy2,R-Fz2,R-Mx2,R-My2,R-Mz2,R-Fx3,R-Fy3,R-Fz3,R-Mx3,R-My3,R-Mz3,R-AccelX,R-AccelY,R-AccelZ,R-GyroX,R-GyroY,R-GyroZ,L-X,L-Y,L-Z,R-X,R-Y,R-Z
0.02,-8.823529412,25.49019608,43.50980392,8.941176471,2.823529412,-11.92156863,39.47058824,59.56862745,63.49019608,30.50980392,-26.7254902,28.07843137,3.431372549,-4.568627451,15.68627451,-4.352941176,2.31372549,-40.94117647,-0.02,0.1,1.07,15.19,-24.71,0.84,-26.48,-5.36,46.48,-29.06,21.34,14.88,2.28,-50.68,55.2,-82.3,28.86,117.94,123.24,-233.48,685.86,-78.02,29.26,169.14,0.04,0.06,0.98,-4.55,-7.91,-1.54,0.16064,0.01526,0.12206,0,0,0
0.04,-1.823529412,25.49019608,31.50980392,12.94117647,-3.176470588,45.07843137,30.47058824,59.56862745,58.49019608,36.50980392,-25.7254902,12.07843137,0.431372549,0.431372549,10.68627451,-2.352941176,3.31372549,-49.94117647,0,0.14,0.96,10.43,-6.86,1.96,-26.48,-3.36,51.48,-34.06,21.34,-11.12,-4.72,-49.68,60.2,-82.3,25.86,116.94,127.24,-239.48,683.86,-80.02,29.26,168.14,0.04,0.07,0.98,-4.48,-7.63,-1.47,0.16064,0.01526,0.12206,0,0,0
0.06,0.176470588,26.49019608,33.50980392,14.94117647,-0.176470588,44.07843137,35.47058824,54.56862745,51.49019608,39.50980392,-25.7254902,21.07843137,-10.56862745,-3.568627451,7.68627451,-1.352941176,4.31372549,-46.94117647,0.19,0.39,0.99,-0.07,-1.89,16.38,-25.48,-6.36,48.48,-34.06,19.34,18.88,0.28,-43.68,58.2,-86.3,21.86,106.94,133.24,-241.48,677.86,-80.02,26.26,178.14,0.04,0.06,0.98,-4.55,-7.35,-1.54,0.16064,0.01526,0.12206,0,0,0
0.08,3.176470588,25.49019608,35.50980392,14.94117647,-1.176470588,22.07843137,33.47058824,63.56862745,51.49019608,43.50980392,-25.7254902,12.07843137,-13.56862745,-10.56862745,3.68627451,-1.352941176,1.31372549,-43.94117647,0.35,0.69,1.13,8.19,26.81,14.21,-30.48,-8.36,53.48,-37.06,21.34,-5.12,-0.72,-39.68,61.2,-84.3,26.86,110.94,132.24,-243.48,676.86,-81.02,26.26,169.14,0.03,0.06,0.98,-5.11,-6.93,-1.75,0.16064,0.01526,0.12206,0,0,0
0.1,1.176470588,28.49019608,41.50980392,16.94117647,-1.176470588,6.078431373,25.47058824,68.56862745,51.49019608,47.50980392,-23.7254902,45.07843137,-14.56862745,-10.56862745,6.68627451,-2.352941176,1.31372549,-43.94117647,0.63,0.62,0.96,-11.48,-18.34,10.22,-24.48,-5.36,54.48,-36.06,22.34,3.88,0.28,-34.68,60.2,-85.3,22.86,94.94,133.24,-245.48,679.86,-82.02,28.26,170.14,0.03,0.06,0.98,-5.04,-7.07,-1.68,0.16064,0.01526,0.12206,0,0,0
0.12,0.176470588,29.49019608,38.50980392,14.94117647,0.823529412,14.07843137,33.47058824,69.56862745,52.49019608,46.50980392,-22.7254902,17.07843137,-12.56862745,-4.568627451,4.68627451,-1.352941176,2.31372549,-42.94117647,0.39,0.71,0.92,-5.74,-40.39,6.93,-26.48,-7.36,55.48,-40.06,24.34,7.88,-1.72,-43.68,61.2,-83.3,23.86,107.94,137.24,-248.48,676.86,-82.02,25.26,173.14,0.03,0.07,0.98,-4.69,-7.21,-1.75,0.16064,0.01526,0.12206,0,0,0
0.14,5.176470588,28.49019608,33.50980392,14.94117647,-0.176470588,20.07843137,29.47058824,67.56862745,52.49019608,47.50980392,-25.7254902,21.07843137,-13.56862745,-4.568627451,7.68627451,-2.352941176,4.31372549,-43.94117647,0.25,0.66,0.97,6.93,-31.08,15.75,-27.48,-6.36,56.48,-39.06,23.34,7.88,10.28,-33.68,58.2,-84.3,22.86,102.94,139.24,-249.48,674.86,-84.02,27.26,176.14,0.04,0.06,0.98,-5.04,-7.07,-1.68,0.16064,0.01526,0.12206,0,0,0
0.16,-2.823529412,27.49019608,39.50980392,15.94117647,-0.176470588,28.07843137,29.47058824,67.56862745,52.49019608,47.50980392,-25.7254902,11.07843137,-12.56862745,-1.568627451,6.68627451,-2.352941176,1.31372549,-45.94117647,0.2,0.57,0.99,8.12,-42.42,21.98,-24.48,-7.36,47.48,-37.06,18.34,14.88,7.28,-35.68,59.2,-83.3,19.86,110.94,142.24,-250.48,668.86,-84.02,25.26,167.14,0.03,0.07,0.98,-4.97,-7.07,-1.68,0.16064,0.01526,0.12206,0,0,0
0.18,1.176470588,26.49019608,33.50980392,14.94117647,-1.176470588,1.078431373,34.47058824,68.56862745,51.49019608,46.50980392,-24.7254902,22.07843137,-10.56862745,1.431372549,4.68627451,-1.352941176,0.31372549,-46.94117647,0.12,0.47,0.95,20.72,-42.84,23.94,-23.48,-10.36,56.48,-40.06,23.34,-1.12,4.28,-29.68,64.2,-85.3,24.86,103.94,145.24,-251.48,662.86,-83.02,21.26,165.14,0.03,0.07,0.98,-4.76,-6.79,-1.61,0.16064,0.01526,0.12206,0,0,0
0.2,0.176470588,26.49019608,24.50980392,14.94117647,-2.176470588,30.07843137,32.47058824,66.56862745,48.49019608,43.50980392,-25.7254902,18.07843137,-12.56862745,3.431372549,7.68627451,-1.352941176,2.31372549,-42.94117647,0.13,0.33,0.98,37.24,-38.85,18.83,-23.48,-13.36,55.48,-43.06,22.34,1.88,6.28,-35.68,59.2,-84.3,25.86,130.94,146.24,-254.48,657.86,-86.02,22.26,162.14,0.03,0.06,0.98,-4.97,-6.93,-1.54,0.16064,0.01526,0.12206,0,0,0
