Time(s),L-Fx1,L-Fy1,L-Fz1,L-Mx1,L-My1,L-Mz1,L-Fx2,L-Fy2,L-Fz2,L-Mx2,L-My2,L-Mz2,L-Fx3,L-Fy3,L-Fz3,L-Mx3,L-My3,L-Mz3,L-AccelX,L-AccelY,L-AccelZ,L-GyroX,L-GyroY,L-GyroZ,R-Fx1,R-Fy1,R-Fz1,R-Mx1,R-My1,R-Mz1,R-Fx2,R-Fy2,R-Fz2,R-Mx2,R-My2,R-Mz2,R-Fx3,R-Fy3,R-Fz3,R-Mx3,R-My3,R-Mz3,R-AccelX,R-AccelY,R-AccelZ,R-GyroX,R-GyroY,R-GyroZ,L-X,L-Y,L-Z,R-X,R-Y,R-Z
0,6.62,5.08,72.42,-35.96,4.6,69.42,56.72,35.84,153.08,-42.08,-24.38,21.94,21.12,0.58,130.66,-46.16,17.56,19.1,0.01,0.05,0.99,3.01,-5.39,-5.67,-0.6875,7.270833333,62.25,-39.95833333,6.541666667,-25.95833333,-43.29166667,3.270833333,117.1458333,-99.625,6.895833333,35.79166667,-32.75,-8.729166667,121,-42.10416667,17.3125,-6.291666667,0.04,0.06,0.98,-0.35,-3.5,-2.94,0,0,0,0.06518,0.02896,-0.07053
0.02,9.62,13.08,72.42,-33.96,5.6,44.42,63.72,33.84,152.08,-42.08,-20.38,23.94,24.12,3.58,132.66,-45.16,15.56,19.1,0.01,0.05,0.99,3.01,-5.53,-6.02,-2.6875,4.270833333,62.25,-37.95833333,3.541666667,-39.95833333,-47.29166667,6.270833333,122.1458333,-99.625,8.895833333,-4.208333333,-35.75,-11.72916667,123,-45.10416667,20.3125,-10.29166667,0.04,0.07,0.98,-0.35,-3.43,-2.87,0,0,0,0.06518,0.02896,-0.07053
0.04,5.62,4.08,69.42,-32.96,7.6,87.42,53.72,28.84,154.08,-43.08,-24.38,2.94,23.12,2.58,132.66,-45.16,16.56,14.1,0.01,0.05,0.99,3.08,-5.6,-5.88,-0.6875,4.270833333,62.25,-38.95833333,7.541666667,-38.95833333,-40.29166667,4.270833333,116.1458333,-102.625,5.895833333,-0.208333333,-34.75,-10.72916667,121,-42.10416667,19.3125,-10.29166667,0.04,0.06,0.98,-0.35,-3.43,-2.94,0,0,0,0.06518,0.02896,-0.07053
0.08,4.62,6.08,68.42,-28.96,6.6,93.42,57.72,24.84,153.08,-41.08,-20.38,-4.06,23.12,1.58,132.66,-46.16,16.56,13.1,0.01,0.04,0.99,3.22,-5.53,-5.88,0.3125,12.27083333,62.25,-36.95833333,8.541666667,-41.95833333,-39.29166667,5.270833333,121.1458333,-103.625,5.895833333,5.791666667,-34.75,-9.729166667,121,-44.10416667,19.3125,-9.291666667,0.04,0.07,0.98,-0.14,-3.43,-3.01,0,0,0,0.06518,0.02896,-0.07053
0.1,6.62,4.08,72.42,-31.96,7.6,60.42,59.72,36.84,151.08,-40.08,-20.38,13.94,23.12,2.58,129.66,-44.16,16.56,23.1,0.02,0.05,0.99,3.01,-5.6,-5.95,-2.6875,3.270833333,63.25,-36.95833333,7.541666667,-33.95833333,-43.29166667,6.270833333,113.1458333,-101.625,5.895833333,4.791666667,-34.75,-9.729166667,120,-42.10416667,19.3125,-9.291666667,0.04,0.07,0.98,-0.28,-3.78,-2.87,0,0,0,0.06518,0.02896,-0.07053
0.12,2.62,6.08,69.42,-31.96,6.6,71.42,57.72,31.84,153.08,-40.08,-20.38,13.94,22.12,0.58,131.66,-46.16,17.56,16.1,0.01,0.05,1,3.01,-5.53,-5.88,1.3125,5.270833333,63.25,-38.95833333,4.541666667,-39.95833333,-41.29166667,6.270833333,123.1458333,-100.625,6.895833333,23.79166667,-34.75,-10.72916667,123,-45.10416667,18.3125,-7.291666667,0.04,0.06,0.98,-0.21,-3.57,-2.94,0,0,0,0.06518,0.02896,-0.07053
0.14,5.62,8.08,69.42,-34.96,6.6,57.42,59.72,32.84,150.08,-44.08,-22.38,22.94,24.12,2.58,131.66,-45.16,14.56,16.1,0.01,0.05,0.99,3.01,-5.67,-5.88,2.3125,0.270833333,59.25,-40.95833333,5.541666667,-49.95833333,-42.29166667,3.270833333,119.1458333,-104.625,5.895833333,14.79166667,-33.75,-7.729166667,121,-40.10416667,18.3125,-4.291666667,0.05,0.07,0.98,-0.28,-3.5,-3.08,0,0,0,0.06518,0.02896,-0.07053
0.16,8.62,10.08,68.42,-30.96,6.6,68.42,56.72,26.84,148.08,-42.08,-23.38,4.94,25.12,0.58,133.66,-47.16,16.56,20.1,0.01,0.05,0.99,3.08,-5.6,-5.88,-0.6875,5.270833333,60.25,-40.95833333,3.541666667,-50.95833333,-42.29166667,5.270833333,124.1458333,-102.625,4.895833333,-14.20833333,-33.75,-10.72916667,122,-44.10416667,19.3125,-4.291666667,0.04,0.07,0.98,-0.21,-3.36,-3.01,0,0,0,0.06518,0.02896,-0.07053
0.18,11.62,4.08,71.42,-30.96,7.6,65.42,54.72,27.84,150.08,-44.08,-23.38,12.94,25.12,1.58,132.66,-45.16,16.56,23.1,0.02,0.05,0.99,2.94,-5.46,-5.81,-2.6875,6.270833333,62.25,-37.95833333,8.541666667,-22.95833333,-43.29166667,9.270833333,126.1458333,-99.625,7.895833333,35.79166667,-33.75,-10.72916667,122,-44.10416667,18.3125,-2.291666667,0.04,0.07,0.98,-0.28,-3.36,-3.01,0,0,0,0.06518,0.02896,-0.07053
0.2,-1.38,7.08,71.42,-32.96,8.6,71.42,56.72,27.84,153.08,-37.08,-20.38,17.94,25.12,1.58,134.66,-46.16,15.56,20.1,0.01,0.06,0.99,3.15,-5.53,-5.95,4.3125,7.270833333,65.25,-39.95833333,6.541666667,-36.95833333,-46.29166667,9.270833333,120.1458333,-101.625,5.895833333,1.791666667,-33.75,-11.72916667,121,-45.10416667,18.3125,-6.291666667,0.04,0.07,0.98,-0.14,-3.43,-3.01,0,0,0,0.06518,0.02896,-0.07053
0.22,2.62,5.08,69.42,-32.96,6.6,59.42,57.72,28.84,150.08,-45.08,-28.38,18.94,24.12,2.58,135.66,-46.16,16.56,19.1,0.01,0.05,0.99,3.22,-5.39,-6.02,1.3125,5.270833333,65.25,-42.95833333,7.541666667,-50.95833333,-42.29166667,6.270833333,119.1458333,-102.625,3.895833333,13.79166667,-33.75,-11.72916667,118,-45.10416667,19.3125,-6.291666667,0.05,0.07,0.98,-0.28,-3.64,-3.15,0,0,0,0.06518,0.02896,-0.07053
0.24,5.62,6.08,69.42,-32.96,7.6,67.42,63.72,30.84,149.08,-40.08,-23.38,37.94,24.12,2.58,134.66,-46.16,16.56,14.1,0.01,0.05,0.99,3.36,-5.46,-5.95,-1.6875,0.270833333,65.25,-39.95833333,5.541666667,-32.95833333,-44.29166667,7.270833333,121.1458333,-103.625,7.895833333,19.79166667,-34.75,-9.729166667,118,-43.10416667,19.3125,-14.29166667,0.04,0.07,0.98,-0.28,-3.43,-3.08,0,0,0,0.06518,0.02896,-0.07053
0.26,1.62,0.08,70.42,-30.96,6.6,85.42,63.72,34.84,153.08,-40.08,-18.38,11.94,24.12,-0.42,136.66,-48.16,16.56,14.1,0.01,0.05,0.99,3.22,-5.32,-5.67,1.3125,6.270833333,62.25,-38.95833333,8.541666667,-18.95833333,-40.29166667,6.270833333,125.1458333,-102.625,4.895833333,14.79166667,-32.75,-11.72916667,118,-45.10416667,18.3125,-1.291666667,0.04,0.06,0.98,-0.42,-3.29,-2.8,0,0,0,0.06518,0.02896,-0.07053
0.28,7.62,10.08,69.42,-32.96,6.6,66.42,63.72,27.84,151.08,-42.08,-21.38,22.94,24.12,0.58,136.66,-47.16,16.56,18.1,0.01,0.05,0.99,3.15,-5.67,-5.81,0.3125,7.270833333,66.25,-39.95833333,6.541666667,-47.95833333,-43.29166667,6.270833333,122.1458333,-101.625,6.895833333,6.791666667,-34.75,-10.72916667,117,-43.10416667,19.3125,-6.291666667,0.04,0.07,0.98,-0.42,-3.36,-3.08,0,0,0,0.06518,0.02896,-0.07053
0.3,7.62,13.08,68.42,-34.96,6.6,35.42,60.72,30.84,153.08,-40.08,-21.38,32.94,25.12,1.58,139.66,-46.16,15.56,19.1,0.01,0.05,0.99,3.22,-5.46,-5.88,2.3125,5.270833333,65.25,-38.95833333,6.541666667,-32.95833333,-42.29166667,2.270833333,119.1458333,-102.625,3.895833333,-15.20833333,-34.75,-9.729166667,115,-43.10416667,19.3125,-9.291666667,0.05,0.07,0.98,-0.28,-3.36,-2.94,0,0,0,0.06518,0.02896,-0.07053
0.32,1.62,7.08,69.42,-30.96,6.6,56.42,64.72,32.84,150.08,-42.08,-23.38,9.94,23.12,1.58,138.66,-45.16,18.56,22.1,0.02,0.05,0.99,3.22,-5.67,-5.88,-1.6875,5.270833333,62.25,-41.95833333,6.541666667,-34.95833333,-42.29166667,8.270833333,119.1458333,-102.625,5.895833333,22.79166667,-33.75,-9.729166667,116,-43.10416667,19.3125,-4.291666667,0.04,0.06,0.98,-0.28,-3.5,-3.01,0,0,0,0.06518,0.02896,-0.07053
0.34,7.62,7.08,69.42,-29.96,8.6,75.42,56.72,31.84,151.08,-40.08,-20.38,30.94,25.12,1.58,139.66,-47.16,17.56,24.1,0.02,0.05,0.99,3.15,-5.53,-5.88,-1.6875,2.270833333,66.25,-40.95833333,6.541666667,-42.95833333,-40.29166667,6.270833333,121.1458333,-103.625,4.895833333,3.791666667,-32.75,-8.729166667,115,-41.10416667,17.3125,-7.291666667,0.04,0.06,0.98,-0.28,-3.57,-2.94,0,0,0,0.06518,0.02896,-0.07053
0.36,4.62,8.08,69.42,-28.96,8.6,62.42,58.72,26.84,149.08,-44.08,-22.38,7.94,24.12,2.58,137.66,-45.16,17.56,25.1,0.02,0.05,0.99,3.36,-5.46,-5.88,-0.6875,2.270833333,64.25,-44.95833333,5.541666667,-40.95833333,-45.29166667,8.270833333,117.1458333,-101.625,4.895833333,-11.20833333,-31.75,-10.72916667,117,-42.10416667,16.3125,-2.291666667,0.04,0.07,0.98,-0.42,-3.22,-3.08,0,0,0,0.06518,0.02896,-0.07053
0.38,7.62,14.08,69.42,-31.96,4.6,43.42,58.72,27.84,150.08,-38.08,-16.38,4.94,25.12,1.58,139.66,-46.16,16.56,17.1,0.01,0.05,0.99,3.15,-5.74,-5.81,-2.6875,2.270833333,64.25,-41.95833333,6.541666667,-23.95833333,-42.29166667,7.270833333,115.1458333,-104.625,5.895833333,23.79166667,-31.75,-9.729166667,116,-42.10416667,18.3125,-3.291666667,0.04,0.07,0.98,-0.28,-3.43,-3.01,0,0,0,0.06518,0.02896,-0.07053
