Time(s),FX1,L-Fx1,L-Fy1,L-Fz1,L-Mx1,L-My1,L-Mz1,L-Fx2,L-Fy2,L-Fz2,L-Mx2,L-My2,L-Mz2,L-Fx3,L-Fy3,L-Fz3,L-Mx3,L-My3,L-Mz3,L-AccelX,L-AccelY,L-AccelZ,L-GyroX,L-GyroY,L-GyroZ,R-Fx1,R-Fy1,R-Fz1,R-Mx1,R-My1,R-Mz1,R-Fx2,R-Fy2,R-Fz2,R-Mx2,R-My2,R-Mz2,R-Fx3,R-Fy3,R-Fz3,R-Mx3,R-My3,R-Mz3,R-AccelX,R-AccelY,R-AccelZ,R-GyroX,R-GyroY,R-GyroZ,L-X,L-Y,L-Z,R-X,R-Y,R-Z
0,0,28.78,6.76,74.72,-36.38,5.62,68.06,51.72,8.14,140.74,-59.8,-9.96,88.92,39.3,-52.12,233.74,-71.38,0.92,16.76,-0.02,0.08,0.97,-2.59,-5.67,-5.95,-55.9,-15.2,72.62,-57.84,15.6,-7.16,34.22,38.44,85.88,-64.08,-2.84,71.7,-14.64,5.22,84.36,-16.94,7.12,-19.36,0.04,0.06,0.98,-5.04,-7.49,-2.03,0.19189,0.08301,-0.25153,0.56897,0.3605,0.14957
0.02,0,27.78,7.76,68.72,-37.38,0.62,41.06,59.72,13.14,140.74,-55.8,-10.96,72.92,41.3,-54.12,231.74,-71.38,-1.08,16.76,-0.02,0.08,0.98,-2.31,-5.95,-6.02,-52.9,-18.2,70.62,-56.84,13.6,-16.16,31.22,38.44,86.88,-67.08,1.16,70.7,-12.64,6.22,83.36,-13.94,5.12,-19.36,0.04,0.06,0.98,-5.04,-7.21,-1.82,0.19189,0.08301,-0.25153,0.56897,0.3605,0.14957
0.04,0,31.78,7.76,66.72,-36.38,3.62,36.06,55.72,7.14,138.74,-57.8,-11.96,91.92,39.3,-54.12,231.74,-71.38,0.92,11.76,-0.02,0.08,0.97,-2.52,-5.74,-6.23,-48.9,-17.2,66.62,-58.84,12.6,-4.16,27.22,41.44,86.88,-64.08,1.16,92.7,-13.64,5.22,83.36,-14.94,6.12,-20.36,0.05,0.06,0.98,-5.18,-7.07,-2.03,0.19189,0.08301,-0.25153,0.56897,0.3605,0.14957
0.06,0,33.78,5.76,66.72,-33.38,2.62,33.06,52.72,7.14,135.74,-52.8,-10.96,86.92,39.3,-54.12,229.74,-71.38,1.92,15.76,-0.01,0.08,0.98,-2.38,-6.23,-6.09,-52.9,-15.2,76.62,-61.84,15.6,-3.16,27.22,34.44,86.88,-66.08,2.16,79.7,-11.64,7.22,91.36,-16.94,7.12,-20.36,0.05,0.06,0.98,-5.46,-7.07,-1.89,0.19189,0.08301,-0.25153,0.56897,0.3605,0.14957
0.08,0,28.78,10.76,72.72,-31.38,2.62,48.06,59.72,8.14,135.74,-54.8,-10.96,79.92,40.3,-55.12,224.74,-70.38,0.92,12.76,-0.02,0.08,0.97,-2.38,-6.09,-6.16,-53.9,-17.2,69.62,-60.84,12.6,-24.16,35.22,36.44,82.88,-66.08,1.16,91.7,-9.64,6.22,94.36,-15.94,6.12,-9.36,0.04,0.06,0.98,-5.39,-7.21,-1.96,0.19189,0.08301,-0.25153,0.56897,0.3605,0.14957
0.1,0,28.78,11.76,70.72,-30.38,1.62,35.06,56.72,6.14,133.74,-50.8,-9.96,101.92,41.3,-55.12,217.74,-68.38,0.92,16.76,-0.02,0.07,0.97,-2.52,-6.16,-6.23,-52.9,-18.2,81.62,-67.84,17.6,-28.16,37.22,40.44,84.88,-67.08,0.16,76.7,-5.64,7.22,102.36,-15.94,8.12,-3.36,0.05,0.06,0.98,-5.6,-7.77,-1.75,0.19189,0.08301,-0.25153,0.56897,0.3605,0.14957
0.12,0,31.78,12.76,53.72,-32.38,-1.38,32.06,54.72,9.14,127.74,-47.8,-9.96,92.92,40.3,-54.12,208.74,-65.38,0.92,10.76,-0.02,0.08,0.98,-2.24,-6.65,-6.37,-56.9,-14.2,76.62,-64.84,14.6,1.84,36.22,43.44,83.88,-66.08,0.16,75.7,-2.64,7.22,117.36,-18.94,9.12,-6.36,0.05,0.06,0.98,-5.46,-8.12,-1.68,0.19189,0.08301,-0.25153,0.56897,0.3605,0.14957
0.14,0,31.78,7.76,63.72,-27.38,1.62,24.06,54.72,12.14,122.74,-41.8,-10.96,90.92,39.3,-53.12,192.74,-62.38,0.92,7.76,-0.02,0.08,0.98,-2.31,-7.07,-6.37,-56.9,-18.2,73.62,-66.84,11.6,-9.16,42.22,47.44,83.88,-66.08,0.16,123.7,6.36,9.22,132.36,-18.94,7.12,3.64,0.05,0.06,0.98,-5.67,-7.77,-1.61,0.19189,0.08301,-0.25153,0.56897,0.3605,0.14957
0.16,0,23.78,10.76,59.72,-24.38,1.62,22.06,47.72,8.14,115.74,-40.8,-10.96,72.92,38.3,-53.12,174.74,-59.38,-0.08,8.76,-0.02,0.07,0.98,-1.96,-6.93,-6.16,-52.9,-22.2,81.62,-72.84,13.6,3.84,39.22,46.44,86.88,-67.08,1.16,97.7,9.36,7.22,150.36,-19.94,8.12,8.64,0.05,0.06,0.98,-5.67,-7.98,-1.61,0.19189,0.08301,-0.25153,0.56897,0.3605,0.14957
0.18,0,29.78,10.76,52.72,-26.38,-0.38,22.06,55.72,9.14,107.74,-36.8,-10.96,100.92,37.3,-53.12,154.74,-54.38,-1.08,0.76,-0.02,0.08,0.97,-1.54,-7.35,-6.3,-55.9,-20.2,87.62,-76.84,14.6,-8.16,28.22,54.44,94.88,-69.08,3.16,84.7,16.36,4.22,176.36,-22.94,9.12,20.64,0.05,0.06,0.98,-5.74,-8.26,-1.54,0.19189,0.08301,-0.25153,0.56897,0.3605,0.14957
0.2,0,16.78,16.76,68.72,-14.38,2.62,50.06,45.72,3.14,100.74,-33.8,-10.96,74.92,36.3,-49.12,131.74,-47.38,-1.08,-4.24,-0.02,0.08,0.97,-1.4,-7.56,-6.3,-61.9,-19.2,93.62,-77.84,16.6,10.84,29.22,58.44,96.88,-71.08,0.16,82.7,23.36,4.22,205.36,-23.94,12.12,29.64,0.05,0.06,0.98,-5.39,-8.82,-1.47,0.19189,0.08301,-0.25153,0.56897,0.3605,0.14957
0.22,0,14.78,15.76,54.72,-12.38,1.62,17.06,44.72,5.14,94.74,-27.8,-10.96,90.92,35.3,-48.12,104.74,-41.38,-1.08,-0.24,-0.01,0.08,0.98,-1.54,-7.98,-6.02,-58.9,-17.2,92.62,-80.84,16.6,-3.16,20.22,55.44,104.88,-73.08,7.16,100.7,32.36,-0.78,234.36,-27.94,12.12,43.64,0.05,0.06,0.98,-5.32,-9.03,-1.54,0.19189,0.08301,-0.25153,0.56897,0.3605,0.14957
0.24,0,19.78,14.76,34.72,-13.38,-1.38,28.06,47.72,1.14,82.74,-20.8,-10.96,101.92,33.3,-42.12,82.74,-32.38,-2.08,-0.24,-0.01,0.08,0.96,-1.26,-8.26,-6.09,-58.9,-22.2,97.62,-85.84,13.6,-31.16,21.22,62.44,109.88,-77.08,2.16,116.7,38.36,-1.78,267.36,-30.94,14.12,53.64,0.05,0.06,0.98,-5.46,-7.91,-1.47,0.19189,0.08301,-0.25153,0.56897,0.3605,0.14957
0.26,0,12.78,17.76,38.72,-6.38,-3.38,30.06,53.72,0.14,72.74,-17.8,-11.96,108.92,30.3,-38.12,63.74,-25.38,-1.08,-9.24,-0.01,0.08,0.97,-2.03,-8.47,-5.81,-59.9,-16.2,102.62,-89.84,18.6,14.84,14.22,68.44,116.88,-77.08,4.16,113.7,46.36,-2.78,293.36,-30.94,12.12,55.64,0.05,0.06,0.98,-5.18,-7.21,-1.75,0.19189,0.08301,-0.25153,0.56897,0.3605,0.14957
0.28,0,4.78,22.76,36.72,0.62,-0.38,61.06,46.72,2.14,61.74,-15.8,-8.96,84.92,29.3,-32.12,49.74,-18.38,-2.08,-14.24,0,0.1,0.97,-2.45,-8.4,-5.53,-66.9,-24.2,106.62,-96.84,14.6,-12.16,13.22,73.44,120.88,-78.08,3.16,102.7,49.36,-3.78,319.36,-31.94,17.12,71.64,0.05,0.06,0.99,-5.39,-7.49,-1.82,0.19189,0.08301,-0.25153,0.56897,0.3605,0.14957
0.3,0,2.78,24.76,27.72,5.62,-0.38,30.06,40.72,6.14,47.74,-13.8,-10.96,89.92,28.3,-26.12,37.74,-13.38,-1.08,-15.24,-0.01,0.07,0.98,-1.68,-9.24,-3.22,-65.9,-17.2,112.62,-100.84,17.6,-20.16,14.22,74.44,124.88,-77.08,4.16,106.7,53.36,-5.78,344.36,-33.94,20.12,79.64,0.05,0.06,0.98,-5.53,-7.63,-1.89,0.19189,0.08301,-0.25153,0.56897,0.3605,0.14957
0.32,0,-0.22,17.76,22.72,7.62,-0.38,6.06,29.72,4.14,37.74,-7.8,-10.96,77.92,29.3,-20.12,27.74,-9.38,-2.08,-19.24,0.02,0.09,1.02,-4.97,-10.22,0.49,-69.9,-22.2,116.62,-105.84,17.6,-45.16,13.22,75.44,125.88,-77.08,8.16,111.7,58.36,-5.78,365.36,-33.94,20.12,80.64,0.05,0.06,0.98,-5.39,-7.42,-1.61,0.19189,0.08301,-0.25153,0.56897,0.3605,0.14957
