Time(s),L-Fx1,L-Fy1,L-Fz1,L-Mx1,L-My1,L-Mz1,L-Fx2,L-Fy2,L-Fz2,L-Mx2,L-My2,L-Mz2,L-Fx3,L-Fy3,L-Fz3,L-Mx3,L-My3,L-Mz3,L-AccelX,L-AccelY,L-AccelZ,L-GyroX,L-GyroY,L-GyroZ,R-Fx1,R-Fy1,R-Fz1,R-Mx1,R-My1,R-Mz1,R-Fx2,R-Fy2,R-Fz2,R-Mx2,R-My2,R-Mz2,R-Fx3,R-Fy3,R-Fz3,R-Mx3,R-My3,R-Mz3,R-AccelX,R-AccelY,R-AccelZ,R-GyroX,R-GyroY,R-GyroZ,L-X,L-Y,L-Z,R-X,R-Y,R-Z
0,39.6122449,20.46938776,148.3265306,-88.59183673,8.081632653,27.3877551,60.97959184,80.73469388,136.6938776,-61.30612245,-30.32653061,14.14285714,14.81632653,2.816326531,44.87755102,-13.24489796,-4.040816327,-14.24489796,-0.02,0.09,0.97,-2.87,-5.95,-5.81,-53.12244898,-8.244897959,87.34693878,-77.69387755,17.53061224,-24.95918367,78.30612245,45.97959184,100.7142857,-59.63265306,21.20408163,51.7755102,-3.102040816,-12.53061224,28.79591837,-10.40816327,5.755102041,-5.979591837,0.05,0.09,0.98,-3.85,-7.42,-2.24,0.00537,-0.07611,-0.06592,-1.24743,-0.69678,0.6126
0.02,41.6122449,18.46938776,150.3265306,-86.59183673,10.08163265,36.3877551,59.97959184,76.73469388,136.6938776,-60.30612245,-29.32653061,31.14285714,16.81632653,3.816326531,49.87755102,-14.24489796,-4.040816327,-16.24489796,-0.02,0.09,0.97,-2.8,-5.74,-6.02,-55.12244898,-3.244897959,91.34693878,-78.69387755,17.53061224,-24.95918367,79.30612245,51.97959184,101.7142857,-59.63265306,22.20408163,45.7755102,-2.102040816,-10.53061224,24.79591837,-7.408163265,2.755102041,-14.97959184,0.04,0.09,0.98,-3.78,-7.63,-2.1,0.00537,-0.07611,-0.06592,-1.24743,-0.69678,0.6126
0.04,41.6122449,13.46938776,144.3265306,-85.59183673,6.081632653,41.3877551,62.97959184,78.73469388,135.6938776,-59.30612245,-28.32653061,32.14285714,18.81632653,2.816326531,49.87755102,-15.24489796,-4.040816327,-8.244897959,-0.02,0.09,0.97,-2.59,-5.46,-5.95,-59.12244898,-6.244897959,91.34693878,-78.69387755,16.53061224,-14.95918367,75.30612245,50.97959184,102.7142857,-59.63265306,22.20408163,59.7755102,-1.102040816,-9.530612245,20.79591837,-7.408163265,1.755102041,-9.979591837,0.05,0.09,0.98,-3.92,-7.56,-1.96,0.00537,-0.07611,-0.06592,-1.24743,-0.69678,0.6126
0.06,43.6122449,17.46938776,150.3265306,-86.59183673,8.081632653,13.3877551,50.97959184,71.73469388,138.6938776,-61.30612245,-30.32653061,-0.857142857,17.81632653,2.816326531,49.87755102,-14.24489796,-3.040816327,-11.24489796,-0.02,0.09,0.97,-2.38,-5.32,-5.95,-58.12244898,-5.244897959,90.34693878,-78.69387755,15.53061224,-34.95918367,79.30612245,55.97959184,100.7142857,-59.63265306,25.20408163,59.7755102,-0.102040816,-7.530612245,15.79591837,-5.408163265,0.755102041,-13.97959184,0.04,0.09,0.97,-4.2,-7.49,-2.17,0.00537,-0.07611,-0.06592,-1.24743,-0.69678,0.6126
0.08,44.6122449,18.46938776,147.3265306,-87.59183673,8.081632653,18.3877551,57.97959184,76.73469388,139.6938776,-60.30612245,-31.32653061,23.14285714,18.81632653,1.816326531,51.87755102,-15.24489796,-3.040816327,-12.24489796,-0.02,0.09,0.97,-2.45,-5.39,-5.95,-57.12244898,-4.244897959,91.34693878,-80.69387755,16.53061224,-17.95918367,86.30612245,57.97959184,101.7142857,-58.63265306,23.20408163,73.7755102,-0.102040816,-9.530612245,17.79591837,-7.408163265,0.755102041,-12.97959184,0.05,0.09,0.97,-4.69,-7.28,-2.1,0.00537,-0.07611,-0.06592,-1.24743,-0.69678,0.6126
0.1,44.6122449,13.46938776,147.3265306,-88.59183673,9.081632653,28.3877551,60.97959184,67.73469388,137.6938776,-64.30612245,-31.32653061,4.142857143,17.81632653,2.816326531,51.87755102,-15.24489796,-3.040816327,-6.244897959,-0.02,0.09,0.97,-2.66,-5.32,-5.88,-59.12244898,-1.244897959,98.34693878,-78.69387755,18.53061224,-30.95918367,81.30612245,56.97959184,99.71428571,-56.63265306,20.20408163,45.7755102,-1.102040816,-7.530612245,16.79591837,-5.408163265,0.755102041,-14.97959184,0.04,0.09,0.98,-4.76,-7.56,-2.24,0.00537,-0.07611,-0.06592,-1.24743,-0.69678,0.6126
0.12,41.6122449,16.46938776,150.3265306,-85.59183673,9.081632653,19.3877551,62.97959184,71.73469388,137.6938776,-64.30612245,-31.32653061,22.14285714,17.81632653,0.816326531,51.87755102,-17.24489796,-3.040816327,-10.24489796,-0.02,0.09,0.97,-2.66,-5.74,-5.81,-60.12244898,-3.244897959,96.34693878,-80.69387755,19.53061224,-19.95918367,81.30612245,52.97959184,96.71428571,-57.63265306,20.20408163,75.7755102,-1.102040816,-7.530612245,14.79591837,-5.408163265,1.755102041,-16.97959184,0.04,0.09,0.98,-5.04,-7.63,-2.24,0.00537,-0.07611,-0.06592,-1.24743,-0.69678,0.6126
0.14,43.6122449,20.46938776,150.3265306,-87.59183673,8.081632653,42.3877551,58.97959184,71.73469388,139.6938776,-62.30612245,-32.32653061,20.14285714,20.81632653,1.816326531,54.87755102,-16.24489796,-5.040816327,-6.244897959,-0.02,0.09,0.97,-2.31,-5.6,-5.81,-60.12244898,-2.244897959,94.34693878,-77.69387755,19.53061224,-8.959183673,80.30612245,56.97959184,100.7142857,-56.63265306,21.20408163,78.7755102,0.897959184,-7.530612245,16.79591837,-5.408163265,0.755102041,-9.979591837,0.04,0.09,0.98,-5.11,-7.7,-2.17,0.00537,-0.07611,-0.06592,-1.24743,-0.69678,0.6126
0.16,47.6122449,21.46938776,150.3265306,-85.59183673,9.081632653,18.3877551,60.97959184,79.73469388,141.6938776,-60.30612245,-31.32653061,26.14285714,18.81632653,2.816326531,52.87755102,-16.24489796,-2.040816327,-8.244897959,-0.03,0.09,0.97,-2.03,-5.88,-6.02,-58.12244898,2.755102041,95.34693878,-79.69387755,19.53061224,-6.959183673,85.30612245,49.97959184,98.71428571,-55.63265306,21.20408163,90.7755102,-0.102040816,-10.53061224,19.79591837,-9.408163265,-0.244897959,-11.97959184,0.04,0.09,0.98,-4.76,-7.63,-2.17,0.00537,-0.07611,-0.06592,-1.24743,-0.69678,0.6126
0.18,39.6122449,20.46938776,158.3265306,-84.59183673,10.08163265,24.3877551,61.97959184,78.73469388,139.6938776,-62.30612245,-29.32653061,19.14285714,18.81632653,3.816326531,47.87755102,-14.24489796,-3.040816327,-11.24489796,-0.03,0.09,0.97,-2.1,-6.09,-6.09,-59.12244898,-4.244897959,93.34693878,-77.69387755,18.53061224,-24.95918367,77.30612245,53.97959184,99.71428571,-58.63265306,23.20408163,84.7755102,-0.102040816,-9.530612245,19.79591837,-7.408163265,0.755102041,-18.97959184,0.05,0.09,0.98,-4.76,-7.42,-2.45,0.00537,-0.07611,-0.06592,-1.24743,-0.69678,0.6126
