Time(s),L-Fx1,L-Fy1,L-Fz1,L-Mx1,L-My1,L-Mz1,L-Fx2,L-Fy2,L-Fz2,L-Mx2,L-My2,L-Mz2,L-Fx3,L-Fy3,L-Fz3,L-Mx3,L-My3,L-Mz3,L-AccelX,L-AccelY,L-AccelZ,L-GyroX,L-GyroY,L-GyroZ,R-Fx1,R-Fy1,R-Fz1,R-Mx1,R-My1,R-Mz1,R-Fx2,R-Fy2,R-Fz2,R-Mx2,R-My2,R-Mz2,R-Fx3,R-Fy3,R-Fz3,R-Mx3,R-My3,R-Mz3,R-AccelX,R-AccelY,R-AccelZ,R-GyroX,R-GyroY,R-GyroZ,L-X,L-Y,L-Z,R-X,R-Y,R-Z
0,-4.431372549,28.54901961,29.82352941,0.764705882,6.274509804,10.31372549,26.82352941,3.058823529,63.56862745,-3.156862745,8.176470588,5.058823529,19.39215686,-46.62745098,141.1764706,-62.35294118,18.29411765,10.07843137,0.03,0.04,0.99,3.5,-5.88,-5.74,6.836734694,20.40816327,75.87755102,-37.89795918,8.959183673,93.59183673,-39.08163265,2.326530612,63.69387755,-71.51020408,14.34693878,55.75510204,36.65306122,-37.32653061,352.8979592,-53.40816327,26.79591837,51.75510204,0.02,0.07,0.98,-0.14,-4.13,-2.8,0,0,0,0.06774,-0.02472,0.02741
0.02,-7.431372549,12.54901961,30.82352941,0.764705882,7.274509804,42.31372549,25.82352941,8.058823529,60.56862745,-8.156862745,-0.823529412,3.058823529,18.39215686,-46.62745098,139.1764706,-61.35294118,19.29411765,13.07843137,0.03,0.05,0.99,3.29,-6.16,-5.95,2.836734694,22.40816327,74.87755102,-36.89795918,8.959183673,111.5918367,-37.08163265,2.326530612,59.69387755,-74.51020408,12.34693878,39.75510204,32.65306122,-38.32653061,347.8979592,-55.40816327,27.79591837,55.75510204,0.02,0.07,0.98,0.07,-4.13,-2.94,0,0,0,0.06774,-0.02472,0.02741
0.04,-8.431372549,29.54901961,30.82352941,0.764705882,10.2745098,39.31372549,28.82352941,10.05882353,61.56862745,-3.156862745,6.176470588,23.05882353,20.39215686,-44.62745098,139.1764706,-61.35294118,18.29411765,17.07843137,0.04,0.05,0.99,3.15,-5.81,-6.02,0.836734694,26.40816327,80.87755102,-35.89795918,11.95918367,105.5918367,-33.08163265,-0.673469388,70.69387755,-73.51020408,12.34693878,37.75510204,31.65306122,-36.32653061,342.8979592,-54.40816327,25.79591837,49.75510204,0.02,0.07,0.98,0.14,-4.41,-3.08,0,0,0,0.06774,-0.02472,0.02741
0.06,-3.431372549,18.54901961,30.82352941,-2.235294118,7.274509804,31.31372549,26.82352941,11.05882353,64.56862745,-3.156862745,5.176470588,-8.941176471,19.39215686,-44.62745098,137.1764706,-61.35294118,17.29411765,9.078431373,0.03,0.04,0.99,3.43,-5.95,-5.95,4.836734694,24.40816327,78.87755102,-39.89795918,11.95918367,66.59183673,-40.08163265,-1.673469388,74.69387755,-76.51020408,12.34693878,32.75510204,30.65306122,-34.32653061,338.8979592,-55.40816327,25.79591837,60.75510204,0.03,0.07,0.98,0.07,-4.27,-3.01,0,0,0,0.06774,-0.02472,0.02741
0.08,-1.431372549,27.54901961,31.82352941,-2.235294118,9.274509804,27.31372549,28.82352941,5.058823529,64.56862745,-5.156862745,5.176470588,-10.94117647,18.39215686,-45.62745098,134.1764706,-61.35294118,18.29411765,18.07843137,0.03,0.04,0.99,3.64,-5.95,-6.09,4.836734694,24.40816327,77.87755102,-40.89795918,11.95918367,91.59183673,-41.08163265,2.326530612,76.69387755,-79.51020408,13.34693878,50.75510204,26.65306122,-32.32653061,332.8979592,-55.40816327,26.79591837,50.75510204,0.03,0.07,0.98,-0.07,-4.27,-3.08,0,0,0,0.06774,-0.02472,0.02741
0.1,-2.431372549,34.54901961,34.82352941,-4.235294118,6.274509804,10.31372549,24.82352941,6.058823529,64.56862745,-3.156862745,7.176470588,3.058823529,19.39215686,-43.62745098,132.1764706,-59.35294118,17.29411765,13.07843137,0.03,0.05,0.99,3.43,-5.74,-6.02,0.836734694,27.40816327,80.87755102,-40.89795918,9.959183673,81.59183673,-39.08163265,4.326530612,74.69387755,-78.51020408,12.34693878,42.75510204,24.65306122,-37.32653061,329.8979592,-59.40816327,25.79591837,43.75510204,0.03,0.07,0.98,0.14,-4.27,-3.01,0,0,0,0.06774,-0.02472,0.02741
0.12,-8.431372549,20.54901961,32.82352941,-4.235294118,8.274509804,26.31372549,25.82352941,11.05882353,66.56862745,-4.156862745,4.176470588,-7.941176471,21.39215686,-43.62745098,130.1764706,-59.35294118,15.29411765,12.07843137,0.04,0.05,0.99,3.22,-5.6,-5.81,9.836734694,28.40816327,81.87755102,-38.89795918,11.95918367,72.59183673,-39.08163265,8.326530612,80.69387755,-79.51020408,13.34693878,7.755102041,26.65306122,-33.32653061,319.8979592,-57.40816327,20.79591837,43.75510204,0.03,0.07,0.98,0,-4.06,-3.08,0,0,0,0.06774,-0.02472,0.02741
0.14,-4.431372549,23.54901961,36.82352941,-5.235294118,10.2745098,36.31372549,29.82352941,10.05882353,64.56862745,-8.156862745,4.176470588,21.05882353,17.39215686,-44.62745098,130.1764706,-60.35294118,16.29411765,8.078431373,0.03,0.04,0.99,3.29,-5.67,-6.02,-1.163265306,24.40816327,79.87755102,-40.89795918,10.95918367,88.59183673,-41.08163265,5.326530612,80.69387755,-83.51020408,12.34693878,56.75510204,22.65306122,-31.32653061,313.8979592,-59.40816327,20.79591837,42.75510204,0.03,0.07,0.98,0,-4.06,-3.15,0,0,0,0.06774,-0.02472,0.02741
0.16,0.568627451,17.54901961,36.82352941,-7.235294118,7.274509804,38.31372549,31.82352941,11.05882353,66.56862745,-4.156862745,11.17647059,22.05882353,18.39215686,-42.62745098,132.1764706,-59.35294118,15.29411765,14.07843137,0.04,0.04,0.99,3.15,-5.74,-6.09,4.836734694,27.40816327,83.87755102,-39.89795918,11.95918367,88.59183673,-40.08163265,4.326530612,77.69387755,-82.51020408,11.34693878,42.75510204,18.65306122,-33.32653061,309.8979592,-62.40816327,22.79591837,43.75510204,0.03,0.07,0.98,0.07,-4.34,-3.08,0,0,0,0.06774,-0.02472,0.02741
0.18,-1.431372549,23.54901961,37.82352941,-7.235294118,8.274509804,32.31372549,29.82352941,12.05882353,66.56862745,-6.156862745,4.176470588,14.05882353,17.39215686,-44.62745098,135.1764706,-61.35294118,17.29411765,10.07843137,0.03,0.04,0.99,3.08,-5.74,-6.16,4.836734694,24.40816327,78.87755102,-38.89795918,12.95918367,93.59183673,-46.08163265,8.326530612,75.69387755,-83.51020408,11.34693878,47.75510204,20.65306122,-30.32653061,306.8979592,-59.40816327,19.79591837,41.75510204,0.03,0.07,0.98,-0.07,-3.99,-2.87,0,0,0,0.06774,-0.02472,0.02741
